Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
UTW.2.5_2012,UTW.2.5,W_4n,2012,Scooby,41.8566,-113.049,Central Basin and Range,Yes,No,Yes,No
UTW.2.6_2012,UTW.2.6,W_4n,2012,Scooby,41.8566,-113.049,Central Basin and Range,Yes,No,Yes,No
UTWV.2.1_2012,UTWV.2.1,W_4n,2012,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTWV.2.1_2021,UTWV.2.1,W_4n,2021,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,No
UTWV.2.10_2012,UTWV.2.10,W_4n,2012,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,No,No,No,No
UTWV.2.10_2021,UTWV.2.10,W_4n,2021,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,No
UTWV.2.6_2012,UTWV.2.6,W_4n,2012,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTWV.2.6_2021,UTWV.2.6,W_4n,2021,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,No
UTWV.2.7_2012,UTWV.2.7,W_4n,2012,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTWV.2.7_2021,UTWV.2.7,W_4n,2021,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,No
UTWV.2.8_2012,UTWV.2.8,W_4n,2012,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTWV.2.8_2021,UTWV.2.8,W_4n,2021,Canyon V,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,No
WAT.1.3_2012,WAT.1.3,T_2n,2012,Lind,46.7419,-118.2278,Columbia Plateau,Yes,Yes,Yes,Yes
WAT.1.3_2021,WAT.1.3,T_2n,2021,Lind,46.7419,-118.2278,Columbia Plateau,Yes,Yes,Yes,Yes
WAT.1.4_2012,WAT.1.4,T_2n,2012,Lind,46.7419,-118.2278,Columbia Plateau,Yes,No,Yes,No
WAT.1.4_2021,WAT.1.4,T_2n,2021,Lind,46.7419,-118.2278,Columbia Plateau,No,No,No,No
WAT.1.6_2012,WAT.1.6,T_2n,2012,Lind,46.7419,-118.2278,Columbia Plateau,Yes,Yes,Yes,Yes
WAT.1.6_2021,WAT.1.6,T_2n,2021,Lind,46.7419,-118.2278,Columbia Plateau,Yes,Yes,Yes,Yes
WAT.1.9_2012,WAT.1.9,T_2n,2012,Lind,46.7419,-118.2278,Columbia Plateau,Yes,No,Yes,No
WAT.1.9_2021,WAT.1.9,T_2n,2021,Lind,46.7419,-118.2278,Columbia Plateau,No,No,No,No
WAT.2.1_2012,WAT.2.1,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAT.2.1_2021,WAT.2.1,T_4n,2021,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAT.2.10_2012,WAT.2.10,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAT.2.3_2012,WAT.2.3,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,No,No,No
WAT.2.4_2012,WAT.2.4,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,No,No,No
WAT.2.4_2021,WAT.2.4,T_4n,2021,Crab Creek,46.9488,-119.2371,Columbia Plateau,No,Yes,No,No
WAT.2.7_2012,WAT.2.7,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAT.2.8_2012,WAT.2.8,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,No,No,No
WAT.2.8_2021,WAT.2.8,T_4n,2021,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAT.2.9_2012,WAT.2.9,T_4n,2012,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAT.2.9_2021,WAT.2.9,T_4n,2021,Crab Creek,46.9488,-119.2371,Columbia Plateau,Yes,Yes,No,No
WAW.1.1_2012,WAW.1.1,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WAW.1.2_2012,WAW.1.2,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WAW.1.2_2021,WAW.1.2,W_4n,2021,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,Yes,Yes,No
WAW.1.3_2012,WAW.1.3,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WAW.1.3_2021,WAW.1.3,W_4n,2021,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,Yes,Yes,No
WAW.1.4_2012,WAW.1.4,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WAW.1.5_2012,WAW.1.5,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WAW.1.6_2012,WAW.1.6,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WAW.1.6_2021,WAW.1.6,W_4n,2021,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,No,Yes,Yes,No
WAW.1.7_2012,WAW.1.7,W_4n,2012,Saddle Mtn,46.7672,-119.4727,Columbia Plateau,Yes,No,Yes,No
WYW.1.2_2012,WYW.1.2,W_4n,2012,Burma Road,42.6006,-109.8341,Wyoming Basin,Yes,No,Yes,No
