ROW,GARDEN_PLANT_ID,2020 STATUS,PLANT_CODE,PLANT_STATE,PLANT_SPECIES,PLANT_PROVENANCE,ORIGIN_PLANT_ID,PLOIDY,TYPE OF HERBIVORY,LEVEL OF HERBIVORY,TOTAL AREA (UNITS?),VOLUME (UNITS?),VOLUME (HIGH OR LOW),90% HEIGHT (UNITS?),EXTRACTION WEIGHT (G),GC VIAL WEIGHT (G),GC WET WEIGHT (G),GC DRY AND VIAL WEIGHT (G),DRY WEIGHT (G),DRY WEIGHT (MG),% DRY WEIGHT,DRY WEIGHT OF EXTRACTED SAMPLES,UM TP,mM TP PER GRAM DRY WEIGHT (mM TP/G DW),%N,%C,TOTAL AREA UNDER THE CURVE,TOTAL # OF MONOTERPENE PEAKS,TOTAL AUC >28MIN,TOTAL AUC >28 MIN/mg DW,TOTAL # PEAKS >28MIN,"1,8 CINEOLE AUC",UNKNOWN 3.2 AUC,STATUS LIVE OR DEAD,NDVI_COUNT,NDVI_AREA,NDVI_MEAN,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_STD,NDVI_SUM,THERMORIGINAL_COUNT,THERMORIGINAL_AREA,THERMORIGINAL_MEAN,THERMORIGINAL_STD,THERMAL_AREA,THERMAL_MEAN,THERMAL_STD
14,374,D,MTV.1.10,MT,V,1,10,2n,.,l,376.3699091,11225.23254,High,29.825,0.0502,14.86191,0.05146,14.88941,0.0275,2.75,0.534395647,0.026826661,5010.6375,186.7782729,2.8,45.48,60703,51,60702.9816,22073.81149,51,0,0,.,60,0.627549174,0.120101989,-0.00862069,0.200000003,0.208620693,0.049546111,7.20611933,28,0.567139507,15115.5,276.9698926,0.567139507,14587.96429,400.6415821
14,377,D,IDV.2.8,ID,V,2,8,2n,pupa/aphids,h,222.2561407,11249.49456,High,50.615,0.05082,14.95623,0.05168,14.97886,0.02263,2.263,0.437886997,0.022253417,3464.425,155.6805848,2.04,47.42,31339.4,65,31328.59233,13843.83223,64,4600.34912,0,.,55,0.57525341,0.000309879,-0.049689442,0.04587156,0.095561001,0.020409198,0.017043371,29,0.58739449,14494.17241,219.8432151,0.58739449,15385.65517,182.8491513
14,378,D,WA'W.1.5,WA,W,1,5,4n,.,m,228.2070519,11371.32919,High,49.829,0.05111,15.08006,0.05088,15.09918,0.01912,1.912,0.375786164,0.019206431,2054.78125,106.9840237,3.76,44.36,27883.1,66,27877.50022,14580.28254,65,3809.33398,0,.,24,0.25101967,0.078194233,-0.003367003,0.149532706,0.152899709,0.036247101,1.876661594,13,0.263314771,14628.76923,287.8995962,0.263314771,14998.76923,350.5115281
14,379,A,CO'V*W.2.7,CO,V,2,7,4n,aphids,m,285.6410964,12159.17019,High,42.568,0.0503,14.94491,0.05008,14.97031,0.0254,2.54,0.507188498,0.025511581,3496.9125,137.071569,3.05,45.8,54364.7,65,54360.16534,21401.6399,64,0,1384.43274,.,75,0.784436468,0.075492981,-0.008474576,0.157024801,0.165499377,0.038965235,5.661973561,38,0.769689331,14576.18421,296.5907916,0.769689331,14542.89474,258.5993436
14,380,A,ORT.2.4,OR,T,2,4,2n,aphids,l,1441.079704,101949.1837,High,70.745,0.05071,14.89881,0.04927,14.9158,0.01699,1.699,0.344834585,0.017486562,2105.2,120.3895897,2.88,45.95,17197.6,69,17197.6,10122.18952,70,1133.94934,1146.23901,.,66,0.690304091,0.113781535,-0.017857144,0.2421875,0.260044644,0.06487264,7.509581327,36,0.729179366,14689.19444,389.4162169,0.729179366,14765.44444,443.0810964
14,381,A,ORT.1.9,OR,T,1,9,2n,galls/aphids,l,989.2290015,48802.62356,High,49.334,0.05105,14.89045,0.04997,14.90879,0.01834,1.834,0.367020212,0.018736382,2359.3275,125.9222576,3.82,45.54,32100.2,68,32100.2,17502.83533,68,2710.42578,1183.32788,.,42,0.439284422,0.100259975,0.034146342,0.168627456,0.134481113,0.030785518,4.210918933,19,0.384844666,15660.84211,113.844429,0.384844666,14898.31579,428.8616576
14,384,D,WY'W.1.2,WY,W,1,2,4n,aphids,m,41.57055791,918.418336,Low,22.093,0.05056,14.95353,0.05091,14.97848,0.02495,2.495,0.490080534,0.024778472,3626.615,146.3615282,3.77,43.98,36505.4,79,36498.64726,14628.71634,78,2210.77197,1282.66748,.,52,0.543875951,0.012649684,-0.061032865,0.039215688,0.100248553,0.027180887,-0.657783584,29,0.58739449,15488.48276,272.7695277,0.58739449,15543.24138,154.3678221
14,387,A,ID'W.1.2,ID,W,1,2,4n,caterpillar,l,47.66161423,1196.068209,Low,25.095,0.04948,14.92884,0.05069,14.94969,0.02085,2.085,0.411323732,0.020352298,2555.51625,125.5640132,3.8,43.34,37843.9,81,37843.89149,18150.54748,81,1649.15039,1420.24463,.,34,0.355611199,0.03884937,-0.034825869,0.193798453,0.228624322,0.061288409,1.320878583,17,0.344334701,15021.52941,170.2030337,0.344334701,15672,88.52251292
15,388,A,CAT.1.1,CA,T,1,1,2n,.,n,69.29942216,2412.451484,Low,34.812,0.05141,14.96707,0.05094,14.98602,0.01895,1.895,0.372006282,0.019124843,3323.69875,173.789597,4.02,44.26,37850.8,76,37840.98561,19968.85784,75,853.56329,640.52362,.,68,0.711222397,0.10474695,-0.00877193,0.272030652,0.280802581,0.074378111,7.122792577,34,0.688669402,15045.5,180.5275358,0.688669402,14850.61765,405.2197671
15,391,D,ORT.3.1,OR,T,3,1,2n,.,l,100.4606908,3299.129086,Low,32.84,0.05109,15.10228,0.05091,15.12407,0.02179,2.179,0.428010214,0.021867042,4820.26125,220.4349946,4.36,44.62,31912.5,72,31912.50315,14645.48102,72,2173.96143,0,DEAD,15,0.156887294,0.033245625,-0.065326631,0.004975124,0.070301755,0.022322641,-0.498684379,7,0.141784877,14389.71429,186.6767369,0.141784877,15596.28571,78.36856929
