ID,subspp,Season,Stts_QC,X_IDTM,Y_IDTM,AREA,UAS_Thermal,Variance_Plant_Temp,Tleaf,Photo,Trans,Cond,water_use_eff,PhiPS2
171,W4n,June,Living,2338001.67,1348759.115,0.21666166,-5.288383222,1.696277883,31.74306933,5.909775087,0.005992999,0.199311546,986.1131441,0.736
178,T2n,June,Living,2337997.753,1348754.273,0.54107219,-12.39177703,5.39863548,35.72383118,5.646332953,0.00340094,0.078164072,1660.227321,0.664
181,T2n,June,Living,2337996.141,1348752.182,0.44639821,-9.577085541,1.884536258,35.36444982,13.75253048,0.01047744,0.275820448,1312.585032,0.605
189,W4n,June,Living,2337991.389,1348746.342,0.46118901,-13.27733201,8.870812129,32.23738225,6.193568976,0.004042283,0.124300616,1532.195659,0.606
190,T4n,June,Living,2337990.939,1348745.704,0.75561584,-16.03903449,7.982903361,34.9849205,7.922326833,0.006316396,0.161813263,1254.247966,0.668
197,T2n,June,Living,2337985.746,1348741.692,2.37058237,-15.23135721,5.540494108,35.74735642,11.73617072,0.00679315,0.163199115,1727.647725,0.682
198,T2n,June,Living,2337986.442,1348742.527,0.647658,-15.43128755,5.079332202,35.60971832,7.542013941,0.007416618,0.181996296,1016.907383,0.666
201,T4n,June,Living,2337988.485,1348745.085,1.19239537,-15.18776601,6.08490319,31.86388016,9.918643569,0.005646438,0.188542027,1756.619584,0.713
203,T4n,June,Living,2337989.856,1348746.793,0.49892185,-14.86388808,6.571576183,31.12105687,6.754989211,0.006830368,0.253601795,988.9641204,0.739
204,T4n,June,Living,2337990.378,1348747.401,0.46976408,-15.70059859,6.964360474,33.00706482,11.36472041,0.007595335,0.241992203,1496.276386,0.695
205,V2n,June,Living,2337991.048,1348748.273,0.27784945,-12.39465768,5.058372779,30.74748612,1.351187405,0.005780097,0.219782662,233.7655242,0.747
211,T4n,June,Living,2337994.365,1348752.423,1.35949411,-16.65278923,5.907311942,32.27289963,12.2699092,0.007857138,0.265268078,1561.625772,0.671
225,T2n,June,Living,2338000.464,1348762.591,0.67631555,-13.4353833,5.373823897,35.24658712,11.64887188,0.008334963,0.21538757,1397.591313,0.73
228,T4n,June,Living,2337998.818,1348760.356,0.50782427,-18.82258527,2.903559988,35.74797058,9.112968013,0.008033158,0.196968281,1134.419165,0.699
229,T4n,June,Living,2337998.315,1348759.686,1.09430137,-15.94646672,5.446124762,35.7310346,12.94654141,0.006290667,0.15062469,2058.055435,0.75
231,W4n,June,Living,2337997.244,1348758.452,0.37655738,-12.76120986,4.606238608,35.72412364,6.365086102,0.007303214,0.177170487,871.5458841,0.717
233,W4n,June,Living,2337996.116,1348757.022,0.10805014,-12.47997711,5.132962983,35.15619532,9.009484677,0.005570127,0.13882866,1617.464955,0.733
238,T2n,June,Living,2337992.921,1348753.158,0.14149488,-13.31817314,5.270773067,35.54581579,27.94263239,0.017386953,0.501759933,1607.103464,0.675
248,NA,June,NA,NA,NA,NA,NA,NA,34.37245687,15.96971137,0.009259093,0.263706475,1724.759798,0.688
252,W4n,June,Living,2337985.219,1348743.58,0.43453318,-13.71436216,3.398373388,32.51548894,8.649398406,0.003783509,0.118559389,2286.078253,0.713
255,W4n,June,Living,2337985.864,1348746.569,1.06247645,-16.13142759,5.944376407,32.66597112,6.933628195,0.004160366,0.129522322,1666.590785,0.687
257,T2n,June,Living,2337987.029,1348748.036,0.54852157,-14.19810828,7.929577724,32.79316584,14.37291903,0.006807817,0.219851977,2111.237675,0.707
258,T4n,June,Living,2337987.464,1348748.601,0.38647417,-17.38268794,7.475926836,31.72169749,8.654488336,0.003902882,0.133537193,2217.460927,0.688
260,T4n,June,Living,2337988.698,1348750.265,0.7535896,-16.83235005,3.677367323,35.13764953,14.97948731,0.00630991,0.160133497,2373.962244,0.707
262,W4n,June,Living,2337989.908,1348751.592,1.24987201,-17.49355074,7.029247198,35.20839691,18.97005599,0.011605605,0.317295013,1634.559899,0.675
264,T2n,June,Living,2337991.002,1348753.025,0.91568755,-10.435763,11.98569954,32.38022868,16.38709225,0.006534278,0.219583682,2507.86566,0.638
268,T4n,June,Living,2337993.226,1348755.871,0.72494545,-16.24262541,7.104579781,31.56979688,14.29280633,0.007199643,0.269749547,1985.210332,0.711
269,T2n,June,Living,2337993.88,1348756.662,2.38574086,-18.93877036,7.679417928,33.90873973,16.06462171,0.014137932,0.464396758,1136.27807,0.71
272,W4n,June,Living,2337995.518,1348758.694,0.42249384,-14.29136039,5.7472853,32.24489339,16.96211004,0.009114422,0.327693849,1861.018661,0.683
275,T4n,June,Living,2337997.172,1348760.869,0.44733006,-17.36924237,6.064276753,35.50021235,12.66887123,0.006095539,0.149163733,2078.384195,0.707
276,T2n,June,Living,2337997.746,1348761.607,0.94499884,-17.18463924,5.958833279,33.94044495,10.30132231,0.011178894,0.346327522,921.4974496,0.67
283,T4n,June,Living,2337996.534,1348762.569,0.67639662,-14.43179961,3.238545906,30.77693558,11.47146659,0.007671433,0.315651735,1495.348599,0.693
294,T2n,June,Living,2337990.419,1348754.789,1.84360423,-17.44349061,4.836583632,33.72066117,3.995348703,0.001780677,0.047957446,2243.724551,0.718
296,W4n,June,Recent,2337989.347,1348753.358,0.10311958,-14.28159839,5.320780934,34.75059764,12.67653634,0.009807746,0.272074149,1292.502556,0.616
299,W4n,June,Living,2337987.419,1348751.032,0.70316563,-15.74161145,3.742022956,32.72552617,13.56466853,0.00963044,0.330379279,1408.520074,0.644
300,T4n,June,Living,2337986.942,1348750.44,0.67645569,-14.00903417,6.496249775,32.77480825,12.99222918,0.009863646,0.338494165,1317.183238,0.669
304,T2n,June,Living,2337984.878,1348747.509,2.25937553,-18.21444923,5.953420311,32.60041682,17.20962846,0.011719446,0.42978481,1468.467705,0.619
309,V2n,June,Living,2337983.482,1348748.721,0.09933472,-12.220511,6.049421382,32.13671875,9.08923655,0.010855954,0.413237571,837.2582298,0.747
319,T4n,June,Living,2337989.167,1348755.565,0.27132949,-13.79828466,8.229267458,35.03616715,6.125167183,0.004842825,0.120744457,1264.792092,0.725
328,T2n,June,Living,2337994.349,1348762.205,1.755196,-16.76694535,6.708359664,37.36394755,10.71944395,0.018456421,0.446636489,580.797542,0.697
331,W4n,June,Living,2337996.167,1348764.204,0.71010806,-15.53824938,4.039834691,32.52296956,11.8448249,0.012475909,0.470544625,949.4158071,0.662
334,T4n,June,Living,2337995.909,1348766.8,0.82838552,-17.2255716,4.957491264,36.95362472,4.735586354,0.008389565,0.184543433,564.4614893,0.719
345,T2n,June,Living,2337989.824,1348758.939,0.48519285,-9.367319873,5.402825289,37.46677526,9.622259646,0.015530294,0.357997806,619.5800058,0.682
347,W4n,June,Living,2337988.657,1348757.495,1.01186783,-17.75551643,6.024527068,33.19934972,11.91259868,0.010765326,0.363003835,1106.571105,0.671
348,T4n,June,Living,2337988.164,1348756.836,0.50660949,-16.17140791,8.364292392,36.50806936,8.839233532,0.00897305,0.207173458,985.0868469,0.696
350,T4n,June,Living,2337986.924,1348755.36,0.92948633,-16.16873918,5.616056591,37.04502869,8.984143,0.005778807,0.1220368,1554.670886,0.71
352,T2n,June,Living,2337985.868,1348754.015,0.48633059,-13.66401196,7.365337141,33.01271693,13.81793051,0.01293454,0.465328819,1068.297018,0.723
355,W4n,June,Living,2337984.163,1348751.669,0.26487994,-18.63085171,2.805750528,36.95900091,8.107927309,0.009086688,0.201696871,892.2863103,0.629
356,W4n,June,Living,2337983.512,1348751.155,0.32617651,-15.54377999,6.793449086,34.50738652,11.43425666,0.010195018,0.291252263,1121.553356,0.683
