"","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"COVW.2.3_2012",NA,NA,3.1299,912.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1262,161.575,NA,NA,NA,NA,13.7543,523.228,NA,NA,NA,NA,14.8401,1256.598,NA,NA,NA,NA,15.8111,580.484,NA,NA,NA,NA,16.9612,1403.042,NA,NA,NA,NA,NA,NA,NA,NA,18.2309,20431.958,NA,NA,NA,NA,NA,NA,18.9193,2120.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8251,581.258,21.064,2632.389,NA,NA,21.426,106.321,NA,NA,NA,NA,21.7158,4314.075,NA,NA,22.0717,381.079,NA,NA,NA,NA,NA,NA,NA,NA,23.4285,70.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9997,89.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3901,133.425,NA,NA,25.9616,202.302,NA,NA,NA,NA,26.6151,592.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.6_2012",NA,NA,3.0472,370.71,3.6846,1788.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1169,397.338,NA,NA,13.1616,217.414,13.7504,889.58,NA,NA,NA,NA,14.8804,4581.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0008,4405.913,NA,NA,NA,NA,17.7251,276.014,17.9242,731.585,NA,NA,18.5327,250.441,18.6134,240.396,NA,NA,NA,NA,19.324,84.95,NA,NA,20.013,177.946,NA,NA,NA,NA,NA,NA,20.8374,1234.357,21.0745,4384.302,NA,NA,21.4256,196.656,NA,NA,21.6506,255.861,NA,NA,21.9017,395.04,NA,NA,NA,NA,NA,NA,23.1245,753.956,23.2651,80.765,23.4253,105.06,NA,NA,NA,NA,NA,NA,23.7146,108.162,NA,NA,24.0344,104.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3854,93.711,NA,NA,25.9614,395.278,NA,NA,NA,NA,26.6093,300.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.2.10_2012",NA,NA,3.163,492.027,3.6748,2035.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1395,892.274,NA,NA,NA,NA,13.7637,404.704,NA,NA,NA,NA,14.8667,2261.072,NA,NA,NA,NA,15.783,210.972,NA,NA,NA,NA,17.0055,3398.076,NA,NA,NA,NA,17.7742,1570.534,17.9472,446.612,NA,NA,NA,NA,18.5625,453.765,18.6423,376.938,18.8577,114.988,NA,NA,NA,NA,NA,NA,20.0261,128.037,NA,NA,NA,NA,20.834,822.278,21.2957,297.372,NA,NA,21.4375,259.956,NA,NA,NA,NA,21.6632,212.118,21.9147,286.808,NA,NA,NA,NA,NA,NA,23.1213,381.929,NA,NA,23.4381,84.681,NA,NA,NA,NA,23.7328,78.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9718,325.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.3_2012",NA,NA,3.2418,426.231,3.698,3412.401,NA,NA,NA,NA,NA,NA,NA,NA,11.5546,430.795,NA,NA,12.1197,542.242,NA,NA,NA,NA,13.7451,494.09,NA,NA,NA,NA,14.8219,578.661,NA,NA,NA,NA,15.7775,829.738,NA,NA,NA,NA,16.9433,658.409,NA,NA,NA,NA,17.7569,1886.851,NA,NA,NA,NA,18.5439,601.059,18.6215,394.253,NA,NA,18.8585,583.999,NA,NA,19.9125,208.647,20.0064,163.166,NA,NA,NA,NA,20.5519,173.174,20.8077,250.28,21.0552,2933.905,21.3061,1471.56,21.4257,371.908,21.5913,178.543,NA,NA,21.675,1558.621,21.9056,109.338,NA,NA,NA,NA,NA,NA,23.1161,569.634,23.2658,74.502,23.4305,210.236,NA,NA,23.6452,177.19,23.7301,172.046,NA,NA,NA,NA,23.999,142.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9626,375.18,NA,NA,26.4759,185.11,26.6097,140.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.8_2012",NA,NA,3.2417,624.541,3.706,3456,NA,NA,NA,NA,7.3795,631.778,NA,NA,NA,NA,NA,NA,12.157,1750.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8473,983.024,NA,NA,NA,NA,15.7835,255.284,NA,NA,NA,NA,16.9613,315.178,NA,NA,NA,NA,17.8186,5018.684,17.9644,1071.03,NA,NA,18.3873,361.185,18.5536,215.963,18.6343,244.141,18.8609,173.507,NA,NA,NA,NA,20.0211,151.741,NA,NA,NA,NA,NA,NA,20.8256,914.354,NA,NA,21.3049,887.105,21.4447,201.384,NA,NA,21.6017,106.515,21.6617,432.864,21.9113,94.113,NA,NA,NA,NA,NA,NA,23.1317,397.596,23.2745,96.506,23.44,388.415,NA,NA,23.6578,155.441,23.7346,161.793,NA,NA,NA,NA,24.0064,80.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9747,763.608,NA,NA,NA,NA,26.6179,156.04,26.7499,95.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.6_2012",NA,NA,3.0737,679.394,3.6645,1606.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1234,408.958,NA,NA,13.1662,273.861,13.7606,1067.758,NA,NA,NA,NA,14.8767,3674.295,NA,NA,NA,NA,15.7902,292.191,NA,NA,NA,NA,16.9509,134.785,NA,NA,NA,NA,17.7507,1010.422,17.9319,374.82,NA,NA,NA,NA,18.5527,479.128,18.6312,338.088,NA,NA,NA,NA,NA,NA,19.9606,114.078,20.026,159.15,NA,NA,NA,NA,20.8683,1386.62,21.1205,6568.965,21.3092,844.407,21.4607,162.859,21.5347,87.761,NA,NA,21.6616,176.256,NA,NA,NA,NA,NA,NA,NA,NA,23.124,352.685,23.2748,59.566,23.4358,150.408,NA,NA,NA,NA,23.7327,91.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3962,360.632,NA,NA,25.9619,135.725,NA,NA,NA,NA,26.6203,573.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.10_2012",NA,NA,NA,NA,3.674,2646.018,NA,NA,NA,NA,7.3081,984.873,9.9291,328.236,NA,NA,NA,NA,12.1439,1006.165,NA,NA,13.1796,207.131,13.7814,1643.077,NA,NA,NA,NA,14.8935,4114.726,NA,NA,NA,NA,NA,NA,16.3879,362.689,NA,NA,17.076,9522.094,NA,NA,NA,NA,17.7595,405.645,17.9779,2467.282,NA,NA,NA,NA,18.557,122.909,18.638,134.911,19.0343,129.452,19.3501,88.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8984,2054.464,21.1461,7811.443,NA,NA,21.457,308.226,21.5425,114.264,NA,NA,21.6849,225.532,21.9361,872.672,22.36,91.078,NA,NA,NA,NA,23.1635,268.504,23.2831,142.545,23.4462,359.101,23.6235,65.92,NA,NA,23.7438,259.209,NA,NA,NA,NA,24.013,115.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4928,230.715,NA,NA,25.982,907.165,NA,NA,26.4968,1241.504,26.6281,587.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.8_2012",NA,NA,3.1647,476.824,3.6857,4785.96,NA,NA,NA,NA,7.3045,733.915,9.9345,385.997,11.5844,284.394,NA,NA,12.1471,1108.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8543,1116.295,NA,NA,NA,NA,15.815,717.856,16.3893,383.551,NA,NA,17.0031,2867.525,NA,NA,NA,NA,17.862,7630.493,17.9683,306.508,NA,NA,NA,NA,18.5941,1090.194,18.6703,699.56,18.8737,358.031,NA,NA,19.9213,357.687,NA,NA,20.0327,195.231,NA,NA,20.5724,155.947,20.8271,509.665,21.217,153.282,21.3423,2256.568,21.4564,516.99,NA,NA,21.6097,196.473,21.6984,1568.663,21.9288,235.252,22.3097,235.082,NA,NA,NA,NA,23.1119,184.187,NA,NA,23.4435,167.926,NA,NA,23.6637,197.448,23.7424,122.428,NA,NA,NA,NA,24.012,88.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3985,103.168,NA,NA,25.9775,665.354,NA,NA,NA,NA,26.6189,100.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.5.8_2012",NA,NA,3.1597,568.337,NA,NA,4.8639,600.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7026,210.46,13.1914,1347.065,13.8099,4211.394,NA,NA,NA,NA,14.8813,981.824,NA,NA,15.4007,123.586,NA,NA,16.3821,150.976,NA,NA,17.0396,6374.696,NA,NA,NA,NA,NA,NA,17.9537,227.995,NA,NA,18.3485,158.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1694,10822.998,NA,NA,NA,NA,21.5404,86.919,NA,NA,21.6944,914.264,21.9195,314.844,22.2489,294.082,22.6615,134.47,NA,NA,23.1178,179.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0593,879.186,NA,NA,NA,NA,NA,NA,25.0716,182.203,NA,NA,NA,NA,NA,NA,25.9708,166.887,NA,NA,26.4843,156.525,26.6172,76.102,NA,NA,NA,NA,NA,NA,NA,NA,27.478,335.011,NA,NA
"UTW.2.5_2012",NA,NA,3.2231,1293.353,3.6826,2303.353,NA,NA,NA,NA,7.3024,441.624,NA,NA,NA,NA,11.9355,200.365,12.1388,1694.943,NA,NA,NA,NA,13.7581,772.064,NA,NA,NA,NA,14.8833,4328.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9816,2765.806,NA,NA,NA,NA,17.7574,1354.732,17.9547,1615.848,NA,NA,18.5425,235.167,18.6229,233.458,NA,NA,NA,NA,19.3346,147.216,NA,NA,20.0153,138.934,NA,NA,NA,NA,NA,NA,20.8563,1719.311,21.082,3693.844,21.4015,336.538,NA,NA,21.5779,74.243,21.6521,321.622,NA,NA,21.9008,184.66,NA,NA,NA,NA,NA,NA,23.1378,92.281,23.2721,153.708,23.4394,504.094,NA,NA,NA,NA,23.7319,199.263,NA,NA,NA,NA,24.0025,135.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9668,227.811,NA,NA,26.4785,154.455,26.613,78.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.2_2012",NA,NA,3.0509,296.987,3.6742,4089.991,NA,NA,NA,NA,7.3475,789.594,9.9299,281.178,11.6174,551.472,11.9571,253.881,12.1308,295.824,NA,NA,NA,NA,13.759,384.577,NA,NA,NA,NA,14.8377,357.18,NA,NA,NA,NA,15.8135,777.103,16.3793,352.465,NA,NA,16.9923,2732.291,NA,NA,NA,NA,17.7925,2707.42,17.964,216.993,NA,NA,NA,NA,18.5556,350.629,18.6343,245.803,18.8891,582.91,NA,NA,NA,NA,NA,NA,20.0325,151.888,NA,NA,20.5685,235.591,20.8216,126.73,21.2124,85.328,21.3204,1393.958,21.4691,365.544,NA,NA,NA,NA,21.7114,3144.035,21.935,285.408,NA,NA,NA,NA,NA,NA,23.1232,229.81,23.2785,53.46,23.4411,164.828,23.5739,76.46,23.664,171.876,23.7401,122.289,NA,NA,NA,NA,24.0476,105.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3971,210.191,NA,NA,25.97,207.642,NA,NA,NA,NA,26.6185,249.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.3.7_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1698,429.638,13.7793,2679.742,NA,NA,NA,NA,14.8543,381.655,NA,NA,15.3922,183.775,NA,NA,16.3691,181.174,NA,NA,17.0243,6455.189,NA,NA,NA,NA,NA,NA,17.9391,288.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1591,11196.276,NA,NA,NA,NA,21.522,118.323,NA,NA,21.6592,543.601,21.9076,444.064,22.2223,217.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0389,84.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4881,260.752,NA,NA,25.9759,940.702,NA,NA,26.4837,624.195,26.6174,475.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.9_2012",NA,NA,3.1596,454.882,3.6857,1405.298,NA,NA,NA,NA,7.3181,453.921,NA,NA,NA,NA,NA,NA,12.1243,524.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8487,2332.473,NA,NA,NA,NA,15.7469,161.228,NA,NA,NA,NA,16.9563,1546.407,NA,NA,NA,NA,17.7442,1221.468,17.9253,570.238,NA,NA,18.5319,229.637,18.612,197.485,NA,NA,NA,NA,NA,NA,NA,NA,20.0033,115.607,NA,NA,NA,NA,20.5495,135.402,20.8175,998.387,21.277,299.619,21.4074,331.207,NA,NA,NA,NA,21.6442,118.401,NA,NA,21.8916,142.968,NA,NA,NA,NA,NA,NA,23.1287,196.683,23.2658,104.714,23.4303,282.543,NA,NA,NA,NA,23.7286,222.235,NA,NA,NA,NA,23.9978,53.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.391,334.834,NA,NA,25.9599,229.475,NA,NA,NA,NA,26.6158,657.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.2.7_2012",NA,NA,3.1091,585.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1377,495.41,NA,NA,13.1812,318.943,13.7783,1779.763,14.0867,906.501,NA,NA,14.8509,976.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9969,2832.21,NA,NA,NA,NA,17.7196,917.635,17.9425,422.198,NA,NA,18.3963,683.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8312,120.193,21.1106,5183.623,NA,NA,NA,NA,21.5372,153.359,NA,NA,21.6783,456.237,21.9129,193.915,NA,NA,NA,NA,NA,NA,23.1141,146.484,NA,NA,NA,NA,23.5994,63.398,NA,NA,NA,NA,NA,NA,NA,NA,24.047,84.49,NA,NA,NA,NA,NA,NA,25.0708,55.58,NA,NA,NA,NA,NA,NA,25.9719,249.899,NA,NA,26.4836,74.765,26.6194,129.59,26.7513,116.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.2.10_2012",NA,NA,3.1596,1022.986,3.7144,1137.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.136,509.792,NA,NA,13.1753,261.468,NA,NA,NA,NA,NA,NA,14.772,3331.467,NA,NA,NA,NA,NA,NA,16.3764,182.212,NA,NA,17.0346,6892.299,NA,NA,NA,NA,17.7864,2875.998,17.9598,391.359,NA,NA,18.3633,142.393,NA,NA,NA,NA,18.9463,255.805,NA,NA,19.8643,14361.198,NA,NA,NA,NA,NA,NA,NA,NA,20.904,104.508,21.2909,120.759,NA,NA,21.4291,139.068,21.5269,115.728,NA,NA,21.6623,445.475,21.9129,437.124,NA,NA,NA,NA,NA,NA,23.1124,210.584,NA,NA,23.4311,119.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9704,644.963,NA,NA,26.477,105.558,26.6129,180.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.10_2012",NA,NA,3.2083,2486.525,3.7024,4215.557,NA,NA,NA,NA,7.3233,753.567,9.9266,412.382,NA,NA,NA,NA,12.1319,606.746,NA,NA,NA,NA,13.7646,1091.288,NA,NA,NA,NA,14.8307,248.552,NA,NA,NA,NA,15.7844,508.787,16.3725,291.539,NA,NA,16.9725,2119.49,NA,NA,NA,NA,17.8319,6135.95,17.9467,353.996,NA,NA,NA,NA,18.5479,211.052,18.6268,246.05,18.8605,362.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8329,133.994,21.1998,131.569,21.3118,1058.216,21.4152,195.327,21.5844,132.326,NA,NA,21.6674,771.742,21.9109,236.707,22.2765,178.6,22.652,126.9,NA,NA,NA,NA,23.2735,79.212,23.4384,270.178,23.5672,90.833,23.6529,219.859,23.7382,205.946,NA,NA,NA,NA,24.0461,392.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9726,591.416,NA,NA,26.4828,396.663,26.6178,251.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.3.6_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1369,464.936,NA,NA,13.1765,527.58,13.7614,583.418,NA,NA,NA,NA,14.8376,1076.116,NA,NA,NA,NA,NA,NA,16.3726,135.825,NA,NA,17.0006,4201.215,NA,NA,NA,NA,NA,NA,17.9308,718.804,18.306,128.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7963,176.996,21.0986,5737.262,NA,NA,NA,NA,21.5225,163.475,NA,NA,21.6639,248.209,21.9056,427.464,22.2326,293.669,22.6483,97.995,NA,NA,23.1128,273.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9711,732.698,NA,NA,NA,NA,26.6187,549.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.1.9_2012",NA,NA,3.1232,1013.283,3.6706,910.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1436,1687.362,NA,NA,13.1714,421.17,13.7691,1424.939,NA,NA,NA,NA,14.8804,4009.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9779,2091.774,NA,NA,NA,NA,NA,NA,17.9331,606.821,NA,NA,18.5387,108.562,18.619,121.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8277,586.384,21.0993,5047.77,NA,NA,21.4477,147.711,21.5239,80.362,NA,NA,21.6749,122.652,21.9107,155.831,22.3389,88.525,NA,NA,NA,NA,23.1229,760.618,23.2749,110.739,23.4372,160.697,NA,NA,NA,NA,23.7354,89.053,NA,NA,NA,NA,24.0062,55.818,NA,NA,24.3978,120.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9672,283.415,NA,NA,NA,NA,26.6139,102.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.1.4_2012",NA,NA,3.1481,770.886,3.6923,811.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1358,400.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8513,1466.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9589,736.276,NA,NA,NA,NA,17.7587,1147.914,17.9404,568.921,NA,NA,NA,NA,18.5469,179.355,18.6274,185.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8059,423.362,NA,NA,NA,NA,21.4242,220.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1287,134.591,NA,NA,23.4358,95.507,NA,NA,NA,NA,23.7365,94.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9711,304.049,NA,NA,26.4824,140.032,26.6207,281.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.2_2012",NA,NA,3.1391,927.466,3.6903,1287.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1255,548.985,NA,NA,NA,NA,13.7519,778.592,14.1441,151.573,NA,NA,14.8509,2254.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9485,1091.742,NA,NA,NA,NA,17.745,2392.607,17.9393,1094.026,NA,NA,18.3957,935.105,18.6157,115.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8206,744.274,21.2716,116.824,NA,NA,21.4198,143.778,NA,NA,NA,NA,NA,NA,21.8959,89.216,NA,NA,NA,NA,NA,NA,23.14,189.63,23.2659,57.757,23.4272,159.595,NA,NA,NA,NA,NA,NA,23.7263,116.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.387,75.597,NA,NA,25.9602,160.798,NA,NA,26.4746,58.848,26.6093,152.136,26.7488,345.111,26.9071,148.925,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.4.4_2012",NA,NA,NA,NA,3.6948,944.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1329,1109.255,NA,NA,13.1657,657.941,13.7531,807.619,NA,NA,NA,NA,14.8492,2294.53,NA,NA,NA,NA,NA,NA,16.3666,196.408,NA,NA,17.0122,5592.756,NA,NA,NA,NA,17.7309,248.111,17.9428,1718.468,NA,NA,18.535,210.043,18.6147,154.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0229,138.801,NA,NA,NA,NA,20.8193,358.079,21.1144,7375.787,NA,NA,21.4343,172.568,21.5169,188.22,NA,NA,21.6644,305.002,21.9087,574.224,22.2357,193.371,NA,NA,NA,NA,23.1341,163.73,NA,NA,23.428,131.129,NA,NA,NA,NA,23.7278,71.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9745,1276.036,26.3396,66.673,NA,NA,26.6146,386.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.6_2012",NA,NA,NA,NA,3.6809,1215.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1424,691.879,NA,NA,13.184,192.716,13.7789,1354.982,NA,NA,NA,NA,14.9121,5362.771,NA,NA,NA,NA,NA,NA,16.3858,134.986,NA,NA,17.038,5753.872,NA,NA,NA,NA,17.75,253.452,17.951,902.054,NA,NA,NA,NA,18.5507,83.868,18.6323,88.404,NA,NA,19.3481,85.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8873,2059.291,21.1307,6534.94,NA,NA,21.4424,353.732,21.5384,101.755,21.6064,128.385,21.6739,161.494,21.9248,512.417,NA,NA,NA,NA,NA,NA,23.1459,429.107,23.2797,77.588,23.4402,117.6,NA,NA,NA,NA,23.7358,140.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4898,139.287,NA,NA,25.9741,372.57,NA,NA,26.4878,175.591,26.6182,116.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COW.1.8_2012",NA,NA,3.0522,457.876,3.6772,849.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1402,372.948,NA,NA,NA,NA,13.7651,307.254,14.1444,1511.161,NA,NA,14.8865,2992.439,NA,NA,NA,NA,15.8793,1760.535,16.3881,129.313,NA,NA,17.041,5491.396,NA,NA,NA,NA,17.7634,954.275,NA,NA,18.1709,10302.708,18.4308,586.041,18.575,97.643,18.6517,91.609,18.97,3350.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8504,1293.031,21.039,872.784,NA,NA,21.4572,269.58,NA,NA,NA,NA,21.7242,3477.293,21.9498,455.788,22.0798,151.69,NA,NA,NA,NA,23.1671,263.457,NA,NA,23.4409,70.575,NA,NA,NA,NA,23.7383,74.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9712,115.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.8_2012",NA,NA,NA,NA,3.6856,3754.036,NA,NA,NA,NA,7.3012,674.304,9.9181,293.607,NA,NA,NA,NA,12.1299,1019.862,NA,NA,NA,NA,13.7481,247.971,NA,NA,NA,NA,14.8267,400.238,NA,NA,NA,NA,15.7953,649.961,16.3654,191.044,NA,NA,16.9784,2650.865,NA,NA,NA,NA,17.8383,7297.314,17.946,419.844,NA,NA,18.5448,342.156,18.6272,341.462,NA,NA,18.8726,601.24,NA,NA,NA,NA,20.0138,135.467,NA,NA,NA,NA,20.5584,138.175,20.8065,142.871,21.196,100.127,21.309,1325.566,21.4498,177.317,21.5159,78.285,NA,NA,21.7141,4170.171,21.9269,282.172,NA,NA,22.6531,91.572,NA,NA,NA,NA,23.2703,94.535,23.437,405.265,NA,NA,23.6521,161.334,23.7349,279.738,NA,NA,NA,NA,24.0035,197.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9627,221.854,NA,NA,26.4767,268.162,26.6108,122.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVTW.1.6_2012",NA,NA,3.0749,316.133,3.6975,3039.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1216,635.822,NA,NA,NA,NA,13.7561,1274.823,NA,NA,NA,NA,14.8282,645.065,NA,NA,NA,NA,15.7889,682.707,16.3623,244.599,NA,NA,16.9575,1348.896,NA,NA,NA,NA,17.7942,4045.603,17.934,195.786,NA,NA,NA,NA,18.5584,880.646,18.6405,711.938,18.8654,491.374,NA,NA,NA,NA,19.9338,199.17,20.0075,159.189,NA,NA,NA,NA,20.8209,172.411,21.1948,93.833,21.2928,647.498,21.4391,311.292,21.5181,75.383,NA,NA,21.6953,3009.958,21.9161,188.637,22.2744,160.148,22.6536,122.912,NA,NA,23.1164,471.704,23.2676,73.817,23.4318,178.651,NA,NA,23.6471,198.68,23.7303,78.5,NA,NA,NA,NA,24.0428,498.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9636,385.035,NA,NA,NA,NA,26.6084,79.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
