"","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"CAT.2.7_2012",NA,NA,3.0373,781.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1284,341.282,12.6905,153.022,13.1719,533.347,13.7884,3533.09,NA,NA,NA,NA,14.8482,1025.019,NA,NA,15.399,177.491,NA,NA,16.3718,159.169,16.6726,225.023,17.0685,9976.922,NA,NA,NA,NA,NA,NA,17.947,390.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8689,90.218,21.1673,11102.693,NA,NA,NA,NA,21.5442,373.967,NA,NA,21.7156,964.852,21.9301,686.619,22.2605,168.805,NA,NA,NA,NA,23.1193,467.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0455,122.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9713,542.724,NA,NA,NA,NA,26.6152,117.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.1.10_2012",NA,NA,NA,NA,3.6794,1032.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1371,684.104,NA,NA,13.1767,627.418,13.7801,2148.734,NA,NA,NA,NA,14.8789,3632.736,NA,NA,NA,NA,NA,NA,16.3776,144.112,NA,NA,17.02,4761.979,NA,NA,NA,NA,17.7423,206.283,17.9479,1066.426,NA,NA,NA,NA,18.5491,160.469,18.6294,166.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8651,866.221,21.1361,7611.955,NA,NA,21.4577,185.36,21.5376,258.298,NA,NA,21.6937,460.384,21.9198,342.662,22.2597,109.578,NA,NA,NA,NA,23.1298,251.731,NA,NA,23.4386,93.506,NA,NA,NA,NA,23.7374,119.456,NA,NA,NA,NA,24.0474,137.759,NA,NA,24.404,168.793,NA,NA,NA,NA,NA,NA,25.3955,79.243,NA,NA,25.9733,538.467,NA,NA,26.4828,235.761,26.6186,225.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.3_2012",NA,NA,3.0479,363.502,3.6775,2630.05,NA,NA,NA,NA,7.3086,665.854,9.9298,337.212,NA,NA,NA,NA,12.1317,363.963,NA,NA,NA,NA,13.7666,696.536,NA,NA,NA,NA,14.8458,1023.007,NA,NA,NA,NA,15.7799,265.606,16.3786,179.368,NA,NA,17.007,3758.795,NA,NA,NA,NA,17.7915,2621.813,17.9497,699.167,NA,NA,NA,NA,18.5478,129.689,18.6283,108.117,18.856,136.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5722,148.936,20.8287,511.946,21.1964,86.237,21.3008,598.924,21.4328,170.999,21.5293,89.568,NA,NA,21.6633,186.528,21.9118,281.984,NA,NA,NA,NA,NA,NA,23.1344,162.05,23.2766,91.637,23.4394,197.393,NA,NA,23.6524,108.495,23.7384,147.462,NA,NA,NA,NA,24.0086,55.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4018,508.416,NA,NA,25.9687,331.006,NA,NA,26.4875,87.971,26.6294,1140.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.5_2012",NA,NA,3.1944,803.585,3.681,2598.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1224,593.082,NA,NA,NA,NA,13.7429,249.657,NA,NA,NA,NA,14.8511,2422.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9532,1294.795,NA,NA,NA,NA,17.7297,516.843,17.9197,187.087,NA,NA,18.5292,161.421,18.609,113.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5855,247.073,20.8193,945.009,21.2798,300.481,NA,NA,21.4302,252.838,NA,NA,21.644,65.229,NA,NA,21.898,114.016,NA,NA,NA,NA,NA,NA,23.1153,386.391,23.2664,86.241,23.4258,64.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3881,164.605,NA,NA,25.9658,612.563,NA,NA,26.4789,173.335,26.6151,513.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORW.1.1_2012",NA,NA,3.1602,424.709,3.6865,2777.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1598,4458.289,NA,NA,NA,NA,13.7477,401.631,NA,NA,NA,NA,14.9041,6364.082,NA,NA,NA,NA,15.7887,346.358,NA,NA,NA,NA,16.9577,1383.613,17.1439,161.447,NA,NA,17.8088,4737.852,17.9684,1844.192,NA,NA,NA,NA,18.5619,761.828,18.6423,651.628,18.8587,226.526,19.3348,157.922,19.9255,107.45,20.0187,219.877,NA,NA,NA,NA,NA,NA,20.8583,2401.797,21.0552,3108.44,21.2984,685.14,21.4512,372.132,NA,NA,21.6021,264.629,NA,NA,21.9066,125.427,NA,NA,NA,NA,NA,NA,23.1165,437.869,23.2681,91.88,23.4311,232.323,NA,NA,NA,NA,23.729,140.696,NA,NA,NA,NA,24.0011,93.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9617,219.633,NA,NA,26.4808,101.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.2.3_2012",NA,NA,3.1602,394.48,3.6958,2974.36,NA,NA,NA,NA,7.3129,646.867,9.9279,243.416,NA,NA,NA,NA,12.1601,3506.928,NA,NA,NA,NA,13.7541,298.689,NA,NA,NA,NA,14.8417,1342.173,NA,NA,NA,NA,15.8053,635.507,NA,NA,NA,NA,16.9607,1161.622,17.1772,152.844,NA,NA,NA,NA,17.9884,602.186,NA,NA,NA,NA,18.5767,849.89,18.653,583.616,18.8611,421.045,NA,NA,19.9104,344.765,20.0189,230.62,NA,NA,NA,NA,NA,NA,20.8203,646.283,21.0329,1345.596,21.3375,2753.3,21.4319,680.137,21.5918,468.093,NA,NA,21.6653,561.296,21.9099,84.535,NA,NA,NA,NA,NA,NA,NA,NA,23.2704,68.696,23.4424,677.326,NA,NA,23.6481,73.352,23.7354,257.99,NA,NA,23.9006,96.12,24.0042,183.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9632,183.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.7_2012",NA,NA,3.1633,418.897,3.6804,3562.427,NA,NA,NA,NA,7.3032,445.595,NA,NA,NA,NA,NA,NA,12.134,2224.816,NA,NA,NA,NA,13.7455,377.057,NA,NA,NA,NA,14.8353,1276.817,NA,NA,NA,NA,15.8092,543.637,16.3643,195.041,NA,NA,17.0048,4820.249,NA,NA,NA,NA,17.8716,10813.887,17.9632,556.788,NA,NA,NA,NA,18.5697,892.858,18.6468,628.681,18.8569,278.63,NA,NA,19.9183,189.306,20.016,249.731,NA,NA,NA,NA,NA,NA,20.8107,475.391,21.0293,1508.051,21.3217,2106.427,21.4432,244.165,NA,NA,21.596,160.231,21.6664,863.286,21.9096,344.484,NA,NA,NA,NA,NA,NA,23.1034,382.981,NA,NA,23.4285,196.383,NA,NA,23.6462,87.541,NA,NA,NA,NA,NA,NA,23.9992,64.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3867,79.525,NA,NA,25.9642,504.565,NA,NA,NA,NA,26.6076,80.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.8_2012",NA,NA,3.1932,4407.104,3.6666,2720.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1351,664.128,NA,NA,NA,NA,13.7572,621.485,NA,NA,NA,NA,14.9039,5622.341,NA,NA,NA,NA,15.7952,496.118,16.3776,130.679,16.6773,175.21,17.044,7287.983,NA,NA,NA,NA,NA,NA,17.9467,358.57,NA,NA,NA,NA,18.5475,256.614,18.6272,216.861,NA,NA,NA,NA,NA,NA,NA,NA,20.027,207.066,NA,NA,20.6494,223.42,20.8638,2140.268,21.0788,3987.309,21.2953,443.729,21.4677,549.161,NA,NA,NA,NA,21.6817,1231.53,21.9336,926.839,NA,NA,NA,NA,NA,NA,23.1577,285.679,NA,NA,23.4345,68.162,23.6205,90.873,NA,NA,23.7297,151.663,NA,NA,NA,NA,24.0456,138.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4855,139.237,NA,NA,25.9813,1286.984,26.3476,78.024,26.4936,1153.216,26.6245,599.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.6_2012",NA,NA,3.1584,619.073,3.6797,3445.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1553,2548.163,NA,NA,NA,NA,13.7596,145.867,NA,NA,NA,NA,14.8389,480.571,NA,NA,NA,NA,15.7941,454.007,NA,NA,NA,NA,16.9743,1388.784,NA,NA,NA,NA,17.7996,3243.94,17.9888,107.513,NA,NA,18.4044,160.526,18.5663,574.423,18.6454,451.288,18.8668,240.549,NA,NA,19.9198,183.184,NA,NA,20.0274,184.083,NA,NA,NA,NA,20.8121,257.42,21.0264,751.772,21.3044,719.786,21.447,265.884,NA,NA,21.6027,99.811,21.6727,740.734,21.9177,129.485,NA,NA,NA,NA,NA,NA,23.1194,398.682,NA,NA,NA,NA,NA,NA,23.6594,157.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9704,305.898,NA,NA,NA,NA,26.6169,142.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.3_2012",NA,NA,3.131,210.701,3.6783,2266.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1432,1307.479,NA,NA,NA,NA,13.7624,229.519,NA,NA,NA,NA,14.8409,634.404,NA,NA,NA,NA,15.7858,387.094,NA,NA,NA,NA,16.9638,695.724,NA,NA,NA,NA,17.8091,3889.051,17.944,159.941,NA,NA,NA,NA,18.5682,690.545,18.6466,514.03,18.8596,213.35,NA,NA,19.9107,233.367,NA,NA,20.0229,161.172,NA,NA,NA,NA,20.8149,280.808,21.0323,1093.163,21.3113,926.628,21.4385,305.317,NA,NA,21.5972,159.011,21.6672,502.499,21.9136,71.207,NA,NA,NA,NA,NA,NA,23.1177,338.985,NA,NA,23.4375,79.766,NA,NA,23.655,147.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9714,351.777,NA,NA,26.5032,103.609,26.6171,145.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
