X,C001,,,C002,,,C003,,,C004,,,C005,,,C006,,,C007,,,C008,,,C009,,,C010,,,C011,,,C012,,,C013,,,C014,,,C015,,,C016,,,C017,,,C018,,,C019,,,C020,,,C021,,,C022,,,C023,,,C024,,,C025,,,C026,,,C027,,,C028,,,C029,,,C030,,,C031,,,C032,,,C033,,,C034,,,C035,,,C036,,,C037,,,C038,,,C039,,,C040,,,C041,,,C042,,,C043,,,C044,,,C045,,,C046,,,C047,,,C048,,,C049,,,C050,,,C051,,,C052,,,C053,,,C054,,,C055,,,C056,,,C057,,,C058,,,C059,,,C060,,,C061,,,C062,,,C063,,,C064,,,C065,,,C066,,,C067,,,C068,,,C069,,,C070,,,C071,,,C072,,,C073,,,C074,,
271,,,,3.0137,4033.546,7.38,4.2352,234.065,0.43,4.8743,700.718,1.28,,,,,,,,,,11.6043,255.811,0.47,,,,,,,,,,13.2518,480.154,0.88,,,,,,,,,,,,,,,,15.3625,997.8,1.82,15.9213,167.134,0.31,16.5312,2512.75,4.59,16.8134,200.199,0.37,,,,,,,,,,17.8174,21311.358,38.97,18.0346,1404.986,2.57,18.1593,117.671,0.22,18.5275,3480.531,6.36,,,,,,,,,,19.6038,140.827,0.26,19.8934,212.729,0.39,,,,,,,20.4387,1060.118,1.94,20.5889,362.707,0.66,,,,21.2684,117.345,0.21,,,,21.4162,4958.329,9.07,21.591,102.906,0.19,,,,21.7552,102.617,0.19,,,,22.109,102.621,0.19,,,,22.9938,74.432,0.14,,,,,,,,,,,,,,,,23.732,81.053,0.15,,,,,,,,,,,,,,,,,,,25.1182,188.568,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,3.0075,2998.706,5.76,4.2363,524.145,1.01,,,,,,,,,,,,,11.6013,300.74,0.58,,,,12.157,106.243,0.2,12.662,812.384,1.56,13.2708,2209.388,4.25,,,,14.245,161.432,0.31,,,,,,,,,,15.4421,95.117,0.18,15.9252,365.367,0.7,,,,16.613,10147.25,19.5,,,,,,,,,,17.8409,247.566,0.48,17.9723,137.077,0.26,18.1928,211.528,0.41,,,,18.5909,162.181,0.31,,,,19.0586,358.515,0.69,19.5585,270.325,0.52,19.9174,382.272,0.73,,,,,,,20.3374,111.711,0.21,20.5648,1512.323,2.91,20.8322,19772.135,38,21.1932,742.97,1.43,21.3174,1250.955,2.4,,,,21.5778,591.168,1.14,,,,,,,21.8916,89.764,0.17,,,,,,,,,,23.1562,149.235,0.29,,,,23.456,65.349,0.13,,,,,,,23.7586,211.261,0.41,,,,,,,,,,,,,,,,,,,25.1191,221.616,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,3.0249,5951.187,9.79,3.5661,147.434,0.24,,,,,,,,,,,,,11.66,2609.72,4.29,,,,12.1655,142.397,0.23,12.6697,179.314,0.3,13.2692,891.259,1.47,,,,,,,14.475,7351.265,12.09,,,,,,,15.3352,667.767,1.1,15.754,230.531,0.38,,,,16.6866,150.253,0.25,,,,,,,17.3944,4211.337,6.93,,,,17.966,795.401,1.31,18.1535,774.171,1.27,18.4187,250.424,0.41,,,,,,,18.9219,217.968,0.36,19.4954,519.18,0.85,19.8822,144.316,0.24,,,,,,,20.2148,402.088,0.66,20.6201,1676.981,2.76,,,,21.0899,898.539,1.48,21.3617,450.537,0.74,,,,,,,21.5961,446.953,0.74,,,,21.9087,376.019,0.62,22.3324,126.735,0.21,22.7003,167.505,0.28,23.0096,201.193,0.33,23.1753,338,0.56,23.3431,131.502,0.22,23.4721,242.668,0.4,,,,,,,23.7478,256.545,0.42,,,,,,,,,,,,,,,,24.9887,118.615,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,3.0175,4452.624,20.78,4.2385,125.789,0.59,,,,5.0238,383.998,1.79,,,,,,,11.6054,225.395,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2929,567.766,2.65,15.9149,140.325,0.65,16.5338,2775.9,12.96,,,,,,,,,,,,,,,,17.9218,392.439,1.83,18.1906,235.248,1.1,18.3885,150.044,0.7,,,,,,,,,,19.5859,239.995,1.12,,,,,,,,,,20.3911,276.534,1.29,20.5898,774.123,3.61,20.946,724.664,3.38,21.2267,171.57,0.8,21.3395,356.682,1.66,21.4779,259.383,1.21,21.5571,196.684,0.92,,,,,,,,,,,,,22.689,131.382,0.61,22.9568,337.71,1.58,,,,23.2655,58.321,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1157,71.089,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,3.0171,3685.832,11.41,4.1787,159.125,0.49,,,,,,,,,,,,,11.6376,2075.341,6.43,,,,,,,,,,13.2411,196.813,0.61,,,,,,,14.4501,6346.014,19.65,,,,,,,15.2781,372.38,1.15,,,,16.4993,1131.234,3.5,16.6538,110.158,0.34,,,,,,,,,,,,,17.936,694.768,2.15,18.2029,443.783,1.37,18.3987,303.045,0.94,,,,,,,18.9045,204.449,0.63,19.5795,110.765,0.34,,,,,,,,,,20.4535,2431.153,7.53,20.587,597,1.85,20.9364,263.206,0.82,21.2292,206.558,0.64,21.3347,223.115,0.69,,,,,,,,,,,,,21.902,276.837,0.86,,,,,,,22.9926,70.681,0.22,23.1553,127.481,0.39,,,,,,,,,,,,,23.7321,81.429,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,3.0209,14727.314,16.91,3.5581,165.04,0.19,,,,,,,,,,,,,11.6417,2375.969,2.73,,,,12.1532,272.854,0.31,12.6568,146.667,0.17,13.2402,119.086,0.14,13.7134,224.256,0.26,14.2475,108.369,0.12,,,,14.6956,119.16,0.14,,,,15.4223,1224.074,1.41,15.8056,772.719,0.89,16.245,292.409,0.34,16.643,13092.401,15.04,,,,,,,17.4588,10031.797,11.52,,,,17.9792,806.494,0.93,18.1688,1366.459,1.57,18.4398,728.724,0.84,18.6154,194.104,0.22,,,,,,,19.4768,610.846,0.7,,,,,,,,,,20.4144,700.791,0.8,20.5882,1100.103,1.26,20.8755,93.998,0.11,21.1012,772.067,0.89,21.2815,393.48,0.45,,,,,,,21.597,472.853,0.54,,,,21.9085,254.086,0.29,,,,,,,,,,23.1601,100.548,0.12,23.2714,78.817,0.09,,,,,,,,,,23.7322,90.14,0.1,,,,,,,,,,,,,,,,,,,25.1179,214.084,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,3.0164,2792.733,6.21,4.2389,214.236,0.48,,,,,,,,,,,,,11.6115,407.696,0.91,,,,12.162,103.757,0.23,12.6641,519.128,1.15,13.2607,1021.269,2.27,,,,,,,,,,,,,,,,,,,15.9412,779.05,1.73,16.2382,197.185,0.44,16.6466,13448.179,29.9,,,,,,,,,,,,,17.9304,320.381,0.71,18.21,431.472,0.96,,,,18.6017,284.441,0.63,,,,18.9056,93.599,0.21,19.6016,228.893,0.51,,,,,,,,,,20.4699,1603.733,3.57,20.7129,6967.275,15.49,20.9104,79.545,0.18,21.1664,484.12,1.08,21.3006,826.181,1.84,,,,,,,21.5991,1403.986,3.12,,,,21.8879,161.547,0.36,,,,,,,22.9974,135.79,0.3,23.1614,214.703,0.48,23.3188,54.716,0.12,23.4592,105.464,0.23,,,,,,,23.7579,231.046,0.51,,,,,,,,,,,,,,,,24.946,157.488,0.35,25.124,392.239,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,3.0175,2065.638,3.98,4.2402,120.665,0.23,,,,5.0351,415.721,0.8,,,,,,,11.617,724.082,1.39,,,,12.1714,162.884,0.31,12.672,927.575,1.79,13.2826,2382.554,4.59,,,,14.2553,100.309,0.19,,,,,,,,,,15.3773,216.98,0.42,15.9381,570.622,1.1,16.2384,280.047,0.54,16.6611,15582.903,29.99,,,,,,,,,,,,,17.9404,370.755,0.71,18.2035,368.648,0.71,,,,18.5973,216.955,0.42,,,,18.9038,84.462,0.16,,,,19.8776,133.922,0.26,,,,,,,20.2509,145.439,0.28,,,,20.7636,11842.026,22.79,21.1716,590.617,1.14,21.322,1209.846,2.33,,,,,,,21.5987,1287.808,2.48,,,,21.9976,298.936,0.58,22.3191,89.781,0.17,22.6802,174.666,0.34,,,,,,,,,,,,,,,,,,,23.7639,364.048,0.7,,,,,,,,,,,,,,,,,,,25.1175,106.471,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,3.02,9886.513,19.59,4.2371,261.011,0.52,,,,,,,,,,,,,11.6424,2185.338,4.33,,,,12.1511,129.068,0.26,,,,,,,13.711,192.807,0.38,,,,,,,14.6941,117.977,0.23,,,,15.3405,1200.371,2.38,15.7441,494.12,0.98,16.5511,4016.031,7.96,16.7061,146.399,0.29,,,,,,,17.4336,8445.534,16.73,,,,17.9902,1210.56,2.4,18.1701,1389.373,2.75,18.4256,435.425,0.86,,,,,,,,,,19.4411,644.183,1.28,,,,,,,,,,20.4112,562.628,1.11,20.5486,582.468,1.15,20.8499,272.896,0.54,21.2463,408.853,0.81,21.3581,801.263,1.59,,,,21.5734,200.664,0.4,,,,,,,21.9126,368.111,0.73,,,,22.7814,155.972,0.31,22.8953,1654.307,3.28,,,,23.2731,59.396,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.117,102.556,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,3.0208,10147.929,18.56,4.2379,309.634,0.57,,,,,,,,,,,,,11.6315,1458.132,2.67,,,,12.1833,216.811,0.4,,,,13.2459,322.047,0.59,13.7129,200.535,0.37,,,,,,,14.6929,111.204,0.2,,,,15.3643,1521.287,2.78,15.7488,485.436,0.89,,,,16.7167,100.765,0.18,,,,,,,17.4498,9801.085,17.93,,,,17.9453,336.455,0.62,18.1584,1174.936,2.15,18.4538,1215.067,2.22,,,,,,,,,,19.4541,672.019,1.23,19.8724,84.331,0.15,,,,,,,20.4166,598.028,1.09,20.6135,1563.571,2.86,20.8544,87.499,0.16,21.2506,408.702,0.75,21.3645,1091.207,2,,,,21.5834,321.731,0.59,,,,,,,21.9881,207.254,0.38,,,,,,,,,,23.1635,174.841,0.32,23.2739,103.633,0.19,23.4588,98.063,0.18,,,,,,,23.736,170.402,0.31,,,,,,,,,,,,,,,,,,,25.1173,72.979,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
