ASV_ID,20-21_1,20-21_10,20-21_11,20-21_12,20-21_13,20-21_14,20-21_15,20-21_16,20-21_17,20-21_18,20-21_19,20-21_2,20-21_20,20-21_21,20-21_23,20-21_24,20-21_25,20-21_26,20-21_27,20-21_28,20-21_29,20-21_3,20-21_31,20-21_32,20-21_33,20-21_34,20-21_35,20-21_36,20-21_38,20-21_39,20-21_4,20-21_40,20-21_42,20-21_43,20-21_44,20-21_5,20-21_6,20-21_7,20-21_8,20-21_9,AH1901,AH1902,AH1903,AH1904,AH1905,AH1906,AH1907,AH1908,AH1909,AH1910,AH1911,AH1912,AH1913,AH1914,AH1915,AH1916,AH1917,AH1918,AH1919,AH1920,AH1921,AH1925,AH1926,AH1927,AH1930,AH1931,AH1932,AH1933,AH1934,AH1935,AH1936,AH1937,AH1941,AH1943,AH1945,AH1946,AH1947,AH1948,AH1954,AH1955,AH1956,AHM20005,AHM20006,AHM20007,AHM20008,AHM20010,AHM20011,AHM20012,AHM20013,AHM20014,AHM20015,AHM20016,AHM20017,AHM20018,AHM20019,AHM20020,AHM20021,AHM20022,AHM20023,AHM20025,AHM20026,AHM20027,AHM20028,AHM20029,AHM20030,AHM20031,AHM20032,AHM20033,AHM20034,AHM20035,AHM20036,AHM20037,AHM20038,AHM20039,AHM20040,AHM20041,AHM20042,AHM20043,AHM20044,AHM20045,AHM20046,AHM20047,AHM20048,AHM20049,AHM20050,AHM20051,AHM20053,AHM20054,AHM20055,AHM20056,AHM20057,AHM20058,AHM20059,AHM20060,AHM20061,AHM20062,AHM20063,AHM20064,AHM20065,AHM20066,AHM20092,AHM20093,AHM20094,AHM20095,AHM20096,AHM20097,AHM20098,AHM20099,AHM20101,AHM20102,AHM20103,AHM20104,AHM20105,AHM20106,AHM20107,AHM20108,AHM20109,AHM20110,AHM20111,AHM20112,AHM20113,AHM20114,AHM20115,AHM20116,AHM20117,AHM20118,AHM20119,AHM20120,AHM20121,AHM20122,AHM20123,AHM20124,AHM20125,AHM20126,AHM20127,AHM20128,AHM20129,AHM20130,AHM20131,AHM20132,AHM20133,AHM20134,AHM20135,AHM20136,AHM20137,AHM20138,AHM20139,AHM20140,AHM20141,AHM20142,AHM20143,AHM20144,AHM20145,AHM20146,AHM20147,AHM20148,AHM20149,AHM20150,AHM20151,AHM20152,AHM20153,AHM20154,AHM20155,AHM20156,AHM20157,AHM20158,AHM20159,AHM20160,AHM20161,AHM20162,AHM20163,AHM20164,AHM20165,AHM20166,AHM20167,AHM20168,AHM20185,AHM20186,AHM20187,AHM20188,AHM20189,AHM20190,AHM20191,AHM20192,AHM20193,AHM20194,AHM20195,AHM20196,AHM20197,AHM20198,AHM20199,AHM20200,AHM20201,AHM20202,AHM20203,AHM20204,AHM20205,AHM20206,AHM20207,AHM20208,AHM20209,AHM20210,AHM20211,AHM20212,AHM20213,AHM20214,AHM20215,AHM20216,AHM20217,AHM20218,AHM20219,AHM20220,AHM20221,AZT.1.10_2012,AZT.1.3_2021,AZT.1.7_2012,AZT.1.7_2021,AZTW.1.5_2012,AZTW.1.5_2021,AZTW.1.7_2012,AZTW.1.7_2021,AZTW.1.8_2012,CAT.1.1_2012,CAT.1.1_2021,CAT.1.5_2012,CAT.1.5_2021,CAT.2.4_2012,CAT.2.4_2021,CAT.2.7_2012,CAT.2.9_2012v1,CAT.2.9_2012v2,CAT.2.9_2021,CAV.1.10_2012,CAV.1.4_2012,CAV.1.6_2012,CAV.1.7_2012,CAV.2.10_2012,CAV.2.6_2012,CAV.2.7_2012v1,CAV.2.7_2012v2,CAV.3.6_2012,CAV.4.1_2012,CAV.4.4_2012,CAVW.3.1_2012,CAVW.3.5_2012,CAVW.3.8_2012,COVW.2.2_2012,COVW.2.2_2021,COVW.2.3_2012,COVW.2.3_2021,COVW.2.4_2012,COVW.2.6_2012,COVW.2.7_2012,COVW.2.7_2021,COW.1.2_2021,COW.1.8_2012,IDT.1.10_2012,IDT.1.10_2021,IDT.1.2_2012,IDT.1.2_2021,IDT.1.3_2012,IDT.1.3_2021,IDT.1.4_2012,IDT.1.6_2012,IDT.1.6_2021,IDT.2.4_2012,IDT.3.3_2012,IDT.3.5_2012,IDT.3.5_2021,IDT.3.9_2012,IDT.3.9_2021,IDV.2.7_2012,IDV.2.8_2012,IDV.3.5_2012,IDV.3.7_2012,IDV.3.8_2012,IDV.5.1_2012,IDV.5.10_2012,IDV.5.7_2012,IDV.5.8_2012,IDV.5.9_2012,IDW.1.2_2021,IDW.1.3_2012,IDW.1.4_2012,IDW.1.4_2021,IDW.1.5_2012,IDW.1.5_2021,IDW.1.6_2021,IDW.1.7_2012,IDW.1.7_2021,IDW.1.8_2012,IDW.2.2_2012,IDW.2.3_2021,IDW.3.10_2012,IDW.3.10_2021,IDW.3.2_2012,IDW.3.4_2012,IDW.3.4_2021,IDW.3.6_2012,IDW.3.6_2021,IDW.3.8_2012,MTT.1.6_2012,MTT.1.6_2021,MTV.1.10_2012,MTW.1.2_2012,MTW.1.2_2021,MTW.3.4_2021,MTW.3.7_2012,MTW.3.7.R_2012,NEG_5-19-21,NEG_6-23-21,NEG_8-28-21,NEG_9-30-21,NMT.1.6_2012,NMT.1.6_2021,NMT.1.9_2012,NMT.1.9_2021,NMT.2.3_2021,NMT.2.4_2012,NMT.2.4_2021,NMT.2.5_2012,NMT.2.6_2021,NMT.2.8_2012,NMT.2.8_2021,NVT.1.6_2012,NVT.2.8_2012,NVT.2.9_2012v1,NVT.2.9_2012v2,NVTW.1.10_2012,NVTW.1.10_2021,NVTW.1.3_2012,NVV.2.5_2012,NVV.2.5_2021,NVV.2.9_2012,NVV.3.4_2012,NVV.3.5_2012,ORT.1.1_2012,ORT.1.6_2012,ORT.1.6_2021,ORT.1.9_2012,ORT.1.9_2021,ORT.2.10_2012v1,ORT.2.10_2012v2,ORT.2.3_2012,ORT.2.4_2012,ORT.2.4_2021,ORT.2.5_2012,ORT.2.6_2012,ORT.2.9_2012,ORT.3.1_2012,ORT.3.10_2012,ORT.3.5_2012,ORT.3.7_2012,ORTW.2.1_2012,ORV.1.1_2012,ORV.1.10_2012,ORV.1.10_2021,ORV.1.3_2012,ORV.1.4_2012,ORV.1.6_2012,ORV.1.8_2012,ORW.1.1_2021,UTT.1.1_2012,UTT.1.1_2021,UTT.1.5_2012,UTT.1.5_2021,UTT.1.6_2012,UTT.1.6_2021,UTT.1.8_2012,UTT.1.9_2012,UTT.1.9_2021,UTT.2.3_2012,UTT.3.10_2012,UTT.3.3_2012,UTV.1.7_2012,UTV.3.4_2012,UTV.3.5_2012,UTV.3.5_2021,UTW.1.1_2012,UTW.1.10_2021,UTW.1.4_2021,UTW.2.10_2012,UTW.2.3_2021,UTW.2.6_2012,UTWV.2.1_2012,UTWV.2.10_2021,UTWV.2.6_2021,UTWV.2.7_2012,UTWV.2.7_2021,UTWV.2.8_2012,UTWV.2.8_2021,ORTV.2.4_2012,WAT.1.3_2012,WAT.1.3_2021,WAT.1.4_2012v1,WAT.1.4_2012v2,WAT.1.4_2021,WAT.1.6_2012,WAT.1.6_2021,WAT.1.9_2012v1,WAT.1.9_2012v2,WAT.1.9_2021,WAT.2.1_2012,WAT.2.1_2021,WAT.2.3_2012,WAT.2.4_2012,WAT.2.4_2021,WAT.2.7_2012,WAT.2.8_2012v1,WAT.2.8_2012v2,WAT.2.8_2021,WAT.2.9_2012,WAT.2.9_2021,WAW.1.1_2012,WAW.1.2_2012,WAW.1.2_2021,WAW.1.3_2012,WAW.1.3_2021,WAW.1.4_2012,WAW.1.5_2012,WAW.1.6_2012,WAW.1.6_2021,WAW.1.7_2012
1f063402c40bbcf473c83736a53b4f2d,1479,1180,4056,813,1703,0,0,1494,86,865,1560,0,571,2467,880,1305,1999,0,0,11,32,0,1392,39,1081,1653,766,896,0,0,1079,0,121,1519,800,87,1635,1110,93,1177,47,1602,717,620,1056,918,834,1245,206,2266,643,226,49,1563,259,974,947,841,0,532,148,300,1209,1444,1134,946,1165,0,1403,1079,1078,80,720,0,875,544,1058,2426,149,1859,693,534,1155,889,306,1153,2501,1524,2737,2507,50,838,1828,1400,1805,1496,797,751,1914,1012,0,508,140,544,1014,1911,1216,655,845,25,44,9,749,93,1468,1734,1544,0,108,1252,329,909,2539,854,419,1086,977,788,507,0,0,0,0,856,236,645,807,299,494,1666,2147,264,718,320,501,1633,1412,940,271,446,1036,1213,1765,453,1316,537,825,2779,281,656,1288,355,1059,902,853,850,821,878,1301,2223,1094,0,0,1403,1350,1561,1306,0,682,1869,0,1190,817,1168,889,875,2936,381,1057,1145,829,779,427,207,1519,716,1215,1495,916,529,1296,666,258,191,1628,727,1206,2172,848,922,1256,0,1666,1434,1380,1794,882,421,1097,391,516,0,67,1125,999,581,874,394,508,0,0,639,441,1249,1031,2230,1110,1698,0,795,800,951,1174,1550,0,1497,609,1071,1382,1937,812,1220,1073,0,0,77,1645,87,245,577,2268,0,715,1261,36,163,0,2517,760,815,1302,1131,369,374,777,132,491,730,741,698,116,1220,269,1978,1294,751,284,398,851,0,740,347,124,620,596,544,0,0,726,0,0,1456,604,0,683,250,708,0,234,0,1612,942,350,454,1125,773,0,307,998,532,255,1220,245,585,0,294,2044,565,644,87,1334,1482,0,1664,875,203,225,964,337,4,499,98,220,517,581,540,0,877,0,735,1131,767,0,0,1285,45,975,585,241,79,568,599,1202,0,0,0,1087,961,0,2645,0,158,0,320,258,536,0,59,935,17,391,506,0,258,92,370,662,0,237,173,0,0,139,1374,1286,592,1594,0,0,342,322,243,617,635,692,0,474,825,930,0,110,0,245,1533,815,655,2377,115,1521,1394,0,1220,401,459,1164,865,0,0,401,270,0,576,0,1549,315,162,1388,172,512,1528,0,208,0,632,1101,230,625,1094,305,390,21,163,49,1265,238,1650,353,496,220,186,624,878,764
1bfe6883c827ae962725d53d567780fc,836,0,124,126,490,0,0,1442,0,0,704,0,88,414,0,838,422,0,0,24,0,0,775,0,254,77,49,848,0,0,453,0,39,686,777,0,66,595,0,936,0,0,0,0,97,164,0,0,0,18,11,0,0,740,235,170,294,94,0,0,677,0,74,314,85,0,44,368,12,35,398,0,238,0,220,41,238,128,40,263,281,357,241,96,0,197,104,288,313,213,0,163,1987,614,0,36,180,173,51,0,0,22,24,0,1620,1717,30,0,283,0,0,0,205,0,155,0,507,0,0,861,0,232,189,225,0,40,54,183,0,0,0,98,0,867,0,0,94,230,0,80,66,59,47,0,51,1458,0,73,80,0,0,0,172,0,498,0,399,1316,0,0,421,123,1060,594,411,0,157,0,0,272,39,100,0,45,0,227,661,171,0,929,0,0,21,679,0,0,201,60,10,0,0,131,292,0,514,436,993,588,512,0,95,750,0,0,908,108,887,999,805,0,704,0,59,761,97,0,232,0,87,339,148,0,0,0,0,212,0,0,11,0,28,0,0,309,156,0,0,42,0,0,0,290,48,395,0,701,295,892,0,0,0,79,0,0,0,0,0,0,0,54,157,0,75,667,0,0,0,1050,10,0,0,217,0,0,0,0,0,21,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,116,90,0,0,0,0,0,0,443,0,0,612,32,0,0,14,0,63,6,0,0,23,0,0,0,0,0,0,0,19,0,0,0,255,292,0,0,0,0,0,156,55,0,0,339,0,0,0,6,0,0,0,104,0,33,5,0,0,0,0,0,55,0,337,40,138,0,0,0,43,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,532,3,0,29,0,0,0,180,0,0,0,12,0,0,0,139,29,0,934,0,0,0,0,22,25,0,0,0,21,91,0,0,6,0,0,65,0,0,6,0,29,110,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,182,0,116,29,0,0,0,0,27,0,22,93,0,0,0,0,0,112,0,266,0,73,0,0,0,20,30
3518c430b3f2d2c3844aee6b7d76990a,0,0,0,0,13,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,18,0,0,58,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,93,61,657,0,0,0,0,0,0,0,82,157,504,131,0,0,0,0,0,0,467,1039,0,0,0,0,0,0,0,0,0,0,0,0,16,0,172,114,25,41,0,0,0,33,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,17,0,0,1192,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,7,0,0,0,0,0,0,0,0,0,0,0,63,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,33,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,344,817,0,0,0,0,0,0,189,890,241,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,47,393,271,0,20,0,0,0,0,95,58,14,6,25,0,0,67,0,0,0,0,0,19,0,0,0,0,0,0,77,63,0,0,0,0,168,159,0,0,0,208,65,0,0,50,0,0,17,8,0,54,7,423,35,0,45,0,0,16,65,0,0,0,0,0,24,0,64,235,6,0,0,0,13,0,108,328,8,0,291,0,0,0,35,0,0,0,411,0,0,0,0,58,0,0,0,50,0,27,33,12,0,0,135,119,0,0,0,0,0,0,355,0,0,0,41,0,0,0,0,0,0,0,20,12,0,16,0,18,0,23,35,5,0,0,0,0,0,56,0,0,0,0,84,0,0,12,0,73,134,0,0,49,0,0,46,29,0,9,0,33,526,0,0,0,0,0,228,0,0,0,0,0,0,0,0,61,0,0,23,291,11,0,0,0,37,16,0,402,38,0,49,0,0,0,0,0,1397,58,384,0,0,55,63,0
af85188d67ec267b1b38a14f89cf619a,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,1970,0,0,62,1927,0,0,0,0,0,0,12,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2118,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,48,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f4785e9d1acd59e64a0fb15d13bd8e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,808,215,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,917,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,350,0,0,0,0,0,0,0,0,169,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,274,0,524,0,0,0,0,0,0,0,0,4301,0,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,147,0,189,0,0,0,0,0,0,0,0,0,202,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c5626f1cd28adf1afaeea0741296fb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,162,252,198,0,13,0,0,0,0,0,0,109,159,124,80,0,5,0,0,0,136,265,0,27,0,0,0,0,0,0,0,0,0,8,0,0,188,165,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,3,4,0,0,0,17,0,9,0,0,0,0,0,9,19,0,0,11,0,0,0,0,0,17,0,8,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,10,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,259,0,0,0,0,0,0,0,134,321,0,0,0,0,0,0,158,146,224,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,50,23,171,0,44,0,0,0,0,165,272,152,66,0,0,124,216,96,123,138,132,159,116,71,28,203,33,0,0,72,114,0,93,174,16,88,0,76,0,0,52,0,22,0,0,0,11,0,28,0,72,0,204,217,171,74,103,0,0,155,94,165,151,7,0,133,0,0,73,0,73,0,287,103,0,73,141,51,108,0,0,0,67,26,18,114,84,130,0,22,109,0,0,0,0,0,56,0,31,17,20,21,42,138,137,9,0,0,241,59,0,111,18,124,0,157,0,54,0,5,0,0,10,0,153,0,16,0,43,0,24,31,0,23,0,76,99,82,0,13,41,31,73,74,54,0,0,19,0,225,186,0,66,0,16,57,0,0,108,20,257,227,0,57,0,312,75,210,0,69,17,195,0,166,0,0,121,74,0,26,94,0,0,0,9,0,90,33,52,0,111,63,0,0,0,74,137,93,40,72,131,28,107,70,70
028b542d0785bbc670fb095faf9aa8ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09e6c279dc4322e6b21a4b5574cbf4b8,394,0,0,0,834,0,0,0,0,384,114,0,0,99,0,27,243,0,16,0,0,0,53,0,229,6,0,152,0,0,43,0,0,274,194,0,0,347,14,52,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,92,57,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,35,0,191,90,0,71,0,39,25,367,0,41,158,492,0,0,0,0,0,0,0,142,0,22,805,0,0,0,126,0,0,0,117,0,0,0,134,0,0,203,41,0,39,0,0,0,37,0,192,0,0,0,0,729,0,0,324,0,0,110,0,0,0,0,8,0,0,89,0,0,0,0,0,0,0,0,975,67,0,0,0,0,0,0,0,0,463,0,0,133,0,0,0,0,0,0,0,0,0,301,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0,63,358,0,0,0,50,0,0,0,149,0,186,45,0,0,151,0,0,118,0,0,0,0,0,0,0,0,0,79,0,55,0,0,0,14,107,0,6,0,0,0,0,0,0,298,0,65,88,0,0,79,50,60,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7af01543e586d9b4857653641fce1358,73,17,122,69,124,0,0,77,0,24,202,0,17,96,0,320,72,0,0,0,0,0,395,0,0,0,0,225,0,0,10,0,0,347,61,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,57,0,0,0,0,27,272,100,0,0,0,0,0,20,0,43,18,0,0,0,0,155,94,81,0,15,80,121,464,126,0,56,165,18,61,129,0,63,33,0,0,0,0,13,18,0,0,13,73,0,0,0,0,0,20,0,92,0,0,29,0,0,73,0,0,157,0,0,0,0,13,0,0,152,184,9,41,306,0,22,0,378,0,0,0,0,38,0,0,0,88,0,0,0,74,167,0,0,0,0,25,24,108,19,31,169,0,22,119,135,23,0,8,26,0,0,170,0,76,0,0,16,0,0,34,60,157,7,312,0,0,0,0,0,95,0,59,569,27,0,5,151,8,0,0,0,70,0,0,144,104,0,0,135,136,0,0,90,39,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,12,97,0,51,0,55,0,218,0,0,0,30,0,15,303,0,0,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,39,0,0,0,25,27,0,18,0,0,0,28,16,8,0,0,33,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,185,0,0,0,0,0,0,40,34,0,0,0,0,0,0,17,0,79,0,16,0,18,0,0,39,0,21,21,0,49,0,0,39,0,0,0,0,9,12,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,23,0,0,0,0,28,18,0,0,0,65,0,0,0,0,0,0,0,0,0,0,87,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,12,0,41,0,0,0,13,13,0,0,0,0,0,0,0,0,0,21,0,0,0,0,105,0,0,0,51,0,0,0,0,48,0,0,0,0
c63bbae13a9a484c1c8d8ddfe0f2739c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
