"C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
NA,NA,1800.013,NA,NA,502.215,NA,NA,NA,777.207,NA,NA,1012.763,NA,NA,6790.978,NA,NA,NA,NA,NA,1983.042,NA,NA,278.12,1002.364,NA,131.819,137.744,NA,NA,111.661,NA,NA,NA,NA,NA,2781.268,6075.184,NA,300.684,NA,76.232,NA,218.42,NA,NA,96.435,539.445,152.421,389.138,87.088,NA,244.142,NA,NA,117.062,NA,NA,NA,NA,NA,110.071,NA,199.695,NA,158.79,109.776,NA,NA,NA,NA,NA,NA
NA,329.2,3593.697,NA,NA,1137.169,388.485,NA,NA,917.579,NA,NA,NA,1758.527,NA,3494.37,NA,NA,465.786,NA,NA,181.721,NA,NA,4906.051,2282.346,NA,675.968,236.898,218.837,509.472,90.481,NA,202.483,NA,NA,237.727,2374.782,NA,948.566,469.145,NA,NA,3830.164,NA,NA,NA,117.139,194.027,189.193,760.491,55.746,50.122,460.728,NA,NA,219.921,NA,NA,NA,NA,164.264,82.239,NA,223.588,NA,95.464,103.895,212.532,NA,NA,NA,NA,NA
NA,364.072,NA,NA,NA,NA,NA,NA,NA,666.102,NA,3094.079,724.977,NA,NA,1799.885,NA,137.574,NA,171.521,NA,6574.377,NA,NA,NA,546.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.843,2387.52,NA,619.743,NA,NA,203.91,539.668,214.121,NA,NA,500.198,112.758,94.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.639,NA,77.399,NA,441.791,NA,136.802,142.629,NA,NA,NA,NA,NA,NA
NA,4013.794,4640.29,NA,NA,634.709,293.353,500.699,NA,1047.029,NA,NA,996.908,NA,NA,706.323,NA,NA,593.866,NA,NA,1700.55,NA,NA,3197.175,205.747,NA,NA,726.751,578.279,301.51,NA,NA,140.317,185.925,NA,NA,229.689,86.118,648.167,145.221,73.333,NA,684.827,191.299,135.378,NA,NA,576.882,NA,152.653,NA,170.29,162.661,NA,NA,303.658,NA,NA,NA,NA,NA,NA,NA,580.257,NA,101.36,118.988,NA,NA,NA,NA,NA,NA
NA,645.306,1001.024,NA,NA,NA,NA,NA,NA,1483.017,NA,309.665,2256.239,NA,NA,5851.992,NA,NA,155.749,NA,NA,422.614,NA,NA,626.762,799.999,NA,NA,321.968,309.907,193.373,108.682,NA,NA,169.999,NA,NA,1806.906,7980.465,NA,368.3,102.048,64.199,1136.424,75.952,NA,NA,NA,334.109,75.012,198.772,NA,NA,159.036,NA,NA,86.54,NA,NA,NA,NA,NA,135.096,NA,251.224,NA,89.003,324.12,NA,NA,NA,NA,NA,NA
NA,640.03,982.661,NA,NA,NA,NA,NA,NA,630.767,NA,305.323,1587.405,408.533,NA,3409.616,NA,NA,NA,122.22,NA,153.006,NA,NA,980.656,1420.273,NA,553.21,207.04,195.498,NA,NA,NA,NA,250.496,NA,NA,364.639,86.932,NA,180.478,NA,NA,445.231,NA,NA,NA,NA,NA,79.811,244.378,NA,NA,100.429,NA,NA,50.947,NA,NA,NA,135.551,NA,NA,NA,474.457,NA,NA,270.008,227.232,NA,NA,NA,NA,NA
NA,321.604,1808.072,NA,NA,596.677,290.353,NA,NA,1210.724,NA,455.517,2734.274,692.692,NA,3258.512,NA,NA,NA,NA,NA,1658.795,NA,NA,2005.001,2311.697,NA,1110.826,193.837,166.876,NA,97.569,NA,NA,185.229,NA,NA,1558.06,8474.887,NA,210.399,196.386,NA,308.979,114.881,118.505,NA,NA,112.175,93.077,332.261,NA,NA,146.257,NA,NA,98.271,NA,NA,NA,71.393,NA,76.562,NA,538.938,NA,151.639,256.605,355.642,131.026,NA,NA,NA,NA
NA,754.512,1580.442,NA,NA,NA,NA,NA,NA,NA,NA,168.245,773.637,NA,NA,1593.223,NA,NA,NA,134.787,NA,4987.985,NA,NA,375.913,340.578,NA,144.652,128.328,NA,NA,NA,NA,NA,NA,NA,NA,466.822,4244.043,NA,111.583,NA,269.743,NA,536.798,NA,NA,NA,478.054,NA,NA,NA,NA,NA,NA,NA,163.374,NA,NA,NA,NA,NA,191.805,NA,616.81,NA,NA,272.842,NA,NA,NA,NA,NA,NA
NA,304.31,3359.454,NA,NA,605.935,269.343,NA,NA,1077.184,NA,NA,250.058,NA,NA,2266.901,NA,NA,285.779,NA,NA,1943.918,NA,NA,1597.903,776.844,NA,199.035,151.86,NA,261.251,NA,NA,125.341,NA,NA,NA,882.718,398.304,NA,138.081,NA,NA,935.948,189.564,NA,NA,NA,685.723,110.572,149.802,NA,NA,NA,81.857,NA,55.584,NA,NA,NA,NA,NA,93.717,NA,112.423,NA,NA,129.592,NA,NA,NA,NA,NA,NA
NA,706.2,3216.309,NA,NA,NA,NA,NA,NA,1497.477,NA,NA,677.282,NA,NA,566.043,NA,NA,1400.937,NA,NA,1980.194,NA,NA,941.355,NA,NA,NA,483.03,336.593,400.125,NA,NA,211.404,227.684,NA,NA,149.345,2845.648,1824.226,427.566,NA,NA,2035.083,290.682,NA,NA,NA,213.531,NA,99.354,58.571,164.683,95.833,NA,NA,60.92,NA,NA,NA,NA,NA,NA,NA,159.574,NA,NA,98.05,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.344,364.149,2213.034,148.988,NA,NA,NA,379.123,NA,NA,254.873,NA,NA,1928.288,NA,NA,1319.628,NA,NA,574.59,NA,NA,NA,NA,NA,188.258,NA,1521.061,NA,NA,NA,NA,13048.754,NA,NA,NA,NA,185.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.353,NA,195.187,414.883,517.156,204.688,NA,NA,NA,NA
NA,1620.614,7235.198,NA,NA,NA,NA,NA,286.656,327.132,NA,NA,827.285,NA,NA,392.701,NA,NA,1034.183,NA,274.784,2902.019,NA,NA,1762.526,163.937,NA,NA,488.18,402.125,371.764,NA,NA,114.846,245.681,NA,233.745,172.912,3507.737,1070.926,180.532,124.198,NA,3734.547,275.971,NA,NA,87.66,729.397,82.611,123.662,103.392,295.976,152.88,NA,NA,67.024,NA,NA,NA,NA,NA,170.173,NA,NA,NA,NA,128.628,NA,NA,NA,NA,NA,NA
NA,2717.448,3531.621,NA,NA,NA,NA,NA,NA,728.862,NA,NA,752.356,NA,NA,642.15,NA,NA,1205.229,NA,NA,1867.424,NA,NA,384.223,NA,NA,NA,726.247,552.208,290.107,NA,NA,193.138,219.681,NA,NA,221.801,4608.996,717.364,271.968,97.94,NA,1317.079,265.869,NA,NA,NA,430.651,NA,NA,NA,265.889,58.121,NA,NA,115.182,79.008,NA,NA,NA,NA,NA,NA,355.023,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,290.918,3028.827,NA,NA,784.65,258.479,NA,NA,1148.948,NA,180.947,440.78,NA,NA,3436.386,NA,NA,782.993,NA,NA,1944.759,NA,NA,3008.677,968.385,NA,NA,323.232,322.874,1182.131,85.39,NA,NA,NA,NA,179.536,1256.01,3762.332,512.04,315.582,NA,NA,6929.535,197.055,NA,84.16,NA,137.927,231.061,594.52,NA,NA,255.4,NA,NA,135.513,NA,NA,NA,NA,NA,58.586,NA,159.507,NA,NA,121.486,NA,NA,77.114,NA,NA,NA
NA,580.138,2028.279,NA,NA,NA,NA,NA,NA,361.491,NA,NA,785.957,NA,NA,3265.328,NA,NA,NA,NA,NA,4273.656,NA,NA,465.324,256.325,NA,198.117,160.535,NA,NA,82.74,NA,NA,NA,NA,138.574,1179.191,306.987,NA,187.746,NA,151.194,NA,349.171,NA,NA,NA,598.792,111.021,89.599,NA,NA,NA,NA,NA,72.717,NA,NA,NA,NA,NA,345.767,NA,382.58,NA,NA,289.394,NA,NA,NA,NA,NA,NA
NA,1055.939,2172.391,NA,NA,NA,NA,NA,NA,2566.353,NA,714.876,1499.555,NA,NA,3127.426,NA,NA,NA,280.064,NA,10286.657,NA,NA,359.154,2432.908,NA,113.225,148.609,NA,126.623,100.55,NA,NA,NA,NA,NA,1490.34,6723.375,NA,136.353,318.736,NA,499.598,790.357,83.542,NA,NA,212.301,106.219,216.386,NA,NA,172.36,NA,NA,85.787,NA,NA,NA,NA,NA,172.001,NA,1087.165,63.871,152.863,623.466,68.726,NA,NA,NA,NA,NA
NA,786.088,3514.869,NA,NA,599.378,NA,595.296,NA,699.505,NA,NA,182.146,NA,NA,473.392,NA,NA,466.669,NA,NA,114.437,NA,NA,2091.571,NA,NA,681.142,465.071,NA,180.829,NA,188.898,133.625,NA,NA,NA,117.959,1089.994,NA,173.736,NA,225.559,NA,NA,NA,NA,NA,535.824,61.11,187.674,NA,149.575,NA,135.104,NA,82.543,NA,NA,NA,NA,NA,NA,NA,110.228,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,504.766,1362.941,149.26,NA,NA,NA,NA,NA,1516.965,NA,224.486,1626.795,NA,NA,664.406,NA,155.443,261.778,160.001,NA,5573.295,NA,NA,5132.827,401.856,NA,NA,424.784,454.485,224.498,181.062,NA,NA,NA,NA,NA,188.75,5066.406,126.154,253.231,97.82,NA,436.565,195.945,186.298,NA,NA,NA,NA,145.289,NA,NA,143.537,NA,228.276,107.743,NA,NA,NA,NA,NA,172.646,NA,356.181,NA,199.356,135.84,NA,NA,NA,NA,161.611,NA
NA,70.689,2133.093,NA,NA,457.99,NA,NA,NA,569.955,NA,NA,676.584,NA,NA,1924.849,NA,NA,241.134,NA,NA,1634.245,NA,NA,4736.041,794.962,NA,NA,365.276,335.791,235.877,NA,NA,NA,NA,NA,NA,705.5,2771.851,708.537,295.189,NA,NA,161.327,106.818,NA,NA,NA,NA,83.311,385.03,NA,NA,179.477,NA,NA,149.514,NA,NA,NA,NA,NA,168.755,NA,488.424,NA,346.938,765.893,NA,NA,NA,NA,NA,NA
NA,1158.694,1028.308,NA,NA,NA,NA,NA,NA,691.534,NA,203.037,1732.71,1786.017,NA,3787.417,NA,NA,NA,NA,NA,2308.801,NA,NA,880.048,1232.147,NA,451.916,153.457,NA,NA,NA,NA,235.803,NA,NA,NA,576.758,4652.22,158.605,NA,NA,105.98,NA,118.478,NA,NA,NA,NA,60.461,231.379,NA,NA,91.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.087,NA,NA,73.628,123.052,NA,NA,NA,NA,NA
NA,236.458,1240.79,NA,NA,NA,NA,NA,NA,529.103,NA,NA,484.984,NA,NA,1732.023,NA,NA,NA,NA,NA,2328.739,NA,NA,NA,280.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782.623,2454.217,NA,NA,NA,NA,NA,198.96,NA,NA,NA,570.9,NA,NA,88.528,NA,NA,98.491,NA,144.116,NA,NA,NA,NA,NA,72.231,NA,NA,NA,NA,109.804,NA,NA,NA,NA,NA,NA
NA,176.454,1084.882,NA,534.346,NA,NA,NA,NA,NA,NA,NA,479.171,NA,NA,475.139,NA,NA,742.025,NA,NA,1394.428,NA,NA,301.588,NA,15518.994,NA,75.219,NA,1624.237,NA,NA,NA,NA,176.171,NA,203.853,1668.86,NA,NA,NA,NA,1621.671,104.834,179.901,NA,NA,436.274,NA,NA,NA,NA,NA,NA,NA,126.23,NA,NA,NA,NA,NA,91.655,NA,330.401,NA,NA,189.303,NA,NA,NA,NA,NA,NA
NA,1014.584,1118.436,NA,NA,NA,NA,NA,NA,1860.885,NA,196.481,631.27,NA,NA,2084.036,NA,NA,NA,NA,NA,1099.829,NA,NA,179.015,168.01,NA,197.681,177.078,NA,NA,NA,NA,NA,NA,NA,NA,377.855,2148.077,NA,221.679,NA,NA,178.95,93.578,NA,NA,NA,210.666,NA,98.131,NA,NA,122.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.01,NA,NA,NA,NA,NA,NA,NA
NA,546.567,4116.564,NA,NA,609.919,NA,454.694,NA,505.825,NA,NA,NA,NA,NA,459.805,NA,NA,856.625,NA,NA,285.097,NA,NA,1977.28,NA,NA,622.847,394.174,NA,404.406,NA,154.232,203.029,NA,NA,198.361,144.897,NA,1535.193,232.164,NA,NA,5458.353,NA,NA,NA,NA,481.349,NA,144.249,NA,175.47,148.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,702.158,2922.323,NA,NA,482.832,NA,NA,237.068,1412.122,NA,NA,1219.715,NA,NA,11026.333,NA,NA,NA,NA,NA,2042.547,NA,NA,166.073,1073.216,NA,NA,218.485,216.31,NA,128.404,NA,NA,236.596,NA,NA,3435.645,4704.959,NA,295.578,NA,102.919,182.578,143.037,NA,NA,192.177,444.244,177.246,588.051,106.411,NA,370.283,NA,NA,203.922,NA,NA,NA,NA,NA,NA,NA,342.077,NA,87.045,NA,NA,NA,NA,NA,NA,NA
NA,1174.152,NA,NA,NA,NA,NA,NA,NA,1977.441,NA,2248.604,3051.724,NA,NA,958.741,NA,NA,1151.945,238.934,250.595,12647.732,NA,NA,NA,475.854,NA,258.3,NA,NA,1528.3,NA,NA,NA,NA,NA,NA,NA,11082.368,NA,NA,176.019,NA,894.75,1053.784,NA,NA,NA,724.504,NA,NA,NA,NA,NA,NA,NA,148.643,NA,NA,NA,NA,NA,NA,NA,343.135,NA,NA,156.731,NA,NA,NA,NA,NA,NA
NA,436.323,473.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.656,NA,662.089,NA,NA,513.855,NA,NA,1009.622,NA,NA,1274.848,NA,NA,491.813,NA,NA,2183.955,NA,NA,NA,NA,121.959,NA,243.458,NA,NA,NA,81.181,NA,1958.63,NA,300.153,NA,NA,NA,NA,57.059,NA,NA,76.781,NA,NA,90.61,NA,NA,NA,NA,NA,NA,NA,97.286,NA,NA,98.092,95.037,NA,NA,NA,NA,NA
NA,375.778,2749.415,NA,NA,NA,NA,NA,NA,621.161,NA,NA,192.624,NA,NA,452.407,NA,NA,652.993,NA,NA,1850.574,NA,NA,1488.063,165.713,NA,489.42,396.206,NA,312.163,NA,NA,150.13,NA,NA,166.607,175.382,660.688,NA,227.971,NA,NA,4889.877,226.485,NA,NA,NA,499.644,NA,90.18,NA,120.068,NA,74.446,NA,NA,NA,NA,NA,NA,NA,98.942,NA,279.765,NA,NA,81.448,NA,NA,NA,NA,NA,NA
NA,401.776,4595.333,NA,NA,543.94,258.852,NA,NA,815.551,NA,NA,363.528,NA,NA,2028.175,NA,NA,386.835,NA,NA,839.768,NA,NA,3229.078,354.929,NA,490.945,306.996,NA,182.067,NA,NA,195.058,NA,NA,162.286,528.855,99.396,978.311,244.881,NA,124.179,NA,67.046,NA,NA,NA,520.158,97.813,150.006,NA,89.327,NA,82.83,NA,NA,NA,NA,NA,NA,NA,99.397,NA,250.322,NA,202.324,159.294,NA,NA,NA,NA,NA,NA
NA,NA,3187.678,NA,NA,NA,NA,NA,NA,433.337,NA,NA,193.797,NA,NA,513.475,NA,NA,1197.031,NA,NA,707.113,NA,NA,2727.547,195.939,NA,528.973,339.134,NA,1322.852,NA,NA,129.435,223.184,NA,NA,194.931,1080.07,NA,184.788,NA,NA,1226.098,159.678,NA,NA,NA,535.586,NA,79.769,NA,138.561,99.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.751,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,889.071,3283.547,NA,NA,762.535,NA,NA,NA,923.639,NA,NA,530.858,335.575,NA,2062.173,NA,NA,227.188,NA,NA,381.845,NA,NA,5146.652,2401.005,NA,898.725,310.363,302.123,177.484,101.568,NA,NA,272.66,NA,NA,2064.484,81.843,799.627,NA,NA,NA,582.934,77.979,NA,NA,NA,521.467,169.643,466.623,NA,NA,188.767,NA,NA,134.49,NA,NA,NA,NA,NA,NA,NA,333.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1321.467,3864.949,NA,NA,673.829,300.128,NA,NA,489.583,NA,181.013,256.514,NA,NA,404.226,NA,NA,681.536,176.88,NA,2970.157,NA,NA,6633.563,375.613,NA,NA,413.589,430.159,1198.25,NA,NA,138.351,NA,NA,NA,157.691,72.553,1287.199,96.967,103.713,NA,786.966,332.171,NA,NA,NA,347.477,75.152,172.592,NA,129.28,142.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.185,NA,NA,103.429,NA,NA,NA,NA,NA,NA
NA,162.712,1722.405,NA,NA,514.61,NA,NA,NA,2307.035,NA,NA,NA,NA,NA,3676.845,NA,NA,225.127,NA,NA,206.549,NA,NA,4382.072,973.531,NA,263.343,559.834,469.598,121.342,119.162,NA,NA,NA,NA,NA,1507.202,696.472,NA,192.976,87.228,192.354,NA,NA,NA,NA,NA,268.091,93.247,253.018,NA,NA,NA,87.133,NA,107.428,NA,NA,NA,NA,NA,NA,NA,177.432,NA,NA,94.684,NA,NA,NA,NA,NA,NA
NA,NA,1729.088,NA,NA,674.559,278.294,NA,NA,878.405,NA,NA,253.449,NA,NA,6325.281,NA,NA,NA,189.228,NA,5477.453,NA,NA,434.378,1762.003,NA,107.504,137.96,NA,NA,115.047,NA,NA,NA,NA,NA,3116.878,247.613,NA,275.715,NA,94.375,NA,500.803,NA,NA,102.058,302.931,114.58,378.691,106.674,NA,223.543,NA,NA,104.722,NA,NA,NA,NA,NA,NA,NA,144.856,NA,120.118,151.381,NA,NA,NA,NA,NA,NA
NA,327.467,3642.305,NA,NA,924.324,341.814,NA,NA,346.079,NA,NA,146.869,NA,NA,2015.425,NA,NA,305.222,NA,NA,1243.206,NA,NA,2180.522,1085.609,NA,176.378,177.679,NA,506.732,NA,NA,284.486,NA,NA,NA,1317.477,498.309,NA,209.475,104.107,NA,986.615,130.489,NA,NA,100.052,542.061,101.739,244.745,163.754,NA,221.042,NA,NA,58.98,NA,NA,NA,NA,NA,106.144,NA,401.313,NA,NA,132.161,NA,NA,NA,NA,NA,NA
NA,572.632,1927.924,NA,NA,NA,NA,NA,NA,1566.717,NA,424.963,2523.562,770.19,NA,5225.771,NA,NA,NA,NA,NA,794.735,NA,NA,2237.278,1876.797,NA,1288.445,338.695,304.874,NA,127.942,NA,NA,199.667,NA,NA,1471.517,6723.435,NA,207.628,93.542,NA,587.005,67.7,NA,NA,NA,103.755,87.449,157.643,NA,NA,133.599,NA,NA,291.995,NA,NA,NA,NA,NA,NA,NA,699.492,NA,NA,145.025,213.857,NA,NA,NA,NA,NA
NA,1544.525,4550.618,NA,NA,892.872,429.9,NA,NA,462.124,NA,212.427,421.737,NA,NA,525.8,NA,NA,990.42,361.781,NA,687.552,NA,NA,7799.063,381.596,NA,NA,434.221,388.259,1758.143,NA,NA,211.964,139.366,NA,183.687,300.884,5645.62,1612.543,491.127,191.689,149.772,3008.066,211.413,NA,166.88,NA,NA,82.064,474.486,82.624,182.469,320.215,NA,NA,148.077,NA,NA,NA,NA,NA,139.474,NA,375.216,NA,NA,98.382,NA,NA,NA,NA,NA,NA
NA,NA,2102.042,NA,NA,NA,NA,NA,NA,364.058,NA,146.475,191.881,NA,NA,535.964,NA,NA,502.911,NA,NA,261.643,NA,NA,5333.178,188.729,NA,NA,295.714,NA,510.251,NA,170.584,131.126,NA,NA,NA,204.834,79.113,1190.074,265.98,69.275,NA,1716.979,NA,NA,NA,NA,280.83,NA,191.196,NA,134.67,126.087,NA,NA,64.083,NA,NA,NA,NA,NA,143.796,NA,NA,NA,NA,349.408,NA,NA,NA,NA,NA,NA
NA,742.898,940.912,NA,NA,NA,NA,NA,NA,NA,NA,571.333,1790.123,NA,NA,2331.686,NA,NA,NA,344.653,NA,12048.99,NA,NA,163.267,931.148,NA,156.079,140.976,NA,130.167,NA,NA,NA,NA,NA,NA,934.062,8798.309,NA,252.514,459.583,NA,440.803,1023.473,134.93,NA,NA,175.493,57.728,105.359,NA,NA,130.224,NA,NA,235.375,NA,NA,NA,NA,NA,91.091,NA,250.493,NA,NA,382.527,NA,NA,NA,NA,NA,NA
NA,1266.913,743.933,NA,NA,NA,NA,NA,NA,341.429,NA,NA,433.667,3000.759,378.289,1546.884,NA,NA,1920.362,NA,NA,1455.556,NA,198.153,2159.221,NA,19770.233,1572.203,86.483,NA,1842.354,NA,NA,NA,NA,123.692,NA,542.949,2120.434,NA,NA,NA,NA,2728.412,121.25,165.264,NA,NA,408.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.399,NA,NA,128.862,187.175,NA,NA,NA,NA,NA
NA,1550.725,5164.424,NA,NA,559.852,246.204,NA,NA,2444.74,NA,NA,506.794,NA,NA,3230.24,NA,NA,561.982,NA,NA,1590.29,NA,NA,5796.727,660.632,NA,115.202,1197.95,993.653,355.785,NA,NA,215.519,218.181,NA,NA,1015.318,89.144,786.801,348.412,NA,NA,1317.851,136.018,166.919,NA,NA,484.808,76.386,258.537,NA,111.981,145.218,NA,NA,110.829,NA,NA,NA,NA,NA,90.791,NA,772.96,NA,183.975,243.508,NA,NA,NA,NA,NA,NA
NA,630.912,NA,NA,NA,NA,NA,NA,NA,498.77,NA,327.913,1082.522,NA,NA,1580.821,NA,117.123,NA,162.708,NA,5697.307,NA,NA,124.02,953.683,NA,NA,132.261,110.256,NA,187.091,NA,NA,NA,NA,NA,240.961,4801.104,NA,132.491,214.181,NA,329.971,459.022,219.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.334,NA,NA,98.27,NA,NA,NA,NA,620.829,NA,NA,374.685,NA,NA,NA,NA,NA,NA
NA,183.83,1091.337,NA,NA,NA,NA,NA,NA,1066.19,NA,403.886,1985.9,NA,NA,7553.838,NA,113.01,NA,131.194,NA,5150.629,NA,NA,131.874,869.059,NA,NA,360.534,347.739,NA,90.763,NA,NA,406.35,NA,NA,768.866,7542.462,NA,123.868,72.858,NA,249.037,463.36,113.395,NA,NA,553.617,143.837,198.089,NA,NA,90.848,NA,NA,148.305,NA,NA,NA,NA,NA,141.477,NA,116.384,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,423.702,2841.853,NA,NA,632.346,280.003,NA,NA,814.206,NA,296.865,1574.699,NA,NA,7168.692,NA,NA,NA,186.482,NA,5873.903,NA,NA,463.896,2481.197,NA,159.607,212.027,NA,NA,120.221,NA,NA,NA,NA,NA,3018.574,7672.838,NA,381.909,174.681,123.755,254.508,485.101,NA,NA,NA,494.255,153.054,630.013,97.487,NA,379.236,NA,53.317,219.337,NA,NA,NA,NA,78.348,141.084,NA,464.606,NA,261.207,183.95,NA,NA,NA,NA,NA,NA
NA,5324.635,3716.548,NA,NA,689.417,274.562,NA,NA,1033.548,NA,NA,672.378,NA,NA,736.895,NA,NA,513.177,NA,NA,1860.348,NA,NA,6333.654,298.375,NA,NA,572.007,402.937,228.743,NA,140.533,247.588,NA,NA,NA,286.395,86.735,1542.323,329.623,84.717,NA,429.691,207.226,NA,NA,NA,187.169,65.443,212.773,NA,161.141,226.247,NA,NA,67.478,NA,NA,NA,NA,NA,NA,NA,119.662,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,490.776,1641.392,NA,NA,NA,NA,NA,NA,537.757,NA,NA,NA,538.443,NA,2032.961,NA,NA,533.85,NA,NA,1856.693,NA,NA,790.893,NA,10512.86,448.438,72.941,NA,1453.145,NA,NA,NA,NA,NA,NA,718.316,519.348,NA,188.124,NA,NA,1842.457,154.814,97.87,NA,NA,469.976,93.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.906,NA,219.999,NA,NA,108.713,NA,NA,NA,NA,NA,NA
NA,305.288,4355.378,NA,NA,769.798,364.784,216.732,NA,731.604,NA,NA,298.898,NA,NA,643.786,NA,NA,777.887,NA,NA,NA,NA,NA,5726.418,183.864,NA,NA,785.054,499.764,439.519,NA,NA,308.244,238.897,NA,190.066,156.49,109.217,1461.238,387.859,NA,106.546,2437.494,NA,NA,NA,NA,248.319,96.164,322.949,NA,153.68,220.609,NA,NA,109.668,NA,NA,NA,NA,NA,NA,NA,191.481,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,681.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.565,NA,NA,2914.587,NA,107.729,NA,155.77,750.139,1128.008,NA,NA,NA,488.913,NA,NA,NA,NA,NA,5090.847,NA,NA,1228.265,NA,NA,NA,NA,NA,NA,NA,NA,148.364,555.362,NA,NA,NA,390.773,NA,NA,NA,NA,NA,NA,NA,93.55,3156.527,NA,NA,NA,NA,NA,NA,116.336,NA,NA,203.425,NA,NA,NA,NA,NA,NA
NA,827.43,2129.901,NA,NA,431.155,NA,NA,NA,454.328,NA,197.585,1661.1,NA,NA,3903.827,NA,NA,NA,149.394,NA,4644.803,NA,NA,464.776,2708.481,NA,104.699,137.191,NA,NA,NA,NA,NA,140.092,NA,NA,2174.491,7183.259,NA,310.158,79.48,NA,308.688,397.705,NA,NA,NA,228.102,122.377,391.914,NA,NA,217.046,NA,NA,108.457,NA,NA,NA,NA,NA,228.635,NA,667.199,NA,988.258,251.735,NA,NA,NA,NA,NA,NA
NA,141.35,1932.328,NA,NA,566.012,254.622,NA,NA,570.319,NA,160.118,2434.508,NA,NA,6882.072,NA,NA,NA,NA,NA,2242.856,NA,NA,421.797,1303.567,NA,117.58,146.163,NA,NA,112.064,NA,NA,NA,NA,NA,2909.504,8641.09,NA,162.295,NA,NA,155.352,185.033,NA,NA,101.944,428.034,129.459,541.379,91.043,NA,256.371,NA,NA,111.146,NA,NA,NA,NA,NA,219.143,NA,356.498,NA,177.469,153.225,NA,NA,NA,NA,NA,NA
NA,891.755,NA,NA,NA,NA,NA,NA,NA,816.821,175.634,649.167,3733.898,NA,NA,1024.611,NA,165.859,NA,284.479,NA,8054.577,NA,NA,NA,767.44,NA,188.923,NA,NA,117.902,130.854,NA,NA,NA,172.68,NA,149.289,12823.044,NA,NA,151.987,NA,986.738,610.961,351.954,NA,NA,NA,NA,NA,NA,NA,NA,64.245,NA,153.581,NA,NA,NA,NA,NA,329.497,NA,972.35,NA,121.74,370.134,NA,NA,NA,NA,NA,NA
NA,427.964,986.06,NA,NA,NA,NA,NA,NA,2255.33,NA,NA,NA,673.214,NA,848.354,NA,NA,NA,NA,NA,3662.657,NA,NA,1885.827,399.822,NA,702.759,133.842,88.38,NA,NA,NA,NA,NA,NA,NA,214.254,NA,NA,173.908,NA,NA,129.977,263.297,NA,NA,NA,148.208,NA,86.269,NA,NA,62.322,NA,NA,73.533,NA,NA,NA,NA,NA,NA,NA,745.061,NA,NA,229.147,283.015,108.354,NA,NA,NA,NA
NA,872.581,1069.941,NA,NA,NA,NA,NA,NA,1051.229,NA,473.061,1014.69,NA,NA,1555.498,NA,NA,170.946,130.253,NA,4848.785,NA,NA,2555.644,525.089,NA,NA,297.426,231.765,149.442,NA,NA,NA,124.285,NA,NA,412.306,4932.153,NA,278.351,108.157,68.007,378.289,376.995,167.861,NA,NA,449.662,NA,NA,NA,NA,NA,NA,NA,69.454,NA,NA,NA,NA,NA,106.799,NA,1144.079,62.556,125.063,517.231,NA,NA,NA,NA,NA,NA
