"C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
NA,NA,1032.259,NA,NA,NA,NA,NA,NA,684.104,NA,627.418,2148.734,NA,NA,3632.736,NA,NA,NA,144.112,NA,4761.979,NA,NA,206.283,1066.426,NA,NA,160.469,166.229,NA,NA,NA,NA,NA,NA,NA,866.221,7611.955,NA,185.36,258.298,NA,460.384,342.662,109.578,NA,NA,251.731,NA,93.506,NA,NA,119.456,NA,NA,137.759,NA,168.793,NA,NA,NA,79.243,NA,538.467,NA,235.761,225.451,NA,NA,NA,NA,NA,NA
NA,363.502,2630.05,NA,NA,665.854,337.212,NA,NA,363.963,NA,NA,696.536,NA,NA,1023.007,NA,NA,265.606,179.368,NA,3758.795,NA,NA,2621.813,699.167,NA,NA,129.689,108.117,136.669,NA,NA,NA,NA,NA,148.936,511.946,86.237,598.924,170.999,89.568,NA,186.528,281.984,NA,NA,NA,162.05,91.637,197.393,NA,108.495,147.462,NA,NA,55.544,NA,NA,NA,NA,NA,508.416,NA,331.006,NA,87.971,1140.459,NA,NA,NA,NA,NA,NA
NA,803.585,2598.282,NA,NA,NA,NA,NA,NA,593.082,NA,NA,249.657,NA,NA,2422.115,NA,NA,NA,NA,NA,1294.795,NA,NA,516.843,187.087,NA,161.421,113.622,NA,NA,NA,NA,NA,NA,NA,247.073,945.009,300.481,NA,252.838,NA,65.229,NA,114.016,NA,NA,NA,386.391,86.241,64.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.605,NA,612.563,NA,173.335,513.348,NA,NA,NA,NA,NA,NA
NA,424.709,2777.65,NA,NA,NA,NA,NA,NA,4458.289,NA,NA,401.631,NA,NA,6364.082,NA,NA,346.358,NA,NA,1383.613,161.447,NA,4737.852,1844.192,NA,NA,761.828,651.628,226.526,157.922,107.45,219.877,NA,NA,NA,2401.797,3108.44,685.14,372.132,NA,264.629,NA,125.427,NA,NA,NA,437.869,91.88,232.323,NA,NA,140.696,NA,NA,93.591,NA,NA,NA,NA,NA,NA,NA,219.633,NA,101.006,NA,NA,NA,NA,NA,NA,NA
NA,394.48,2974.36,NA,NA,646.867,243.416,NA,NA,3506.928,NA,NA,298.689,NA,NA,1342.173,NA,NA,635.507,NA,NA,1161.622,152.844,NA,NA,602.186,NA,NA,849.89,583.616,421.045,NA,344.765,230.62,NA,NA,NA,646.283,1345.596,2753.3,680.137,468.093,NA,561.296,84.535,NA,NA,NA,NA,68.696,677.326,NA,73.352,257.99,NA,96.12,183.019,NA,NA,NA,NA,NA,NA,NA,183.658,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,418.897,3562.427,NA,NA,445.595,NA,NA,NA,2224.816,NA,NA,377.057,NA,NA,1276.817,NA,NA,543.637,195.041,NA,4820.249,NA,NA,10813.887,556.788,NA,NA,892.858,628.681,278.63,NA,189.306,249.731,NA,NA,NA,475.391,1508.051,2106.427,244.165,NA,160.231,863.286,344.484,NA,NA,NA,382.981,NA,196.383,NA,87.541,NA,NA,NA,64.467,NA,NA,NA,NA,NA,79.525,NA,504.565,NA,NA,80.952,NA,NA,NA,NA,NA,NA
NA,4407.104,2720.008,NA,NA,NA,NA,NA,NA,664.128,NA,NA,621.485,NA,NA,5622.341,NA,NA,496.118,130.679,175.21,7287.983,NA,NA,NA,358.57,NA,NA,256.614,216.861,NA,NA,NA,NA,207.066,NA,223.42,2140.268,3987.309,443.729,549.161,NA,NA,1231.53,926.839,NA,NA,NA,285.679,NA,68.162,90.873,NA,151.663,NA,NA,138.035,NA,NA,NA,NA,NA,139.237,NA,1286.984,78.024,1153.216,599.27,NA,NA,NA,NA,NA,NA
NA,619.073,3445.348,NA,NA,NA,NA,NA,NA,2548.163,NA,NA,145.867,NA,NA,480.571,NA,NA,454.007,NA,NA,1388.784,NA,NA,3243.94,107.513,NA,160.526,574.423,451.288,240.549,NA,183.184,NA,184.083,NA,NA,257.42,751.772,719.786,265.884,NA,99.811,740.734,129.485,NA,NA,NA,398.682,NA,NA,NA,157.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.898,NA,NA,142.745,NA,NA,NA,NA,NA,NA
NA,210.701,2266.039,NA,NA,NA,NA,NA,NA,1307.479,NA,NA,229.519,NA,NA,634.404,NA,NA,387.094,NA,NA,695.724,NA,NA,3889.051,159.941,NA,NA,690.545,514.03,213.35,NA,233.367,NA,161.172,NA,NA,280.808,1093.163,926.628,305.317,NA,159.011,502.499,71.207,NA,NA,NA,338.985,NA,79.766,NA,147.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.777,NA,103.609,145.728,NA,NA,NA,NA,NA,NA
NA,912.991,NA,NA,NA,NA,NA,NA,NA,161.575,NA,NA,523.228,NA,NA,1256.598,NA,NA,580.484,NA,NA,1403.042,NA,NA,NA,NA,20431.958,NA,NA,NA,2120.984,NA,NA,NA,NA,NA,NA,581.258,2632.389,NA,106.321,NA,NA,4314.075,NA,381.079,NA,NA,NA,NA,70.445,NA,NA,NA,NA,NA,89.224,NA,NA,NA,NA,NA,133.425,NA,202.302,NA,NA,592.965,NA,NA,NA,NA,NA,NA
NA,370.71,1788.617,NA,NA,NA,NA,NA,NA,397.338,NA,217.414,889.58,NA,NA,4581.674,NA,NA,NA,NA,NA,4405.913,NA,NA,276.014,731.585,NA,250.441,240.396,NA,NA,84.95,NA,177.946,NA,NA,NA,1234.357,4384.302,NA,196.656,NA,255.861,NA,395.04,NA,NA,NA,753.956,80.765,105.06,NA,NA,NA,108.162,NA,104.524,NA,NA,NA,NA,NA,93.711,NA,395.278,NA,NA,300.458,NA,NA,NA,NA,NA,NA
NA,492.027,2035.892,NA,NA,NA,NA,NA,NA,892.274,NA,NA,404.704,NA,NA,2261.072,NA,NA,210.972,NA,NA,3398.076,NA,NA,1570.534,446.612,NA,NA,453.765,376.938,114.988,NA,NA,NA,128.037,NA,NA,822.278,297.372,NA,259.956,NA,NA,212.118,286.808,NA,NA,NA,381.929,NA,84.681,NA,NA,78.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.722,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,426.231,3412.401,NA,NA,NA,NA,430.795,NA,542.242,NA,NA,494.09,NA,NA,578.661,NA,NA,829.738,NA,NA,658.409,NA,NA,1886.851,NA,NA,601.059,394.253,NA,583.999,NA,208.647,163.166,NA,NA,173.174,250.28,2933.905,1471.56,371.908,178.543,NA,1558.621,109.338,NA,NA,NA,569.634,74.502,210.236,NA,177.19,172.046,NA,NA,142.703,NA,NA,NA,NA,NA,NA,NA,375.18,NA,185.11,140.979,NA,NA,NA,NA,NA,NA
