"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","effective_species","cluster_assignments"
"IDT.2.4_2021",TRUE,273,"","OCG","ID","T","2021","IDT.2.4","2n","T_2n",NA,NA,NA,NA,NA,"IDT.2.4_2021","IDT-2","Orchard",43.33708,-116.00814,939,41,2
"IDT.3.3_2012",FALSE,230,"D","OCG","ID","T","2012","IDT.3.3","2n","T_2n",NA,NA,NA,NA,14.6,"IDT.3.3_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,46,1
"IDT.3.5_2012",TRUE,199,"A","OCG","ID","T","2012","IDT.3.5","2n","T_2n",NA,NA,NA,NA,46.4,"IDT.3.5_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,42,1
"IDT.3.5_2021",TRUE,199,"","OCG","ID","T","2021","IDT.3.5","2n","T_2n",NA,NA,NA,NA,67.1,"IDT.3.5_2021","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,42,2
"IDT.3.9_2012",TRUE,441,"A","OCG","ID","T","2012","IDT.3.9","2n","T_2n",NA,NA,NA,NA,114.4,"IDT.3.9_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,39,1
"IDW.1.2_2021",TRUE,387,"","OCG","ID","W","2021","IDW.1.2","4n","W_4n",NA,NA,NA,NA,42,"IDW.1.2_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,58,2
"IDW.1.4_2021",TRUE,347,"","OCG","ID","W","2021","IDW.1.4","4n","W_4n",NA,NA,NA,NA,76.8,"IDW.1.4_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,61,4
"IDW.1.5_2021",TRUE,262,"","OCG","ID","W","2021","IDW.1.5","4n","W_4n",NA,NA,NA,NA,67.2,"IDW.1.5_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,50,2
"IDW.1.6_2021",TRUE,392,"","OCG","ID","W","2021","IDW.1.6","4n","W_4n",NA,NA,NA,NA,73.8,"IDW.1.6_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,52,2
"IDW.1.7_2021",TRUE,63,"","OCG","ID","W","2021","IDW.1.7","4n","W_4n",NA,NA,NA,NA,86.2,"IDW.1.7_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,67,2
"IDW.2.3_2021",TRUE,60,"","OCG","ID","W","2021","IDW.2.3","4n","W_4n",NA,NA,NA,NA,155.5,"IDW.2.3_2021","IDW-2","Orchard Enclosure ",43.3274,-116.0037,977,58,2
"IDW.3.10_2021",TRUE,233,"","OCG","ID","W","2021","IDW.3.10","4n","W_4n",NA,NA,NA,NA,69.2,"IDW.3.10_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,64,2
"IDW.3.4_2021",TRUE,372,"","OCG","ID","W","2021","IDW.3.4","4n","W_4n",NA,NA,NA,NA,49.5,"IDW.3.4_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,62,2
"IDW.3.6_2021",TRUE,70,"","OCG","ID","W","2021","IDW.3.6","4n","W_4n",NA,NA,NA,NA,51.3,"IDW.3.6_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,46,2
"IDW.3.8_2021",TRUE,93,"","OCG","ID","W","2021","IDW.3.8","4n","W_4n",NA,NA,NA,NA,33.5,"IDW.3.8_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,65,2
"MTT.1.6_2021",TRUE,172,"","OCG","MT","T","2021","MTT.1.6","2n","T_2n",NA,NA,NA,NA,41,"MTT.1.6_2021","MTT-1","Bridger Crk",45.2056,-108.8256,1240,55,2
"MTW.1.2_2021",TRUE,366,"","OCG","MT","W","2021","MTW.1.2","4n","W_4n",NA,NA,NA,NA,103.4,"MTW.1.2_2021","MTW-1","Powderville",45.6545,-105.1545,972,61,3
"MTW.3.4_2021",TRUE,166,"","OCG","MT","W","2021","MTW.3.4","4n","W_4n",NA,NA,NA,NA,56.5,"MTW.3.4_2021","MTW-3","Pryor Mtn",45.2066,-108.7832,1458,66,3
"NMT.1.6_2021",TRUE,190,"","OCG","NM","T","2021","NMT.1.6","4n","T_4n",NA,NA,NA,NA,32.4,"NMT.1.6_2021","NMT-1","Penistaja",35.9802,-107.2257,2122,64,3
"NMT.1.9_2012",TRUE,113,"A","OCG","NM","T","2012","NMT.1.9","4n","T_4n",NA,NA,NA,NA,43,"NMT.1.9_2012","NMT-1","Penistaja",35.9802,-107.2257,2122,57,3
"NMT.1.9_2021",TRUE,113,"","OCG","NM","T","2021","NMT.1.9","4n","T_4n",NA,NA,NA,NA,56.1,"NMT.1.9_2021","NMT-1","Penistaja",35.9802,-107.2257,2122,63,3
