"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","cluster_assignments"
"AZT.1.3_2021",TRUE,159,"","OCG","AZ","T","2021","AZT.1.3","4n","T_4n",NA,NA,NA,NA,158.8,"AZT.1.3_2021","AZT-1","Desert View",35.91738,-111.77287,1898,3
"AZT.1.7_2021",TRUE,211,"","OCG","AZ","T","2021","AZT.1.7","4n","T_4n",NA,NA,NA,NA,15.3,"AZT.1.7_2021","AZT-1","Desert View",35.91738,-111.77287,1898,3
"AZTW.1.5_2021",TRUE,54,"","OCG","AZ","T","2021","AZTW.1.5","4n","T_4n",NA,NA,NA,NA,38.4,"AZTW.1.5_2021","AZW-1","Williams",35.82478,-112.13125,1914,3
"AZTW.1.7_2021",TRUE,300,"A","OCG","AZ","T","2021","AZTW.1.7","4n","T_4n",NA,NA,NA,NA,72.3,"AZTW.1.7_2021","AZW-1","Williams",35.82478,-112.13125,1914,3
"AZTW.1.8_2021",TRUE,229,"","OCG","AZ","T","2021","AZTW.1.8","4n","T_4n",NA,NA,NA,NA,41.6,"AZTW.1.8_2021","AZW-1","Williams",35.82478,-112.13125,1914,3
"CAT.1.1_2021",TRUE,388,"","OCG","CA","T","2021","CAT.1.1","2n","T_2n",NA,NA,NA,NA,73.4,"CAT.1.1_2021","CAT-1","Smoke Creek",40.5414,-119.9194,1213,3
"CAT.1.5_2021",TRUE,225,"","OCG","CA","T","2021","CAT.1.5","2n","T_2n",NA,NA,NA,NA,77.5,"CAT.1.5_2021","CAT-1","Smoke Creek",40.5414,-119.9194,1213,3
"CAT.2.4_2021",TRUE,466,"","OCG","CA","T","2021","CAT.2.4","2n","T_2n",NA,NA,NA,NA,90.2,"CAT.2.4_2021","CAT-2","Benton B",37.7973,-118.5704,1974,3
"CAT.2.9_2021",TRUE,311,"","OCG","CA","T","2021","CAT.2.9","2n","T_2n",NA,NA,NA,NA,56.6,"CAT.2.9_2021","CAT-2","Benton B",37.7973,-118.5704,1974,3
"COVW.2.2_2021",TRUE,131,"","OCG","CO","V","2021","COVW.2.2","4n","V_4n",NA,NA,NA,NA,49.1,"COVW.2.2_2021","COW-2","Meeker",40.1813,-108.4555,1788,1
