"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","cluster_assignments"
"COVW.2.3_2021",TRUE,72,"","OCG","CO","V","2021","COVW.2.3","4n","V_4n",NA,NA,NA,NA,101.3,"COVW.2.3_2021","COW-2","Meeker",40.1813,-108.4555,1788,5
"COVW.2.7_2021",TRUE,379,"","OCG","CO","V","2021","COVW.2.7","4n","V_4n",NA,NA,NA,NA,60.7,"COVW.2.7_2021","COW-2","Meeker",40.1813,-108.4555,1788,1
"COW.1.2_2021",TRUE,252,"","OCG","CO","W","2021","COW.1.2","4n","W_4n",NA,NA,NA,NA,51.6,"COW.1.2_2021","COW-1","Rifle A",39.6127,-107.81,1790,1
"IDT.1.10_2021",TRUE,218,"","OCG","ID","T","2021","IDT.1.10","2n","T_2n",NA,NA,NA,NA,62.2,"IDT.1.10_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,2
"IDT.1.2_2021",TRUE,269,"","OCG","ID","T","2021","IDT.1.2","2n","T_2n",NA,NA,NA,NA,59.4,"IDT.1.2_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,3
"IDT.1.3_2021",TRUE,328,"","OCG","ID","T","2021","IDT.1.3","2n","T_2n",NA,NA,NA,NA,75.4,"IDT.1.3_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,2
"IDT.1.6_2021",TRUE,322,"","OCG","ID","T","2021","IDT.1.6","2n","T_2n",NA,NA,NA,NA,60,"IDT.1.6_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,2
"IDT.2.4_2021",TRUE,273,"","OCG","ID","T","2021","IDT.2.4","2n","T_2n",NA,NA,NA,NA,NA,"IDT.2.4_2021","IDT-2","Orchard",43.33708,-116.00814,939,3
"IDT.3.5_2021",TRUE,199,"","OCG","ID","T","2021","IDT.3.5","2n","T_2n",NA,NA,NA,NA,67.1,"IDT.3.5_2021","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,3
"IDT.3.9_2021",TRUE,441,"","OCG","ID","T","2021","IDT.3.9","2n","T_2n",NA,NA,NA,NA,116.9,"IDT.3.9_2021","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,2
"IDW.1.2_2021",TRUE,387,"","OCG","ID","W","2021","IDW.1.2","4n","W_4n",NA,NA,NA,NA,42,"IDW.1.2_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,4
"IDW.1.4_2021",TRUE,347,"","OCG","ID","W","2021","IDW.1.4","4n","W_4n",NA,NA,NA,NA,76.8,"IDW.1.4_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,4
"IDW.1.5_2021",TRUE,262,"","OCG","ID","W","2021","IDW.1.5","4n","W_4n",NA,NA,NA,NA,67.2,"IDW.1.5_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,4
"IDW.1.6_2021",TRUE,392,"","OCG","ID","W","2021","IDW.1.6","4n","W_4n",NA,NA,NA,NA,73.8,"IDW.1.6_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,4
"IDW.1.7_2021",TRUE,63,"","OCG","ID","W","2021","IDW.1.7","4n","W_4n",NA,NA,NA,NA,86.2,"IDW.1.7_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,3
"IDW.2.3_2021",TRUE,60,"","OCG","ID","W","2021","IDW.2.3","4n","W_4n",NA,NA,NA,NA,155.5,"IDW.2.3_2021","IDW-2","Orchard Enclosure ",43.3274,-116.0037,977,4
"IDW.3.10_2021",TRUE,233,"","OCG","ID","W","2021","IDW.3.10","4n","W_4n",NA,NA,NA,NA,69.2,"IDW.3.10_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,3
"IDW.3.4_2021",TRUE,372,"","OCG","ID","W","2021","IDW.3.4","4n","W_4n",NA,NA,NA,NA,49.5,"IDW.3.4_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,3
"IDW.3.6_2021",TRUE,70,"","OCG","ID","W","2021","IDW.3.6","4n","W_4n",NA,NA,NA,NA,51.3,"IDW.3.6_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,3
"IDW.3.8_2021",TRUE,93,"","OCG","ID","W","2021","IDW.3.8","4n","W_4n",NA,NA,NA,NA,33.5,"IDW.3.8_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,3
"MTW.1.2_2021",TRUE,366,"","OCG","MT","W","2021","MTW.1.2","4n","W_4n",NA,NA,NA,NA,103.4,"MTW.1.2_2021","MTW-1","Powderville",45.6545,-105.1545,972,1
"MTW.3.4_2021",TRUE,166,"","OCG","MT","W","2021","MTW.3.4","4n","W_4n",NA,NA,NA,NA,56.5,"MTW.3.4_2021","MTW-3","Pryor Mtn",45.2066,-108.7832,1458,3
"NMT.1.6_2021",TRUE,190,"","OCG","NM","T","2021","NMT.1.6","4n","T_4n",NA,NA,NA,NA,32.4,"NMT.1.6_2021","NMT-1","Penistaja",35.9802,-107.2257,2122,3
"NMT.1.9_2021",TRUE,113,"","OCG","NM","T","2021","NMT.1.9","4n","T_4n",NA,NA,NA,NA,56.1,"NMT.1.9_2021","NMT-1","Penistaja",35.9802,-107.2257,2122,3
"NMT.2.3_2021",TRUE,53,"","OCG","NM","T","2021","NMT.2.3","4n","T_4n",NA,NA,NA,NA,27.4,"NMT.2.3_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,3
"NMT.2.4_2021",TRUE,201,"","OCG","NM","T","2021","NMT.2.4","4n","T_4n",NA,NA,NA,NA,109.7,"NMT.2.4_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,3
"NMT.2.5_2021",TRUE,23,"","OCG","NM","T","2021","NMT.2.5","4n","T_4n",NA,NA,NA,NA,31.6,"NMT.2.5_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,3
"NMT.2.6_2021",TRUE,99,"","OCG","NM","T","2021","NMT.2.6","4n","T_4n",NA,NA,NA,NA,30.3,"NMT.2.6_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,1
"NMT.2.8_2021",TRUE,164,"","OCG","NM","T","2021","NMT.2.8","4n","T_4n",NA,NA,NA,NA,86,"NMT.2.8_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,3
"NVTW.1.10_2021",TRUE,450,"","OCG","NV","T","2021","NVTW.1.10","2n","T_2n",NA,NA,NA,NA,115.8,"NVTW.1.10_2021","NVV-1","Austin",39.4728,-117.0497,2412,3
"NVV.2.5_2021",TRUE,205,"","OCG","NV","V","2021","NVV.2.5","2n","V_2n",NA,NA,NA,NA,97.7,"NVV.2.5_2021","NVV-2","Currant V",38.8183,-115.2835,2132,1
"ORT.1.1_2021",TRUE,208,"","OCG","OR","T","2021","ORT.1.1","2n","T_2n",NA,NA,NA,NA,NA,"ORT.1.1_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349,2
"ORT.1.6_2021",TRUE,394,"","OCG","OR","T","2021","ORT.1.6","2n","T_2n",NA,NA,NA,NA,83,"ORT.1.6_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349,2
"ORT.1.9_2021",TRUE,381,"","OCG","OR","T","2021","ORT.1.9","2n","T_2n",NA,NA,NA,NA,49.5,"ORT.1.9_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349,2
"ORT.2.3_2021",TRUE,91,"","OCG","OR","T","2021","ORT.2.3","2n","T_2n",NA,NA,NA,NA,31.4,"ORT.2.3_2021","ORT-2","Echo",45.7589,-119.2076,223,2
"ORT.2.4_2021",TRUE,380,"","OCG","OR","T","2021","ORT.2.4","2n","T_2n",NA,NA,NA,NA,65.4,"ORT.2.4_2021","ORT-2","Echo",45.7589,-119.2076,223,2
"ORT.2.5_2021",TRUE,248,"","OCG","OR","T","2021","ORT.2.5","2n","T_2n",NA,NA,NA,NA,65.2,"ORT.2.5_2021","ORT-2","Echo",45.7589,-119.2076,223,3
"ORT.2.9_2021",TRUE,181,"","OCG","OR","T","2021","ORT.2.9","2n","T_2n",NA,NA,NA,NA,42.9,"ORT.2.9_2021","ORT-2","Echo",45.7589,-119.2076,223,2
"ORV.1.10_2021",TRUE,403,"","OCG","OR","V","2021","ORV.1.10","4n","V_4n",NA,NA,NA,NA,67.7,"ORV.1.10_2021","ORV-1","Lookout Mtn",44.4883,-117.3233,986,1
"ORW.1.1_2021",TRUE,57,"","OCG","OR","W","2021","ORW.1.1","4n","W_4n",NA,NA,NA,NA,47.1,"ORW.1.1_2021","ORW-1","West of Juntura",43.7853,-118.2594,1196,4
"UTT.1.5_2021",TRUE,25,"","OCG","UT","T","2021","UTT.1.5","2n","T_2n",NA,NA,NA,NA,17.1,"UTT.1.5_2021","UTT-1","Canyon B",37.9933,-112.5087,2106,2
"UTT.1.6_2021",TRUE,294,"","OCG","UT","T","2021","UTT.1.6","2n","T_2n",NA,NA,NA,NA,93.2,"UTT.1.6_2021","UTT-1","Canyon B",37.9933,-112.5087,2106,3
"UTT.1.9_2021",TRUE,194,"","OCG","UT","T","2021","UTT.1.9","2n","T_2n",NA,NA,NA,NA,48.7,"UTT.1.9_2021","UTT-1","Canyon B",37.9933,-112.5087,2106,3
"UTW.1.1_2021",TRUE,296,"","OCG","UT","W","2021","UTW.1.1","4n","W_4n",NA,NA,NA,NA,NA,"UTW.1.1_2021","UTW-1","La Sal W",38.3279,-109.4352,1797,3
"UTW.1.10_2021",TRUE,272,"","OCG","UT","W","2021","UTW.1.10","4n","W_4n",NA,NA,NA,NA,77,"UTW.1.10_2021","UTW-1","La Sal W",38.3279,-109.4352,1797,1
"UTW.1.4_2021",TRUE,405,"","OCG","UT","W","2021","UTW.1.4","4n","W_4n",NA,NA,NA,NA,73.5,"UTW.1.4_2021","UTW-1","La Sal W",38.3279,-109.4352,1797,3
"UTW.2.3_2021",TRUE,343,"","OCG","UT","W","2021","UTW.2.3","4n","W_4n",NA,NA,NA,NA,88.4,"UTW.2.3_2021","UTW-2","Scooby",41.8566,-113.049,1438,3
"UTWV.2.1_2021",TRUE,189,"","OCG","UT","W","2021","UTWV.2.1","4n","W_4n",NA,NA,NA,NA,65.7,"UTWV.2.1_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,1
"UTWV.2.10_2021",TRUE,56,"","OCG","UT","W","2021","UTWV.2.10","4n","W_4n",NA,NA,NA,NA,36.2,"UTWV.2.10_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,1
"UTWV.2.6_2021",TRUE,80,"","OCG","UT","W","2021","UTWV.2.6","4n","W_4n",NA,NA,NA,NA,25.1,"UTWV.2.6_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,3
"UTWV.2.7_2021",TRUE,271,"","OCG","UT","W","2021","UTWV.2.7","4n","W_4n",NA,NA,NA,NA,100.7,"UTWV.2.7_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,3
"UTWV.2.8_2021",TRUE,216,"","OCG","UT","W","2021","UTWV.2.8","4n","W_4n",NA,NA,NA,NA,87.4,"UTWV.2.8_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,3
"WAT.1.3_2021",TRUE,349,"","OCG","WA","T","2021","WAT.1.3","2n","T_2n",NA,NA,NA,NA,103.3,"WAT.1.3_2021","WAT-1","Lind",46.7419,-118.2278,329,3
"WAT.1.6_2021",TRUE,192,"","OCG","WA","T","2021","WAT.1.6","2n","T_2n",NA,NA,NA,NA,27,"WAT.1.6_2021","WAT-1","Lind",46.7419,-118.2278,329,2
"WAT.2.1_2021",TRUE,158,"","OCG","WA","T","2021","WAT.2.1","4n","T_4n",NA,NA,NA,NA,146.7,"WAT.2.1_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,3
"WAT.2.8_2021",TRUE,64,"","OCG","WA","T","2021","WAT.2.8","4n","T_4n",NA,NA,NA,NA,114.6,"WAT.2.8_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,3
"WAT.2.9_2021",TRUE,169,"","OCG","WA","T","2021","WAT.2.9","4n","T_4n",NA,NA,NA,NA,63.2,"WAT.2.9_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,3
"WAW.1.2_2021",TRUE,418,"","OCG","WA","W","2021","WAW.1.2","4n","W_4n",NA,NA,NA,NA,130.6,"WAW.1.2_2021","WAW-1","Saddle Mtn",46.7672,-119.4727,297,3
"WAW.1.3_2021",TRUE,356,"","OCG","WA","W","2021","WAW.1.3","4n","W_4n",NA,NA,NA,NA,117.6,"WAW.1.3_2021","WAW-1","Saddle Mtn",46.7672,-119.4727,297,3
"WAW.1.6_2021",TRUE,135,"","OCG","WA","W","2021","WAW.1.6","4n","W_4n",NA,NA,NA,NA,65.4,"WAW.1.6_2021","WAW-1","Saddle Mtn",46.7672,-119.4727,297,3
