"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)"
"CAV.4.4_2012",FALSE,132,"D","OCG","CA","V","2012","CAV.4.4","4n","V_4n",NA,NA,NA,NA,14.9,"CAV.4.4_2012","CAV-4","Tejon Pass",34.8251,-118.8724,1120
"CAVW.3.1_2012",FALSE,43,"D","OCG","CA","V","2012","CAVW.3.1","2n","V_2n",NA,NA,NA,NA,14.1,"CAVW.3.1_2012","CAW-3","Fredonyer Peak",40.6328,-120.6064,1884
"CAVW.3.5_2012",FALSE,177,"D","OCG","CA","V","2012","CAVW.3.5","2n","V_2n",NA,NA,NA,NA,28,"CAVW.3.5_2012","CAW-3","Fredonyer Peak",40.6328,-120.6064,1884
"CAVW.3.8_2012",FALSE,358,"D","OCG","CA","V","2012","CAVW.3.8","2n","V_2n",NA,NA,NA,NA,16.8,"CAVW.3.8_2012","CAW-3","Fredonyer Peak",40.6328,-120.6064,1884
"COVW.2.2_2012",TRUE,131,"A","OCG","CO","V","2012","COVW.2.2","4n","V_4n",NA,NA,NA,NA,11.8,"COVW.2.2_2012","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.2_2021",TRUE,131,"","OCG","CO","V","2021","COVW.2.2","4n","V_4n",NA,NA,NA,NA,49.1,"COVW.2.2_2021","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.3_2012",TRUE,72,"A","OCG","CO","V","2012","COVW.2.3","4n","V_4n",NA,NA,NA,NA,19.7,"COVW.2.3_2012","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.3_2021",TRUE,72,"","OCG","CO","V","2021","COVW.2.3","4n","V_4n",NA,NA,NA,NA,101.3,"COVW.2.3_2021","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.4_2012",FALSE,261,"D","OCG","CO","V","2012","COVW.2.4","4n","V_4n",NA,NA,NA,NA,23.7,"COVW.2.4_2012","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.6_2012",FALSE,224,"D","OCG","CO","V","2012","COVW.2.6","4n","V_4n",NA,NA,NA,NA,22.8,"COVW.2.6_2012","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.7_2012",TRUE,379,"A","OCG","CO","V","2012","COVW.2.7","4n","V_4n",NA,NA,NA,NA,17.4,"COVW.2.7_2012","COW-2","Meeker",40.1813,-108.4555,1788
"COVW.2.7_2021",TRUE,379,"","OCG","CO","V","2021","COVW.2.7","4n","V_4n",NA,NA,NA,NA,60.7,"COVW.2.7_2021","COW-2","Meeker",40.1813,-108.4555,1788
"COW.1.2_2021",TRUE,252,"","OCG","CO","W","2021","COW.1.2","4n","W_4n",NA,NA,NA,NA,51.6,"COW.1.2_2021","COW-1","Rifle A",39.6127,-107.81,1790
"COW.1.8_2012",FALSE,138,"D","OCG","CO","W","2012","COW.1.8","4n","W_4n",NA,NA,NA,NA,13.7,"COW.1.8_2012","COW-1","Rifle A",39.6127,-107.81,1790
"IDT.1.10_2012",TRUE,218,"A","OCG","ID","T","2012","IDT.1.10","2n","T_2n",NA,NA,NA,NA,20.2,"IDT.1.10_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.10_2021",TRUE,218,"","OCG","ID","T","2021","IDT.1.10","2n","T_2n",NA,NA,NA,NA,62.2,"IDT.1.10_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.2_2012",TRUE,269,"A","OCG","ID","T","2012","IDT.1.2","2n","T_2n",NA,NA,NA,NA,34.8,"IDT.1.2_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.2_2021",TRUE,269,"","OCG","ID","T","2021","IDT.1.2","2n","T_2n",NA,NA,NA,NA,59.4,"IDT.1.2_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.3_2012",TRUE,328,"A","OCG","ID","T","2012","IDT.1.3","2n","T_2n",NA,NA,NA,NA,57.8,"IDT.1.3_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.3_2021",TRUE,328,"","OCG","ID","T","2021","IDT.1.3","2n","T_2n",NA,NA,NA,NA,75.4,"IDT.1.3_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.4_2012",FALSE,429,"A","OCG","ID","T","2012","IDT.1.4","2n","T_2n",NA,NA,NA,NA,30.2,"IDT.1.4_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.6_2012",TRUE,322,"A","OCG","ID","T","2012","IDT.1.6","2n","T_2n",NA,NA,NA,NA,61.9,"IDT.1.6_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.1.6_2021",TRUE,322,"","OCG","ID","T","2021","IDT.1.6","2n","T_2n",NA,NA,NA,NA,60,"IDT.1.6_2021","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949
"IDT.2.4_2012",TRUE,273,"A","OCG","ID","T","2012","IDT.2.4","2n","T_2n",NA,NA,NA,NA,47.8,"IDT.2.4_2012","IDT-2","Orchard",43.33708,-116.00814,939
"IDT.3.3_2012",FALSE,230,"D","OCG","ID","T","2012","IDT.3.3","2n","T_2n",NA,NA,NA,NA,14.6,"IDT.3.3_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358
"IDT.3.5_2012",TRUE,199,"A","OCG","ID","T","2012","IDT.3.5","2n","T_2n",NA,NA,NA,NA,46.4,"IDT.3.5_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358
