"Description","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"CAT.1.5_2021",NA,NA,3.0176,4464.509,NA,NA,NA,NA,5.0107,782.047,NA,NA,NA,NA,11.6057,274.444,NA,NA,NA,NA,NA,NA,13.2404,156.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3349,1743.886,15.9207,159.604,16.5305,2576.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9353,454.86,18.217,687.736,18.4216,670.833,NA,NA,NA,NA,NA,NA,19.4974,302.207,NA,NA,NA,NA,NA,NA,20.4085,380.688,20.6396,2956.044,20.9598,1227.549,21.1349,538.464,NA,NA,21.4528,9318.258,NA,NA,21.6417,298.077,NA,NA,NA,NA,22.3235,147.658,22.7781,107.53,NA,NA,NA,NA,23.2722,63.939,23.4581,78.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1193,188.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.8_2021",NA,NA,3.0164,3320.935,4.2363,115.391,NA,NA,NA,NA,NA,NA,NA,NA,11.6038,381.242,NA,NA,12.1152,102.273,NA,NA,13.237,227.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2737,402.401,15.715,248.039,16.4871,687.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9184,425.625,18.1903,313.762,18.3865,156.37,NA,NA,NA,NA,NA,NA,19.5785,136.314,NA,NA,NA,NA,NA,NA,20.4033,521.832,20.6001,1108.457,20.799,116.46,NA,NA,21.3259,127.495,NA,NA,NA,NA,NA,NA,NA,NA,21.9698,84.837,NA,NA,22.7649,149.124,NA,NA,NA,NA,23.3297,146.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1156,108.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.5_2021",NA,NA,3.0165,2787.114,4.2379,177.494,NA,NA,5.0229,418.796,NA,NA,NA,NA,11.6024,105.877,NA,NA,12.1641,175.133,NA,NA,13.2655,1487.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5004,1118.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9058,113.621,18.177,104.288,NA,NA,NA,NA,NA,NA,NA,NA,19.4109,172.15,19.864,127.531,NA,NA,NA,NA,20.4705,1682.083,20.7117,7166.798,20.9062,133.153,21.2649,121.274,NA,NA,NA,NA,21.5466,87.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.0391,71.438,NA,NA,23.3104,85.122,NA,NA,NA,NA,NA,NA,23.7542,116.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1163,156.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.10_2021",NA,NA,3.0182,5537.024,4.2385,351.618,4.8659,876.274,NA,NA,NA,NA,NA,NA,11.6143,445.057,NA,NA,12.1408,186.569,12.6727,168.099,13.2588,1042.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3011,424.994,NA,NA,16.5014,656.754,16.7599,341.096,NA,NA,NA,NA,17.3617,2256.244,NA,NA,17.9733,1768.169,18.2184,369.423,18.4113,204.333,NA,NA,NA,NA,18.9141,91.808,19.4571,94.776,NA,NA,NA,NA,NA,NA,20.4713,2254.971,20.6715,3172.34,20.8117,100.405,21.2284,121.459,21.3427,319.782,NA,NA,NA,NA,NA,NA,NA,NA,21.912,99.054,NA,NA,NA,NA,22.998,76.817,23.1625,107.724,23.334,132.626,23.4584,62.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.5_2021",NA,NA,3.013,2209.271,3.4759,129.538,NA,NA,NA,NA,NA,NA,NA,NA,11.6589,129.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2616,376.583,15.9948,124.499,16.47,132.761,NA,NA,NA,NA,NA,NA,NA,NA,17.8128,157.806,17.9034,222.82,18.1781,199.431,18.4284,1274.738,NA,NA,NA,NA,18.9405,160.882,NA,NA,NA,NA,NA,NA,NA,NA,20.3932,73.685,20.6208,2096.339,20.9401,598.334,21.2217,194.322,21.3576,1394.178,NA,NA,NA,NA,NA,NA,NA,NA,21.9282,722.157,22.3121,179.204,22.7694,322.906,NA,NA,23.1595,82.827,NA,NA,23.4554,74.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1157,89.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.5_2021",NA,NA,3.0151,16610.456,4.0143,332.98,4.9054,335.124,NA,NA,NA,NA,NA,NA,11.6071,578.544,NA,NA,NA,NA,NA,NA,13.2432,600.071,13.7028,206.611,NA,NA,NA,NA,NA,NA,NA,NA,15.3371,1675.623,15.776,1015.644,16.5489,3948.061,16.6629,97.748,NA,NA,NA,NA,17.3482,2402.887,NA,NA,17.9508,752.607,18.2149,632.237,18.4445,1240.769,NA,NA,NA,NA,18.9607,112.067,19.4493,187.503,NA,NA,NA,NA,NA,NA,20.4047,257.172,20.6322,2118.676,20.7973,85.293,21.1066,574.744,NA,NA,21.4254,6521.632,NA,NA,21.5997,175.969,NA,NA,21.9261,256.923,NA,NA,NA,NA,22.9968,71.308,23.1627,167.14,23.2748,129.192,23.4586,113.85,NA,NA,NA,NA,23.7351,119.39,23.8461,103.988,NA,NA,NA,NA,NA,NA,NA,NA,24.9821,116.119,25.1193,290.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COW.1.2_2021",NA,NA,3.0144,2620.046,NA,NA,4.8473,701.106,NA,NA,NA,NA,NA,NA,11.6125,415.842,NA,NA,12.1674,251.331,12.6795,1328.144,13.3033,3900.246,NA,NA,14.2637,266.742,NA,NA,NA,NA,NA,NA,15.4557,367.93,15.957,1286.464,16.2684,319.066,16.7061,21597.42,NA,NA,NA,NA,NA,NA,NA,NA,17.9571,179.654,18.2071,348.074,NA,NA,18.6085,443.382,NA,NA,18.9098,102.964,NA,NA,19.9055,246.11,NA,NA,NA,NA,20.2917,108.551,20.5461,2054.521,20.7994,14920.518,21.1862,757.079,21.3205,891.143,NA,NA,NA,NA,21.6129,1748.611,NA,NA,21.8881,133.398,NA,NA,NA,NA,22.9977,144.33,23.1612,169.784,23.3169,61,23.4627,150.931,NA,NA,NA,NA,23.7663,400.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.944,149.986,25.1197,166.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.5_2021",NA,NA,3.0153,14922.591,4.233,687.307,4.8239,252.599,NA,NA,NA,NA,NA,NA,11.6383,2458.41,11.958,105.453,NA,NA,NA,NA,13.247,592.038,13.7087,207.202,NA,NA,NA,NA,NA,NA,NA,NA,15.3605,1147.159,15.7824,746.807,16.5518,4438.765,16.7476,162.868,NA,NA,NA,NA,17.4789,12486.552,17.9003,237.98,18.0445,2052.999,18.1886,1212.783,18.4534,701.675,NA,NA,NA,NA,18.9746,278.078,19.5303,76.698,19.8825,153.397,NA,NA,NA,NA,20.4496,1207.696,20.6609,3106.147,20.8118,187.077,21.2572,408.944,21.3768,1776.676,NA,NA,21.5693,94.294,NA,NA,NA,NA,21.9434,859.948,NA,NA,NA,NA,NA,NA,23.1647,176.759,23.2736,59.503,23.4597,103.61,NA,NA,NA,NA,23.7385,141.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1202,215.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.2_2021",NA,NA,3.0174,3971.067,NA,NA,NA,NA,5.0296,727.284,NA,NA,NA,NA,11.6,157.986,NA,NA,NA,NA,NA,NA,13.236,161.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2953,838.991,15.7262,235.501,16.4952,993.81,16.6494,102.734,NA,NA,NA,NA,NA,NA,NA,NA,17.9338,641.637,18.2053,524.341,18.3972,288.081,NA,NA,NA,NA,NA,NA,19.4596,355.138,19.8652,212.449,NA,NA,NA,NA,20.4151,318.796,20.6682,4518.194,20.9759,1825.453,21.2286,103.917,21.3429,541.814,NA,NA,21.5704,272.488,NA,NA,NA,NA,21.9841,120.84,NA,NA,22.6975,78.731,NA,NA,NA,NA,23.2711,64.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.7_2021",NA,NA,3.0137,4033.546,4.2352,234.065,4.8743,700.718,NA,NA,NA,NA,NA,NA,11.6043,255.811,NA,NA,NA,NA,NA,NA,13.2518,480.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3625,997.8,15.9213,167.134,16.5312,2512.75,16.8134,200.199,NA,NA,NA,NA,NA,NA,17.8174,21311.358,18.0346,1404.986,18.1593,117.671,18.5275,3480.531,NA,NA,NA,NA,NA,NA,19.6038,140.827,19.8934,212.729,NA,NA,NA,NA,20.4387,1060.118,20.5889,362.707,NA,NA,21.2684,117.345,NA,NA,21.4162,4958.329,21.591,102.906,NA,NA,21.7552,102.617,NA,NA,22.109,102.621,NA,NA,22.9938,74.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.732,81.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1182,188.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.10_2021",NA,NA,3.0075,2998.706,4.2363,524.145,NA,NA,NA,NA,NA,NA,NA,NA,11.6013,300.74,NA,NA,12.157,106.243,12.662,812.384,13.2708,2209.388,NA,NA,14.245,161.432,NA,NA,NA,NA,NA,NA,15.4421,95.117,15.9252,365.367,NA,NA,16.613,10147.25,NA,NA,NA,NA,NA,NA,17.8409,247.566,17.9723,137.077,18.1928,211.528,NA,NA,18.5909,162.181,NA,NA,19.0586,358.515,19.5585,270.325,19.9174,382.272,NA,NA,NA,NA,20.3374,111.711,20.5648,1512.323,20.8322,19772.135,21.1932,742.97,21.3174,1250.955,NA,NA,21.5778,591.168,NA,NA,NA,NA,21.8916,89.764,NA,NA,NA,NA,NA,NA,23.1562,149.235,NA,NA,23.456,65.349,NA,NA,NA,NA,23.7586,211.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1191,221.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.2.4_2021",NA,NA,3.0223,7300.003,4.2395,176.104,NA,NA,NA,NA,NA,NA,NA,NA,11.6154,834.483,NA,NA,12.2038,174.8,NA,NA,13.2382,300.719,13.7,118.808,NA,NA,NA,NA,NA,NA,NA,NA,15.3207,1434.474,15.7263,425.973,16.5222,247.009,16.6515,121.144,NA,NA,NA,NA,NA,NA,NA,NA,17.9279,422.98,18.2098,571.134,18.4039,429.796,NA,NA,NA,NA,NA,NA,19.5831,163.173,NA,NA,NA,NA,NA,NA,20.3944,182.188,20.6199,2417.751,20.8464,207.411,21.2472,197.299,21.3863,3014.946,NA,NA,NA,NA,NA,NA,NA,NA,21.9746,99.859,NA,NA,22.7672,188.135,22.9136,1494.586,23.1575,93.949,23.2717,70.148,23.4561,75.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.6_2021",NA,NA,3.0131,3167.452,4.1258,195.616,NA,NA,NA,NA,NA,NA,NA,NA,11.6745,114.614,NA,NA,NA,NA,NA,NA,13.2321,114.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2615,330.883,15.6757,389.524,16.4818,659.486,NA,NA,NA,NA,NA,NA,NA,NA,17.8102,140.592,NA,NA,18.1716,93.969,18.3849,227.624,NA,NA,NA,NA,18.9326,151.916,NA,NA,NA,NA,NA,NA,NA,NA,20.4976,156.92,20.582,826.307,20.9288,387.033,21.2525,122.701,21.355,1538.292,NA,NA,NA,NA,NA,NA,NA,NA,21.9191,571.192,NA,NA,NA,NA,NA,NA,NA,NA,23.2757,69.714,NA,NA,NA,NA,NA,NA,23.7541,104.711,23.8433,84.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1151,77.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.1_2021",NA,NA,3.0181,749.102,NA,NA,NA,NA,5.0042,204.905,NA,NA,NA,NA,11.6047,320.62,NA,NA,NA,NA,12.6566,530.895,13.2677,1946.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9134,130.71,16.5408,3401.465,NA,NA,NA,NA,17.2033,301.046,NA,NA,17.8949,372.133,NA,NA,18.1772,113.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8667,304.431,NA,NA,NA,NA,20.4705,1100.942,NA,NA,NA,NA,21.1466,150.825,NA,NA,NA,NA,21.5559,338.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,122.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.7_2021",NA,NA,3.0141,1150.067,NA,NA,4.8206,678.934,NA,NA,NA,NA,NA,NA,11.6004,131.489,NA,NA,NA,NA,12.7032,564.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.272,205.668,NA,NA,16.4913,750.456,16.6843,160.555,NA,NA,17.2376,927.496,NA,NA,NA,NA,17.9378,1168.17,18.2046,425.151,18.3948,118.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4286,1152.442,20.5941,827.363,20.9286,138.514,21.0236,490.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1212,356.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.2.9_2021",NA,NA,3.0175,4452.624,4.2385,125.789,NA,NA,5.0238,383.998,NA,NA,NA,NA,11.6054,225.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2929,567.766,15.9149,140.325,16.5338,2775.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9218,392.439,18.1906,235.248,18.3885,150.044,NA,NA,NA,NA,NA,NA,19.5859,239.995,NA,NA,NA,NA,NA,NA,20.3911,276.534,20.5898,774.123,20.946,724.664,21.2267,171.57,21.3395,356.682,21.4779,259.383,21.5571,196.684,NA,NA,NA,NA,NA,NA,NA,NA,22.689,131.382,22.9568,337.71,NA,NA,23.2655,58.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1157,71.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.6_2021",NA,NA,3.0176,7748.054,4.2377,165.791,NA,NA,5.0106,1474.406,NA,NA,NA,NA,11.6058,263.785,NA,NA,NA,NA,NA,NA,13.2396,143.439,13.7059,161.708,NA,NA,NA,NA,NA,NA,NA,NA,15.3319,1550.977,15.7469,888.253,16.4975,849.985,16.7057,224.704,NA,NA,NA,NA,17.4242,8340.408,NA,NA,18.0029,1255.766,18.1854,2051.104,18.4414,670.674,NA,NA,NA,NA,NA,NA,19.5034,683.822,19.8798,240.921,NA,NA,NA,NA,20.437,459.966,20.6947,5677.916,NA,NA,21.2571,312.81,21.3618,946.049,NA,NA,21.5833,72.849,NA,NA,NA,NA,21.9168,217.751,NA,NA,22.7857,542.761,22.9035,1320.289,23.1701,203.603,23.2822,92.612,23.4658,171.652,NA,NA,NA,NA,23.7484,186.856,NA,NA,23.8527,88.545,NA,NA,NA,NA,NA,NA,NA,NA,25.1193,148.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.3_2021",NA,NA,3.0208,10696.694,4.2383,236.796,NA,NA,NA,NA,NA,NA,NA,NA,11.6182,768.807,NA,NA,NA,NA,12.6605,126.838,13.2433,160.175,13.7089,171.747,NA,NA,NA,NA,NA,NA,NA,NA,15.3549,2197.887,15.7625,776.972,16.5206,1748.162,16.682,154.567,NA,NA,NA,NA,17.3881,4626.598,NA,NA,17.976,878.563,18.1614,1197.619,18.4702,1672.92,NA,NA,NA,NA,NA,NA,19.5012,456.524,NA,NA,NA,NA,NA,NA,20.4136,349.462,20.6361,2451.717,NA,NA,21.1678,791.703,NA,NA,21.4651,10322.121,NA,NA,NA,NA,21.6651,238.185,21.9365,161.567,22.3343,84.546,22.7831,144.038,23.0035,55.777,23.1685,183.453,23.2819,92.1,23.4652,173.171,NA,NA,NA,NA,23.7377,108.86,NA,NA,23.8523,87.626,NA,NA,NA,NA,NA,NA,NA,NA,25.1204,84.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.2.3_2021",NA,NA,3.0171,3685.832,4.1787,159.125,NA,NA,NA,NA,NA,NA,NA,NA,11.6376,2075.341,NA,NA,NA,NA,NA,NA,13.2411,196.813,NA,NA,NA,NA,14.4501,6346.014,NA,NA,NA,NA,15.2781,372.38,NA,NA,16.4993,1131.234,16.6538,110.158,NA,NA,NA,NA,NA,NA,NA,NA,17.936,694.768,18.2029,443.783,18.3987,303.045,NA,NA,NA,NA,18.9045,204.449,19.5795,110.765,NA,NA,NA,NA,NA,NA,20.4535,2431.153,20.587,597,20.9364,263.206,21.2292,206.558,21.3347,223.115,NA,NA,NA,NA,NA,NA,NA,NA,21.902,276.837,NA,NA,NA,NA,22.9926,70.681,23.1553,127.481,NA,NA,NA,NA,NA,NA,NA,NA,23.7321,81.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.4_2021",NA,NA,3.0209,14727.314,3.5581,165.04,NA,NA,NA,NA,NA,NA,NA,NA,11.6417,2375.969,NA,NA,12.1532,272.854,12.6568,146.667,13.2402,119.086,13.7134,224.256,14.2475,108.369,NA,NA,14.6956,119.16,NA,NA,15.4223,1224.074,15.8056,772.719,16.245,292.409,16.643,13092.401,NA,NA,NA,NA,17.4588,10031.797,NA,NA,17.9792,806.494,18.1688,1366.459,18.4398,728.724,18.6154,194.104,NA,NA,NA,NA,19.4768,610.846,NA,NA,NA,NA,NA,NA,20.4144,700.791,20.5882,1100.103,20.8755,93.998,21.1012,772.067,21.2815,393.48,NA,NA,NA,NA,21.597,472.853,NA,NA,21.9085,254.086,NA,NA,NA,NA,NA,NA,23.1601,100.548,23.2714,78.817,NA,NA,NA,NA,NA,NA,23.7322,90.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1179,214.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.3_2021",NA,NA,3.0125,1196.22,3.3751,428.414,NA,NA,NA,NA,NA,NA,NA,NA,11.6054,162.946,NA,NA,NA,NA,NA,NA,13.2318,118.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2543,250.203,15.6416,128.712,16.4705,290.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9026,275.744,NA,NA,18.3832,193.385,NA,NA,NA,NA,NA,NA,19.8516,111.821,NA,NA,NA,NA,NA,NA,20.3938,118.368,20.6367,3207.245,20.9358,540.443,21.2576,88.316,21.3375,670.149,NA,NA,NA,NA,NA,NA,NA,NA,21.9678,124.155,NA,NA,22.7676,288.132,NA,NA,23.1584,65.404,NA,NA,23.455,64.792,NA,NA,NA,NA,23.7538,111.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.3_2021",NA,NA,3.0189,2940.833,4.2398,244.532,NA,NA,5.0951,324.117,NA,NA,NA,NA,11.6165,974.259,NA,NA,NA,NA,12.6515,183.471,13.2466,616.038,NA,NA,NA,NA,14.4463,6356.817,NA,NA,NA,NA,15.3301,150.049,15.9216,284.317,NA,NA,16.6125,10032.126,NA,NA,NA,NA,NA,NA,NA,NA,17.9382,852.528,18.1852,181,NA,NA,18.5838,112.876,NA,NA,18.8964,112.366,19.436,251.048,19.8744,470.909,NA,NA,NA,NA,20.493,1923.471,20.5896,806.396,NA,NA,21.158,138.057,21.3036,1024.23,NA,NA,21.5851,1023.315,NA,NA,NA,NA,21.9866,257.611,NA,NA,22.6806,165.554,22.9096,126.011,NA,NA,23.3125,79.732,NA,NA,NA,NA,NA,NA,23.7546,115.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1125,86.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTW.1.2_2021",NA,NA,3.0164,2792.733,4.2389,214.236,NA,NA,NA,NA,NA,NA,NA,NA,11.6115,407.696,NA,NA,12.162,103.757,12.6641,519.128,13.2607,1021.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9412,779.05,16.2382,197.185,16.6466,13448.179,NA,NA,NA,NA,NA,NA,NA,NA,17.9304,320.381,18.21,431.472,NA,NA,18.6017,284.441,NA,NA,18.9056,93.599,19.6016,228.893,NA,NA,NA,NA,NA,NA,20.4699,1603.733,20.7129,6967.275,20.9104,79.545,21.1664,484.12,21.3006,826.181,NA,NA,NA,NA,21.5991,1403.986,NA,NA,21.8879,161.547,NA,NA,NA,NA,22.9974,135.79,23.1614,214.703,23.3188,54.716,23.4592,105.464,NA,NA,NA,NA,23.7579,231.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.946,157.488,25.124,392.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.4_2021",NA,NA,3.0177,3480.45,4.2358,118.016,NA,NA,5.0649,435.177,NA,NA,NA,NA,11.6015,379.618,NA,NA,NA,NA,12.7337,608.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2804,428.147,NA,NA,16.4751,206.818,16.7178,222.573,NA,NA,NA,NA,NA,NA,NA,NA,17.9512,1675.06,18.1987,311.423,18.389,151.132,NA,NA,NA,NA,NA,NA,19.5762,146.13,NA,NA,NA,NA,NA,NA,20.3986,563.712,NA,NA,20.7854,144.854,21.205,78.411,21.3259,254.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3295,212.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.7_2021",NA,NA,3.0175,2065.638,4.2402,120.665,NA,NA,5.0351,415.721,NA,NA,NA,NA,11.617,724.082,NA,NA,12.1714,162.884,12.672,927.575,13.2826,2382.554,NA,NA,14.2553,100.309,NA,NA,NA,NA,NA,NA,15.3773,216.98,15.9381,570.622,16.2384,280.047,16.6611,15582.903,NA,NA,NA,NA,NA,NA,NA,NA,17.9404,370.755,18.2035,368.648,NA,NA,18.5973,216.955,NA,NA,18.9038,84.462,NA,NA,19.8776,133.922,NA,NA,NA,NA,20.2509,145.439,NA,NA,20.7636,11842.026,21.1716,590.617,21.322,1209.846,NA,NA,NA,NA,21.5987,1287.808,NA,NA,21.9976,298.936,22.3191,89.781,22.6802,174.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7639,364.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1175,106.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
