"Description","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"NMT.1.6_2021",NA,NA,3.0117,2737.233,4.2309,137.376,NA,NA,NA,NA,NA,NA,NA,NA,11.6014,425.832,NA,NA,NA,NA,NA,NA,13.2338,135.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2635,266.962,NA,NA,16.4966,1214.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9379,875.124,18.1808,131.306,18.3963,302.578,NA,NA,NA,NA,NA,NA,19.5803,95.315,NA,NA,NA,NA,NA,NA,20.4182,791.96,20.6277,2081.204,20.932,330.626,21.1357,72.471,21.3493,940.644,NA,NA,21.5517,159.266,NA,NA,NA,NA,21.9767,142.741,NA,NA,NA,NA,NA,NA,NA,NA,23.3211,132.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1152,105.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.6_2021",NA,NA,3.0179,6420.564,4.3821,124.224,NA,NA,NA,NA,7.2812,127.794,NA,NA,11.6181,839.952,NA,NA,NA,NA,NA,NA,13.2471,421.248,13.7059,103.604,NA,NA,NA,NA,14.9197,116.438,NA,NA,15.3566,2010.95,15.7512,478.951,16.5479,3584.148,16.683,177.048,NA,NA,NA,NA,17.3941,4989.049,NA,NA,17.9811,1256.904,18.1535,969.07,18.4782,2039.213,18.6084,131.601,NA,NA,NA,NA,19.5046,454.988,19.8858,328.098,NA,NA,NA,NA,20.4299,341.13,20.6879,4978.763,NA,NA,21.1007,683.376,21.2876,287.455,21.4171,4362.849,NA,NA,21.5985,324.554,NA,NA,21.9065,212.858,NA,NA,NA,NA,23.004,67.25,23.1672,167.322,23.2816,70.38,23.4666,163.3,NA,NA,NA,NA,23.7648,327.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1205,80.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.9_2021",NA,NA,3.0178,629.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6007,125.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4682,317.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5661,528.303,20.9157,134.465,NA,NA,21.3295,526.92,NA,NA,NA,NA,NA,NA,NA,NA,21.8946,193.43,NA,NA,NA,NA,NA,NA,NA,NA,23.348,298.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9789,88.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.5_2021",NA,NA,3.0188,4194.44,4.2386,196.533,NA,NA,NA,NA,NA,NA,NA,NA,11.6051,387.158,NA,NA,NA,NA,NA,NA,13.2362,220.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.346,2137.651,NA,NA,16.5207,2157.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9285,590.183,18.1943,400.721,18.4163,763.551,NA,NA,NA,NA,NA,NA,19.5836,141.379,NA,NA,NA,NA,NA,NA,20.4337,1117.307,20.6534,3923.778,20.9341,430.425,21.102,575.916,NA,NA,21.4276,6984.852,NA,NA,21.6121,304.532,NA,NA,21.9818,174.704,22.3168,136.153,NA,NA,22.9909,54.167,23.1521,70.854,23.3209,146.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1125,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.4_2021",NA,NA,3.0159,2113.387,4.2371,176.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2384,129.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.268,236.273,15.9181,244.088,16.523,2361.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9245,503.035,18.1908,303.682,NA,NA,18.5864,97.367,NA,NA,NA,NA,19.5925,182.12,19.8631,177.813,NA,NA,NA,NA,20.4592,1592.583,20.5685,1153.313,20.9441,390.289,21.1476,77.968,21.2871,316.944,NA,NA,21.5682,434.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3164,83.337,NA,NA,NA,NA,NA,NA,23.7553,93.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1226,474.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVV.2.5_2021",NA,NA,3.0144,3659.919,4.2364,151.771,4.8348,548.261,NA,NA,NA,NA,NA,NA,11.6288,1349.769,NA,NA,12.1648,133.055,12.6695,707.196,13.2735,1729.285,NA,NA,14.2561,159.693,NA,NA,NA,NA,NA,NA,NA,NA,15.9478,883.674,16.2446,283.651,16.6837,18450.698,NA,NA,NA,NA,NA,NA,NA,NA,17.9743,1355.268,18.2057,197.537,NA,NA,18.606,323.155,NA,NA,NA,NA,19.6041,144.976,19.8714,238.642,NA,NA,NA,NA,20.4768,1551.751,NA,NA,NA,NA,21.1669,411.147,21.3023,947.947,NA,NA,21.5923,1215.5,NA,NA,NA,NA,21.9919,335.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7598,183.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1216,308.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.1_2021",NA,NA,3.0148,12897.905,4.2342,159.96,NA,NA,5.0295,231.662,NA,NA,NA,NA,11.612,852.997,NA,NA,NA,NA,12.6522,150.968,13.2374,244.547,13.7048,212.369,NA,NA,NA,NA,NA,NA,NA,NA,15.3491,1904.499,15.7647,1189.132,16.5475,510.652,16.7336,251.548,NA,NA,NA,NA,17.4626,12778.09,NA,NA,18.008,1352.964,18.1811,1628.808,18.4528,943.448,NA,NA,NA,NA,NA,NA,19.5009,680.4,NA,NA,NA,NA,NA,NA,20.436,536.482,20.6921,5400.92,NA,NA,21.2599,470.647,21.3637,952.102,NA,NA,21.5889,82.957,NA,NA,NA,NA,21.9325,437.25,22.3227,126.874,NA,NA,23.0001,113.413,23.1702,262.815,23.2844,108.667,23.4651,207.771,NA,NA,NA,NA,23.7377,167.727,NA,NA,23.8549,128.489,NA,NA,NA,NA,NA,NA,NA,NA,25.1178,155.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.7_2021",NA,NA,3.0151,4427.94,4.2349,167.614,4.848,567.036,NA,NA,NA,NA,NA,NA,11.6092,599.557,NA,NA,NA,NA,12.6529,135.666,13.2499,788.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2959,609.706,15.9175,147.625,16.5296,2752.092,16.664,110.621,NA,NA,NA,NA,17.372,4000.412,NA,NA,17.9379,474.055,18.2215,772.422,18.4102,399.061,NA,NA,NA,NA,18.9037,129.935,19.4657,290.413,19.8664,167.868,NA,NA,NA,NA,20.4486,1333.352,20.5774,1215.762,20.9713,1279.914,21.2361,172.067,21.3151,291.244,NA,NA,21.5676,205.83,NA,NA,NA,NA,NA,NA,NA,NA,22.7668,117.765,NA,NA,23.1567,114.37,23.331,105.392,23.4554,52.837,NA,NA,NA,NA,23.7446,90.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1187,274.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.8_2021",NA,NA,3.0151,1494.619,4.1727,109.172,4.9117,202.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2419,462.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3132,1138.07,NA,NA,16.4991,949.447,NA,NA,NA,NA,NA,NA,NA,NA,17.7125,9443.525,17.9309,116.255,NA,NA,18.4611,1781.843,NA,NA,NA,NA,NA,NA,NA,NA,19.8761,283.597,NA,NA,NA,NA,20.3959,143.848,20.6131,1672.479,NA,NA,21.2719,259.243,21.3669,2028.461,NA,NA,21.5519,128.95,NA,NA,21.7402,121.428,NA,NA,22.3939,111.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7544,191.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,85.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.10_2021",NA,NA,3.0184,5289.079,4.2389,139.655,NA,NA,5.0939,1163.351,NA,NA,NA,NA,11.6048,240.956,NA,NA,NA,NA,NA,NA,NA,NA,13.6997,89.277,NA,NA,NA,NA,NA,NA,NA,NA,15.338,1883.68,15.7354,358.543,16.4905,501.985,NA,NA,NA,NA,NA,NA,17.3499,2717.657,NA,NA,17.9313,356.653,18.2156,632.192,18.4252,769.827,NA,NA,NA,NA,NA,NA,19.4622,479.753,NA,NA,NA,NA,NA,NA,20.3975,266.193,20.6,1425.997,NA,NA,21.1417,610.538,NA,NA,21.4532,9528.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.777,335.811,22.8863,1126.51,23.1627,115.136,23.2773,98.957,23.4609,119.264,NA,NA,NA,NA,23.7331,67.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
