"Plant","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
"IDT.1.2",NA,3971.067,NA,NA,727.284,NA,NA,157.986,NA,NA,NA,161.792,NA,NA,NA,NA,NA,838.991,235.501,993.81,102.734,NA,NA,NA,NA,641.637,524.341,288.081,NA,NA,NA,355.138,212.449,NA,NA,318.796,4518.194,1825.453,103.917,541.814,NA,272.488,NA,NA,120.84,NA,78.731,NA,NA,64.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.10",NA,2998.706,524.145,NA,NA,NA,NA,300.74,NA,106.243,812.384,2209.388,NA,161.432,NA,NA,NA,95.117,365.367,NA,10147.25,NA,NA,NA,247.566,137.077,211.528,NA,162.181,NA,358.515,270.325,382.272,NA,NA,111.711,1512.323,19772.135,742.97,1250.955,NA,591.168,NA,NA,89.764,NA,NA,NA,149.235,NA,65.349,NA,NA,211.261,NA,NA,NA,NA,NA,NA,221.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.6",NA,3167.452,195.616,NA,NA,NA,NA,114.614,NA,NA,NA,114.251,NA,NA,NA,NA,NA,330.883,389.524,659.486,NA,NA,NA,NA,140.592,NA,93.969,227.624,NA,NA,151.916,NA,NA,NA,NA,156.92,826.307,387.033,122.701,1538.292,NA,NA,NA,NA,571.192,NA,NA,NA,NA,69.714,NA,NA,NA,104.711,84.13,NA,NA,NA,NA,NA,77.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.7",NA,1150.067,NA,678.934,NA,NA,NA,131.489,NA,NA,564.775,NA,NA,NA,NA,NA,NA,205.668,NA,750.456,160.555,NA,927.496,NA,NA,1168.17,425.151,118.17,NA,NA,NA,NA,NA,NA,NA,1152.442,827.363,138.514,490.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.2.9",NA,4452.624,125.789,NA,383.998,NA,NA,225.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.766,140.325,2775.9,NA,NA,NA,NA,NA,392.439,235.248,150.044,NA,NA,NA,239.995,NA,NA,NA,276.534,774.123,724.664,171.57,356.682,259.383,196.684,NA,NA,NA,NA,131.382,337.71,NA,58.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.6",NA,7748.054,165.791,NA,1474.406,NA,NA,263.785,NA,NA,NA,143.439,161.708,NA,NA,NA,NA,1550.977,888.253,849.985,224.704,NA,NA,8340.408,NA,1255.766,2051.104,670.674,NA,NA,NA,683.822,240.921,NA,NA,459.966,5677.916,NA,312.81,946.049,NA,72.849,NA,NA,217.751,NA,542.761,1320.289,203.603,92.612,171.652,NA,NA,186.856,NA,88.545,NA,NA,NA,NA,148.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.3",NA,10696.694,236.796,NA,NA,NA,NA,768.807,NA,NA,126.838,160.175,171.747,NA,NA,NA,NA,2197.887,776.972,1748.162,154.567,NA,NA,4626.598,NA,878.563,1197.619,1672.92,NA,NA,NA,456.524,NA,NA,NA,349.462,2451.717,NA,791.703,NA,10322.121,NA,NA,238.185,161.567,84.546,144.038,55.777,183.453,92.1,173.171,NA,NA,108.86,NA,87.626,NA,NA,NA,NA,84.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.2.3",NA,3685.832,159.125,NA,NA,NA,NA,2075.341,NA,NA,NA,196.813,NA,NA,6346.014,NA,NA,372.38,NA,1131.234,110.158,NA,NA,NA,NA,694.768,443.783,303.045,NA,NA,204.449,110.765,NA,NA,NA,2431.153,597,263.206,206.558,223.115,NA,NA,NA,NA,276.837,NA,NA,70.681,127.481,NA,NA,NA,NA,81.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.3",NA,1196.22,428.414,NA,NA,NA,NA,162.946,NA,NA,NA,118.138,NA,NA,NA,NA,NA,250.203,128.712,290.703,NA,NA,NA,NA,NA,275.744,NA,193.385,NA,NA,NA,111.821,NA,NA,NA,118.368,3207.245,540.443,88.316,670.149,NA,NA,NA,NA,124.155,NA,288.132,NA,65.404,NA,64.792,NA,NA,111.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.3",NA,2940.833,244.532,NA,324.117,NA,NA,974.259,NA,NA,183.471,616.038,NA,NA,6356.817,NA,NA,150.049,284.317,NA,10032.126,NA,NA,NA,NA,852.528,181,NA,112.876,NA,112.366,251.048,470.909,NA,NA,1923.471,806.396,NA,138.057,1024.23,NA,1023.315,NA,NA,257.611,NA,165.554,126.011,NA,79.732,NA,NA,NA,115.513,NA,NA,NA,NA,NA,NA,86.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
