"","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"NVTW.1.6_2012",316.133,3039.178,0,0,0,0,0,0,635.822,0,0,1274.823,0,0,645.065,0,0,682.707,244.599,0,1348.896,0,0,4045.603,195.786,0,0,880.646,711.938,491.374,0,0,199.17,159.189,0,0,172.411,93.833,647.498,311.292,75.383,0,3009.958,188.637,160.148,122.912,0,471.704,73.817,178.651,0,198.68,78.5,0,0,498.036,0,0,0,0,0,0,0,385.035,0,0,79.545,0,0,0,0,0,0
"NVV.2.5_2012",1055.939,2172.391,0,0,0,0,0,0,2566.353,0,714.876,1499.555,0,0,3127.426,0,0,0,280.064,0,10286.657,0,0,359.154,2432.908,0,113.225,148.609,0,126.623,100.55,0,0,0,0,0,1490.34,6723.375,0,136.353,318.736,0,499.598,790.357,83.542,0,0,212.301,106.219,216.386,0,0,172.36,0,0,85.787,0,0,0,0,0,172.001,0,1087.165,63.871,152.863,623.466,68.726,0,0,0,0,0
"NVV.2.5_2021",3659.919,151.771,548.261,0,0,0,1349.769,0,133.055,707.196,1729.285,0,159.693,0,0,0,0,883.674,283.651,18450.698,0,0,0,0,1355.268,197.537,0,323.155,0,0,144.976,238.642,0,0,1551.751,0,0,411.147,947.947,0,1215.5,0,0,335.277,0,0,0,0,0,0,0,0,183.416,0,0,0,0,0,0,308.003,0,0,0,0,0,0,0,0,0,0,0,0,0
"NVV.2.9_2012",0,0,0,0,0,0,0,0,546.501,0,0,729.979,0,0,666.245,0,0,0,159.084,0,4292.028,0,0,0,254.516,0,0,0,0,0,7885.747,0,0,1047.257,0,0,0,2870.647,0,1457.842,0,0,409.695,429.706,0,0,0,0,70.885,0,0,0,1035.403,0,0,0,0,0,0,90.255,0,0,0,348.431,0,0,280.577,0,0,0,0,0,0
"NVV.3.4_2012",1174.152,0,0,0,0,0,0,0,1977.441,0,2248.604,3051.724,0,0,958.741,0,0,1151.945,238.934,250.595,12647.732,0,0,0,475.854,0,258.3,0,0,1528.3,0,0,0,0,0,0,0,11082.368,0,0,176.019,0,894.75,1053.784,0,0,0,724.504,0,0,0,0,0,0,0,148.643,0,0,0,0,0,0,0,343.135,0,0,156.731,0,0,0,0,0,0
"NVV.3.5_2012",891.755,0,0,0,0,0,0,0,816.821,175.634,649.167,3733.898,0,0,1024.611,0,165.859,0,284.479,0,8054.577,0,0,0,767.44,0,188.923,0,0,117.902,130.854,0,0,0,172.68,0,149.289,12823.044,0,0,151.987,0,986.738,610.961,351.954,0,0,0,0,0,0,0,0,64.245,0,153.581,0,0,0,0,0,329.497,0,972.35,0,121.74,370.134,0,0,0,0,0,0
"ORT.1.1_2012",786.088,3514.869,0,0,599.378,0,595.296,0,699.505,0,0,182.146,0,0,473.392,0,0,466.669,0,0,114.437,0,0,2091.571,0,0,681.142,465.071,0,180.829,0,188.898,133.625,0,0,0,117.959,1089.994,0,173.736,0,225.559,0,0,0,0,0,535.824,61.11,187.674,0,149.575,0,135.104,0,82.543,0,0,0,0,0,0,0,110.228,0,0,0,0,0,0,0,0,0
"ORT.1.1_2021",12897.905,159.96,0,231.662,0,0,852.997,0,0,150.968,244.547,212.369,0,0,0,0,1904.499,1189.132,510.652,251.548,0,0,12778.09,0,1352.964,1628.808,943.448,0,0,0,680.4,0,0,0,536.482,5400.92,0,470.647,952.102,0,82.957,0,0,437.25,126.874,0,113.413,262.815,108.667,207.771,0,0,167.727,0,128.489,0,0,0,0,155.704,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.1.6_2012",488.144,4485.405,0,0,634.094,292.743,542.674,0,1130.474,0,154.103,236.233,0,0,421.203,0,0,624.555,0,0,1840.464,0,0,2837.062,198.879,0,0,689.569,554.556,293.932,0,126.108,164.04,0,0,172.012,118.916,102.564,607.599,160.055,0,0,2281.115,243.954,0,0,0,494.432,0,58.159,0,171.44,0,0,0,0,0,0,0,0,0,0,0,332.118,0,0,0,0,0,0,0,0,0
"ORT.1.6_2021",60.461,206.688,0,0,197.231,0,1170.247,0,0,265.433,407.039,170.784,0,0,0,0,1440.37,1212.011,3046.4,143.087,0,0,8940.324,324.907,1715.53,971.448,1155.2,0,0,287.212,131.837,0,0,0,240.195,4148.552,106.035,783.999,0,6348.331,0,0,0,1498.854,149.71,0,0,172.453,84.761,163.694,0,0,85.659,0,146.996,0,0,0,0,101.859,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.1.8_2012",0,3754.036,0,0,674.304,293.607,0,0,1019.862,0,0,247.971,0,0,400.238,0,0,649.961,191.044,0,2650.865,0,0,7297.314,419.844,0,342.156,341.462,0,601.24,0,0,135.467,0,0,138.175,142.871,100.127,1325.566,177.317,78.285,0,4170.171,282.172,0,91.572,0,0,94.535,405.265,0,161.334,279.738,0,0,197.779,0,0,0,0,0,0,0,221.854,0,268.162,122.916,0,0,0,0,0,0
"ORT.1.9_2012",61.818,3663.766,0,0,675.475,261.472,0,0,1668.096,0,174.504,339.271,0,0,504.4,0,0,964.586,0,0,2654.474,0,0,2982.983,271.996,0,0,649.132,0,917.29,0,0,379.49,0,0,0,143.328,2688.81,1501.511,0,0,0,3501.427,328.714,0,102.859,0,639.93,137.915,266.892,61.876,111.202,170.525,0,0,136.553,0,0,0,0,0,63.589,0,198.523,0,0,72.987,0,0,0,0,0,0
"ORT.1.9_2021",7470.65,147.717,0,1203.885,0,0,1709.296,0,131.082,228.182,449.773,100.791,0,0,121.411,0,2084.621,442.902,4788.852,131.689,0,0,4605.612,0,1021.665,1100.695,1738.704,135.269,0,0,541.109,153.511,0,0,273.786,4717.438,0,570.07,0,7372.214,0,394.935,0,76.776,233.619,516.012,162.175,173.156,72.448,129.389,0,0,128.112,0,0,0,0,0,0,124.856,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.2.3_2012",426.231,3412.401,0,0,0,0,430.795,0,542.242,0,0,494.09,0,0,578.661,0,0,829.738,0,0,658.409,0,0,1886.851,0,0,601.059,394.253,0,583.999,0,208.647,163.166,0,0,173.174,250.28,2933.905,1471.56,371.908,178.543,0,1558.621,109.338,0,0,0,569.634,74.502,210.236,0,177.19,172.046,0,0,142.703,0,0,0,0,0,0,0,375.18,0,185.11,140.979,0,0,0,0,0,0
"ORT.2.3_2021",9346.135,186.268,0,2414.553,0,0,395.129,0,0,0,622.021,129.883,0,0,0,0,1668.598,67.559,981.402,156.466,0,0,4637.873,0,680.278,641.552,1947.346,0,0,0,376.733,0,0,0,526.465,5109.818,0,214.806,3688.008,0,116.203,0,0,204.747,84.099,354.898,70.007,168.791,93.697,173.652,0,0,172.483,0,0,0,0,0,78.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.2.4_2012",646.485,2242.36,0,0,486.348,0,0,0,487.288,0,0,634.042,0,0,326.897,0,0,318.888,0,0,1126.899,0,0,1763.922,0,0,358.611,217.228,0,126.703,0,0,0,0,0,0,0,709.33,0,141.086,0,185.56,0,116.437,0,0,0,477.488,0,139.142,0,164.519,79.148,0,0,60.209,0,0,0,0,0,0,0,363.269,0,0,189.909,0,0,0,0,0,0
"ORT.2.4_2021",5336.865,0,0,1212.86,0,0,758.319,0,0,0,1508.046,0,0,0,0,0,1058.999,154.248,3766.896,101.632,0,0,4103.94,0,644.255,592.617,394.298,0,0,0,539.827,0,0,0,185.001,6443.18,170.838,148.759,507.484,0,227.591,0,0,245.36,77.16,456.078,1171.682,75.319,67.32,74.441,0,0,176.336,0,0,0,0,0,0,71.907,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.2.5_2012",1544.525,4550.618,0,0,892.872,429.9,0,0,462.124,0,212.427,421.737,0,0,525.8,0,0,990.42,361.781,0,687.552,0,0,7799.063,381.596,0,0,434.221,388.259,1758.143,0,0,211.964,139.366,0,183.687,300.884,5645.62,1612.543,491.127,191.689,149.772,3008.066,211.413,0,166.88,0,0,82.064,474.486,82.624,182.469,320.215,0,0,148.077,0,0,0,0,0,139.474,0,375.216,0,0,98.382,0,0,0,0,0,0
"ORT.2.5_2021",2209.271,129.538,0,0,0,0,129.342,0,0,0,0,0,0,0,0,0,376.583,124.499,132.761,0,0,0,0,157.806,222.82,199.431,1274.738,0,0,160.882,0,0,0,0,73.685,2096.339,598.334,194.322,1394.178,0,0,0,0,722.157,179.204,322.906,0,82.827,0,74.626,0,0,0,0,0,0,0,0,0,89.322,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.2.6_2012",0,2152.866,0,0,0,0,0,0,581.132,0,138.408,178.474,0,0,364.996,0,0,772.194,0,0,389.987,0,0,1355.731,0,0,0,231.88,0,278.17,0,139.26,146.406,0,0,0,142.275,1892.552,939.305,174.99,104.357,0,2729.7,81.174,0,0,0,337.164,0,81.811,0,123.284,88.819,0,0,0,0,0,0,0,0,0,0,231.085,0,0,131.879,0,0,0,0,0,0
"ORT.2.9_2012",4013.794,4640.29,0,0,634.709,293.353,500.699,0,1047.029,0,0,996.908,0,0,706.323,0,0,593.866,0,0,1700.55,0,0,3197.175,205.747,0,0,726.751,578.279,301.51,0,0,140.317,185.925,0,0,229.689,86.118,648.167,145.221,73.333,0,684.827,191.299,135.378,0,0,576.882,0,152.653,0,170.29,162.661,0,0,303.658,0,0,0,0,0,0,0,580.257,0,101.36,118.988,0,0,0,0,0,0
"ORT.2.9_2021",10862.413,839.002,0,0,0,0,690.377,0,0,137.263,920.035,121.592,0,0,0,0,1052.484,957.098,1545.835,0,0,0,5817.187,472.971,1089.71,940.527,889.506,0,0,334.51,225.773,146.418,0,0,252.938,6064.9,182.796,113.217,1253.213,0,0,0,0,1586.499,222.983,379.714,0,201.922,66.741,241.899,0,0,489.414,0,125.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORT.3.1_2012",676.869,3106.537,0,0,0,0,0,0,1344.376,0,187.493,482.328,0,0,5845.966,0,0,328.218,0,0,2182.137,0,0,1607.957,1276.695,0,0,450.168,333.156,0,0,0,116.562,267.966,0,0,1950.976,5136.517,715.211,234.261,0,153.281,227.667,243.608,0,136.598,113.391,333.177,59.483,217.57,0,0,120.555,0,0,64.602,0,0,0,0,0,0,0,207.371,0,141.958,85.247,0,0,0,0,0,0
"ORT.3.10_2012",702.158,2922.323,0,0,482.832,0,0,237.068,1412.122,0,0,1219.715,0,0,11026.333,0,0,0,0,0,2042.547,0,0,166.073,1073.216,0,0,218.485,216.31,0,128.404,0,0,236.596,0,0,3435.645,4704.959,0,295.578,0,102.919,182.578,143.037,0,0,192.177,444.244,177.246,588.051,106.411,0,370.283,0,0,203.922,0,0,0,0,0,0,0,342.077,0,87.045,0,0,0,0,0,0,0
"ORT.3.5_2012",327.467,3642.305,0,0,924.324,341.814,0,0,346.079,0,0,146.869,0,0,2015.425,0,0,305.222,0,0,1243.206,0,0,2180.522,1085.609,0,176.378,177.679,0,506.732,0,0,284.486,0,0,0,1317.477,498.309,0,209.475,104.107,0,986.615,130.489,0,0,100.052,542.061,101.739,244.745,163.754,0,221.042,0,0,58.98,0,0,0,0,0,106.144,0,401.313,0,0,132.161,0,0,0,0,0,0
"ORT.3.7_2012",352.089,2432.204,0,0,520.46,0,0,0,1090.285,0,184.813,425.616,0,0,2844.991,0,0,652.29,0,0,2396.956,0,0,1925.378,859.56,0,268.03,206.428,0,1023.486,0,0,0,0,0,0,1024.729,4100.087,544.985,184.534,75.146,0,3017.162,295.796,0,103.116,0,421.131,193.658,510.556,0,0,165.425,0,0,122.333,0,0,0,0,0,0,0,263.654,0,87.302,123.761,0,0,0,0,0,0
"ORTW.2.1_2012",456.275,2205.193,0,0,486.387,0,0,0,1353.957,0,0,528.139,0,0,10270.469,0,0,0,0,0,1574.931,0,0,386.442,1407.81,0,211.464,212.814,0,0,165.186,0,167.669,0,0,0,3348.979,192.879,0,556.432,0,457.734,0,156.138,0,0,92.145,514.217,167.277,418.838,81.645,0,252.836,0,0,61.403,0,0,0,0,0,0,0,91.017,0,0,78.514,0,0,0,0,0,0
"ORV.1.1_2012",1158.694,1028.308,0,0,0,0,0,0,691.534,0,203.037,1732.71,1786.017,0,3787.417,0,0,0,0,0,2308.801,0,0,880.048,1232.147,0,451.916,153.457,0,0,0,0,235.803,0,0,0,576.758,4652.22,158.605,0,0,105.98,0,118.478,0,0,0,0,60.461,231.379,0,0,91.319,0,0,0,0,0,0,0,0,0,0,155.087,0,0,73.628,123.052,0,0,0,0,0
"ORV.1.10_2012",986.628,1875.632,0,0,0,0,0,0,649.384,0,303.989,2417.725,0,0,2549.45,0,0,0,0,0,2772.073,0,0,313.138,433.168,0,0,124.105,113.819,0,0,0,0,0,0,0,846.673,8859.785,0,174.898,142.343,0,387.369,150.874,139.477,0,0,141.731,86.453,81.915,0,0,108.04,0,0,290.167,0,0,0,0,0,0,0,198.996,0,0,69.294,0,0,0,0,0,0
"ORV.1.10_2021",3454.726,198.716,495.021,0,0,0,1046.776,0,231.326,365.615,2258.85,0,140.456,0,145.926,0,151.619,157.897,3627.649,0,0,0,0,0,513.15,322.518,0,0,0,89.945,165.316,148.084,0,0,137.953,2371.966,16221.829,310.061,1252.295,0,232.001,0,0,130.58,0,155.428,119.162,112.124,76.726,0,0,0,701.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORV.1.3_2012",645.306,1001.024,0,0,0,0,0,0,1483.017,0,309.665,2256.239,0,0,5851.992,0,0,155.749,0,0,422.614,0,0,626.762,799.999,0,0,321.968,309.907,193.373,108.682,0,0,169.999,0,0,1806.906,7980.465,0,368.3,102.048,64.199,1136.424,75.952,0,0,0,334.109,75.012,198.772,0,0,159.036,0,0,86.54,0,0,0,0,0,135.096,0,251.224,0,89.003,324.12,0,0,0,0,0,0
"ORV.1.4_2012",572.632,1927.924,0,0,0,0,0,0,1566.717,0,424.963,2523.562,770.19,0,5225.771,0,0,0,0,0,794.735,0,0,2237.278,1876.797,0,1288.445,338.695,304.874,0,127.942,0,0,199.667,0,0,1471.517,6723.435,0,207.628,93.542,0,587.005,67.7,0,0,0,103.755,87.449,157.643,0,0,133.599,0,0,291.995,0,0,0,0,0,0,0,699.492,0,0,145.025,213.857,0,0,0,0,0
"ORV.1.5_2012",427.964,986.06,0,0,0,0,0,0,2255.33,0,0,0,673.214,0,848.354,0,0,0,0,0,3662.657,0,0,1885.827,399.822,0,702.759,133.842,88.38,0,0,0,0,0,0,0,214.254,0,0,173.908,0,0,129.977,263.297,0,0,0,148.208,0,86.269,0,0,62.322,0,0,73.533,0,0,0,0,0,0,0,745.061,0,0,229.147,283.015,108.354,0,0,0,0
"ORV.1.6_2012",1009.08,2122.798,0,0,0,0,0,0,1743.618,0,191.108,839.578,0,0,2646.591,0,158.764,0,150.867,0,6966.095,0,0,220.979,1187.527,0,0,232.853,208.514,0,0,0,0,122.594,0,0,759.975,3765.339,0,242.787,83.746,64.783,508.413,389.693,147.795,0,0,153.257,71.961,141.126,0,0,111.771,0,0,207.399,0,0,0,0,0,83.136,0,190.052,0,101.493,164.39,0,0,0,0,74.26,0
"ORV.1.8_2012",321.604,1808.072,0,0,596.677,290.353,0,0,1210.724,0,455.517,2734.274,692.692,0,3258.512,0,0,0,0,0,1658.795,0,0,2005.001,2311.697,0,1110.826,193.837,166.876,0,97.569,0,0,185.229,0,0,1558.06,8474.887,0,210.399,196.386,0,308.979,114.881,118.505,0,0,112.175,93.077,332.261,0,0,146.257,0,0,98.271,0,0,0,71.393,0,76.562,0,538.938,0,151.639,256.605,355.642,131.026,0,0,0,0
"ORW.1.1_2012",424.709,2777.65,0,0,0,0,0,0,4458.289,0,0,401.631,0,0,6364.082,0,0,346.358,0,0,1383.613,161.447,0,4737.852,1844.192,0,0,761.828,651.628,226.526,157.922,107.45,219.877,0,0,0,2401.797,3108.44,685.14,372.132,0,264.629,0,125.427,0,0,0,437.869,91.88,232.323,0,0,140.696,0,0,93.591,0,0,0,0,0,0,0,219.633,0,101.006,0,0,0,0,0,0,0
"ORW.1.1_2021",10309.772,221.019,607.244,0,0,0,2823.459,0,183.122,152.907,486.065,161.066,0,5731.926,0,0,865.555,230.349,0,152.163,0,0,3770.515,0,2218.671,945.009,399.637,88.794,0,177.79,457.732,0,0,0,1803.284,457.542,150.681,398.834,374.072,0,354.699,0,0,526.153,0,0,84.385,190.908,131.49,101.614,0,0,88.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTT.1.1_2012",743.798,4078.593,0,0,636.804,261.982,470.399,0,322.116,0,0,1545.547,0,0,656.544,0,0,825.946,0,0,1650.632,0,0,5729.965,252.328,0,0,659.226,415.936,791.512,0,0,377.596,0,0,162.148,173.782,4273.269,1820.9,222.412,0,0,5450.581,171.72,161.953,0,0,394.894,147.719,669.765,81.312,156.032,369.945,0,71.933,281.245,0,0,0,0,0,123.151,0,79.155,0,0,231.422,0,0,0,0,0,0
"UTT.1.2_2012",296.987,4089.991,0,0,789.594,281.178,551.472,253.881,295.824,0,0,384.577,0,0,357.18,0,0,777.103,352.465,0,2732.291,0,0,2707.42,216.993,0,0,350.629,245.803,582.91,0,0,0,151.888,0,235.591,126.73,85.328,1393.958,365.544,0,0,3144.035,285.408,0,0,0,229.81,53.46,164.828,76.46,171.876,122.289,0,0,105.381,0,0,0,0,0,210.191,0,207.642,0,0,249.477,0,0,0,0,0,0
"UTT.1.5_2012",0,3218.328,0,0,0,0,0,0,593.854,0,0,249.191,0,0,464.05,0,0,715.069,0,0,2055.244,0,0,2734.957,161.839,0,0,564.795,469.871,516.88,0,117.828,123.442,0,0,173.667,141.236,867.436,0,260.485,0,76.647,2071.832,188.117,0,0,0,264.774,0,199.612,0,210.309,93.315,0,0,69.276,0,0,0,0,0,153.045,0,160.14,0,0,200.863,0,0,0,0,0,0
"UTT.1.5_2021",16610.456,332.98,335.124,0,0,0,578.544,0,0,0,600.071,206.611,0,0,0,0,1675.623,1015.644,3948.061,97.748,0,0,2402.887,0,752.607,632.237,1240.769,0,0,112.067,187.503,0,0,0,257.172,2118.676,85.293,574.744,0,6521.632,0,175.969,0,256.923,0,0,71.308,167.14,129.192,113.85,0,0,119.39,103.988,0,0,0,0,116.119,290.183,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTT.1.6_2012",1914.464,5002.779,0,0,823.669,312.497,0,0,0,0,0,369.473,0,0,161.642,0,0,573.824,0,0,1988.952,0,0,2367.628,192.245,0,168.931,156.349,0,277.187,0,0,0,0,0,166.218,90.218,1505.962,835.215,166.489,0,0,2973.446,206.586,0,0,0,509.27,0,136.859,95.812,213.04,86.492,0,0,127.631,0,0,0,0,0,142.398,0,87.625,0,0,0,0,0,0,0,0,0
"UTT.1.6_2021",3167.452,195.616,0,0,0,0,114.614,0,0,0,114.251,0,0,0,0,0,330.883,389.524,659.486,0,0,0,0,140.592,0,93.969,227.624,0,0,151.916,0,0,0,0,156.92,826.307,387.033,122.701,1538.292,0,0,0,0,571.192,0,0,0,0,69.714,0,0,0,104.711,84.13,0,0,0,0,0,77.672,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTT.1.8_2012",144.962,3144.306,0,0,690.474,232.868,0,0,292.128,0,0,0,0,0,389.28,0,0,613.347,0,0,2156.458,0,0,3637.943,192.98,0,343.941,230.296,0,489.868,0,135.815,0,0,0,163.642,124.551,0,1176.22,257.06,97.206,0,1931.047,174,0,0,0,215.166,59.354,260.604,0,189.237,127.761,0,0,75.997,0,0,0,0,0,191.748,0,0,0,0,249.375,0,0,0,0,0,0
"UTT.1.9_2012",1620.614,7235.198,0,0,0,0,0,286.656,327.132,0,0,827.285,0,0,392.701,0,0,1034.183,0,274.784,2902.019,0,0,1762.526,163.937,0,0,488.18,402.125,371.764,0,0,114.846,245.681,0,233.745,172.912,3507.737,1070.926,180.532,124.198,0,3734.547,275.971,0,0,87.66,729.397,82.611,123.662,103.392,295.976,152.88,0,0,67.024,0,0,0,0,0,170.173,0,0,0,0,128.628,0,0,0,0,0,0
"UTT.1.9_2021",629.702,0,0,0,0,0,125.054,0,0,0,0,0,0,0,0,0,0,0,317.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.303,134.465,0,526.92,0,0,0,0,193.43,0,0,0,0,298.019,0,0,0,0,0,0,0,0,0,88.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTT.2.3_2012",0,2102.042,0,0,0,0,0,0,364.058,0,146.475,191.881,0,0,535.964,0,0,502.911,0,0,261.643,0,0,5333.178,188.729,0,0,295.714,0,510.251,0,170.584,131.126,0,0,0,204.834,79.113,1190.074,265.98,69.275,0,1716.979,0,0,0,0,280.83,0,191.196,0,134.67,126.087,0,0,64.083,0,0,0,0,0,143.796,0,0,0,0,349.408,0,0,0,0,0,0
"UTT.3.10_2012",512.087,2627.065,0,0,494.616,0,285.081,0,288.501,0,0,177.84,0,0,273.012,0,0,451.57,0,0,581.417,0,0,1761.542,0,0,289.333,190.595,0,268.857,0,0,0,0,0,131.794,97.639,87.883,705.277,324.612,0,0,2103.741,0,0,0,0,352.984,0,119.055,0,212.233,0,0,0,176.354,0,0,0,0,0,246.763,0,0,0,0,373.758,0,0,0,0,0,0
"UTT.3.3_2012",486.404,3773.722,0,0,571.127,236.901,480.124,0,228.214,0,0,524.871,0,0,232.189,0,0,510.435,0,0,1877.303,0,0,2357.34,161.783,0,257.733,174.35,0,367.042,0,0,167.854,0,0,0,77.288,814.301,0,135.735,0,0,1470.143,184.477,0,0,0,538.726,0,119.508,0,184.673,0,59.749,0,165.902,0,0,0,0,0,179.998,0,162.761,0,0,150.726,0,0,0,0,0,0
"UTV.1.7_2012",663.627,655.602,0,0,0,0,0,0,504.326,0,266.264,1441.237,0,0,1065.356,0,0,0,0,0,3953.453,0,0,0,298.141,0,0,0,0,0,7824.195,0,0,1114.09,0,0,95.251,3386.61,0,0,101.696,0,1112.815,228.452,0,0,0,350.338,0,0,0,0,0,0,0,311.201,2105.253,0,0,0,0,85.334,0,362.598,0,254.174,315.554,0,0,0,0,0,0
"UTV.3.4_2012",681.533,0,0,0,0,0,0,0,0,0,0,151.565,0,0,2914.587,0,107.729,0,155.77,750.139,1128.008,0,0,0,488.913,0,0,0,0,0,5090.847,0,0,1228.265,0,0,0,0,0,0,0,0,148.364,555.362,0,0,0,390.773,0,0,0,0,0,0,0,93.55,3156.527,0,0,0,0,0,0,116.336,0,0,203.425,0,0,0,0,0,0
"UTV.3.5_2012",1235.815,0,0,0,0,0,0,0,0,0,502.906,297.648,0,0,206.777,0,147.918,0,173.626,816.807,2148.899,0,0,0,524.292,0,0,0,0,0,0,0,0,219.924,0,0,0,8973.818,205.379,0,0,0,737.368,749.351,0,0,0,376.622,0,0,0,0,0,0,0,166.496,4742.624,0,0,0,0,0,0,256.096,0,0,153.164,0,0,0,0,0,0
"UTW.1.1_2012",378.884,694.609,0,0,0,0,0,0,162.466,0,319.782,1667.872,320.511,0,1865.885,0,0,0,121.909,0,3703.355,0,0,396.671,411.677,0,266.166,0,0,0,0,0,0,0,0,0,776.366,7873.821,0,117.764,186.427,0,179.556,300.825,0,0,0,320.875,0,0,0,0,0,0,0,76.91,0,0,0,0,169.967,83.339,0,392.463,0,0,466.798,0,0,0,0,0,0
"UTW.1.1_2021",749.102,0,0,204.905,0,0,320.62,0,0,530.895,1946.537,0,0,0,0,0,0,130.71,3401.465,0,0,301.046,0,372.133,0,113.8,0,0,0,0,0,304.431,0,0,1100.942,0,0,150.825,0,0,338.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.456,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTW.1.10_2021",2998.706,524.145,0,0,0,0,300.74,0,106.243,812.384,2209.388,0,161.432,0,0,0,95.117,365.367,0,10147.25,0,0,0,247.566,137.077,211.528,0,162.181,0,358.515,270.325,382.272,0,0,111.711,1512.323,19772.135,742.97,1250.955,0,591.168,0,0,89.764,0,0,0,149.235,0,65.349,0,0,211.261,0,0,0,0,0,0,221.616,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTW.1.4_2012",0,926.626,0,0,0,0,0,0,0,0,0,1324.046,0,0,1851.684,0,0,0,148.655,0,5112.612,0,0,98.879,467.962,0,100.535,100.577,0,0,0,0,0,0,0,0,591.721,7661.853,0,142.949,191.428,0,496.124,514.562,0,0,0,385.263,84.66,124.151,0,0,91.502,0,0,255.414,0,0,0,0,323.983,120.118,0,237.271,0,111.974,661.861,0,0,0,0,0,0
"UTW.1.4_2021",894.973,0,0,298.197,0,0,100.43,0,0,141.555,1236.799,0,0,0,0,0,0,189.32,0,0,0,0,0,0,0,86.368,0,0,0,0,0,343.306,0,0,428.224,6663.758,0,166.415,0,0,617.169,0,0,0,0,0,0,0,0,0,0,0,256.207,0,0,0,0,0,0,437.619,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTW.2.10_2012",492.027,2035.892,0,0,0,0,0,0,892.274,0,0,404.704,0,0,2261.072,0,0,210.972,0,0,3398.076,0,0,1570.534,446.612,0,0,453.765,376.938,114.988,0,0,0,128.037,0,0,822.278,297.372,0,259.956,0,0,212.118,286.808,0,0,0,381.929,0,84.681,0,0,78.322,0,0,0,0,0,0,0,0,0,0,325.722,0,0,0,0,0,0,0,0,0
"UTW.2.3_2012",514.868,2774.553,0,0,498.259,0,0,0,1530.763,0,0,0,0,0,4834.027,0,0,166.973,0,0,749.586,0,0,1516.093,919.238,0,120.875,337.06,0,194.598,185.388,0,0,0,0,0,1871.138,223.25,0,290.967,67.831,160.094,0,78.858,0,0,0,386.925,138.977,264.859,0,0,138.703,0,0,83.512,0,0,0,0,0,0,0,270.706,0,177.352,119.381,0,0,0,0,0,0
"UTW.2.3_2021",3685.832,159.125,0,0,0,0,2075.341,0,0,0,196.813,0,0,6346.014,0,0,372.38,0,1131.234,110.158,0,0,0,0,694.768,443.783,303.045,0,0,204.449,110.765,0,0,0,2431.153,597,263.206,206.558,223.115,0,0,0,0,276.837,0,0,70.681,127.481,0,0,0,0,81.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTW.2.5_2012",1293.353,2303.353,0,0,441.624,0,0,200.365,1694.943,0,0,772.064,0,0,4328.311,0,0,0,0,0,2765.806,0,0,1354.732,1615.848,0,235.167,233.458,0,0,147.216,0,138.934,0,0,0,1719.311,3693.844,336.538,0,74.243,321.622,0,184.66,0,0,0,92.281,153.708,504.094,0,0,199.263,0,0,135.522,0,0,0,0,0,0,0,227.811,0,154.455,78.049,0,0,0,0,0,0
"UTW.2.6_2012",633.061,3086.591,0,0,545.142,0,0,0,2281.717,0,197.13,977.469,0,0,5502.897,0,0,272.704,181.094,0,4746.065,0,0,2232.258,1101.74,0,0,442.108,366.913,128.906,111.05,0,117.84,173.429,0,0,2117.48,5493.289,510.066,340.467,0,120.522,375.267,389.993,0,151.486,106.909,411.895,114.33,295.598,0,0,146.745,0,0,125.328,0,0,0,0,0,70.696,0,380.452,0,0,148.499,0,0,0,0,0,0
"UTWV.2.1_2012",754.512,1580.442,0,0,0,0,0,0,0,0,168.245,773.637,0,0,1593.223,0,0,0,134.787,0,4987.985,0,0,375.913,340.578,0,144.652,128.328,0,0,0,0,0,0,0,0,466.822,4244.043,0,111.583,0,269.743,0,536.798,0,0,0,478.054,0,0,0,0,0,0,0,163.374,0,0,0,0,0,191.805,0,616.81,0,0,272.842,0,0,0,0,0,0
