"","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"IDW.1.5_2021",14922.591,687.307,252.599,0,0,0,2458.41,105.453,0,0,592.038,207.202,0,0,0,0,1147.159,746.807,4438.765,162.868,0,0,12486.552,237.98,2052.999,1212.783,701.675,0,0,278.078,76.698,153.397,0,0,1207.696,3106.147,187.077,408.944,1776.676,0,94.294,0,0,859.948,0,0,0,176.759,59.503,103.61,0,0,141.913,0,0,0,0,0,0,215.14,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDW.1.6_2021",10147.929,309.634,0,0,0,0,1458.132,0,216.811,0,322.047,200.535,0,0,111.204,0,1521.287,485.436,0,100.765,0,0,9801.085,0,336.455,1174.936,1215.067,0,0,0,672.019,84.331,0,0,598.028,1563.571,87.499,408.702,1091.207,0,321.731,0,0,207.254,0,0,0,174.841,103.633,98.063,0,0,170.402,0,0,0,0,0,0,72.979,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDW.1.7_2012",418.897,3562.427,0,0,445.595,0,0,0,2224.816,0,0,377.057,0,0,1276.817,0,0,543.637,195.041,0,4820.249,0,0,10813.887,556.788,0,0,892.858,628.681,278.63,0,189.306,249.731,0,0,0,475.391,1508.051,2106.427,244.165,0,160.231,863.286,344.484,0,0,0,382.981,0,196.383,0,87.541,0,0,0,64.467,0,0,0,0,0,79.525,0,504.565,0,0,80.952,0,0,0,0,0,0
"IDW.1.7_2021",6217.42,171.867,0,0,0,0,564.98,0,132.762,0,148.26,123.269,0,0,0,0,841.65,227.016,4151.931,91.752,0,0,0,0,590.589,542.36,290.613,0,0,0,152.341,0,0,0,333.391,1257.32,145.754,195.887,1309.017,0,478.351,0,0,245.43,0,158.843,0,0,53.582,0,0,0,0,0,0,0,0,0,0,78.917,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDW.1.8_2012",476.824,4785.96,0,0,733.915,385.997,284.394,0,1108.235,0,0,0,0,0,1116.295,0,0,717.856,383.551,0,2867.525,0,0,7630.493,306.508,0,0,1090.194,699.56,358.031,0,357.687,0,195.231,0,155.947,509.665,153.282,2256.568,516.99,0,196.473,1568.663,235.252,235.082,0,0,184.187,0,167.926,0,197.448,122.428,0,0,88.729,0,0,0,0,0,103.168,0,665.354,0,0,100.151,0,0,0,0,0,0
"IDW.2.2_2012",0,3055.167,0,0,733.641,267.522,0,0,2551.138,0,0,158.775,0,0,3834.343,0,0,447.291,0,0,1720.49,0,0,5286.784,2100.375,0,0,383.774,431.92,857.065,125.787,0,199.7,0,0,0,2056.564,721.175,0,293.164,0,0,630.208,137.044,0,0,0,399.334,116.504,404.6,0,0,166.021,0,61.385,210.284,0,0,0,0,0,0,0,354.671,0,0,121.776,0,0,0,0,0,0
"IDW.2.3_2012",394.48,2974.36,0,0,646.867,243.416,0,0,3506.928,0,0,298.689,0,0,1342.173,0,0,635.507,0,0,1161.622,152.844,0,0,602.186,0,0,849.89,583.616,421.045,0,344.765,230.62,0,0,0,646.283,1345.596,2753.3,680.137,468.093,0,561.296,84.535,0,0,0,0,68.696,677.326,0,73.352,257.99,0,96.12,183.019,0,0,0,0,0,0,0,183.658,0,0,0,0,0,0,0,0,0
"IDW.2.3_2021",16522.994,204.346,0,0,151.191,0,4862.218,0,0,138.463,612.152,270.422,0,0,173.1,0,1471.388,839.99,3496.648,258.49,0,0,12346.663,89.138,2352.296,944.198,731.996,0,0,138.095,410.181,0,0,100.329,729.091,2225.361,124.504,366.574,966.293,0,129.423,0,0,695.232,0,0,0,246.601,75.153,131.711,0,0,87.807,0,0,0,0,0,73.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDW.3.10_2012",889.071,3283.547,0,0,762.535,0,0,0,923.639,0,0,530.858,335.575,0,2062.173,0,0,227.188,0,0,381.845,0,0,5146.652,2401.005,0,898.725,310.363,302.123,177.484,101.568,0,0,272.66,0,0,2064.484,81.843,799.627,0,0,0,582.934,77.979,0,0,0,521.467,169.643,466.623,0,0,188.767,0,0,134.49,0,0,0,0,0,0,0,333.91,0,0,0,0,0,0,0,0,0
"IDW.3.10_2021",5537.024,351.618,876.274,0,0,0,445.057,0,186.569,168.099,1042.126,0,0,0,0,0,424.994,0,656.754,341.096,0,0,2256.244,0,1768.169,369.423,204.333,0,0,91.808,94.776,0,0,0,2254.971,3172.34,100.405,121.459,319.782,0,0,0,0,99.054,0,0,76.817,107.724,132.626,62.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
