"Paired","Garden Plant ID","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","",".1",".2",".3",".4",".5",".6"
TRUE,300,"OCG","AZ","T",2012,"AZTW.1.7","4n","T_4n",NA,NA,NA,NA,11.3,"AZTW.1.7_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,388,"OCG","CA","T",2012,"CAT.1.1","2n","T_2n",NA,NA,NA,NA,78.6,"CAT.1.1_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,47,"OCG","CA","T",2012,"CAT.2.7","2n","T_2n",NA,NA,NA,NA,22.9,"CAT.2.7_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,311,"OCG","CA","T",2012,"CAT.2.9","2n","T_2n",NA,NA,NA,NA,13.5,"CAT.2.9_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,48,"OCG","CA","V",2012,"CAV.1.10","2n","V_2n",NA,NA,NA,NA,22.2,"CAV.1.10_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,130,"OCG","CA","V",2012,"CAV.1.4","2n","V_2n",NA,NA,NA,NA,24.9,"CAV.1.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,217,"OCG","CA","V",2012,"CAV.1.6","2n","V_2n",NA,NA,NA,NA,24.9,"CAV.1.6_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,401,"OCG","CA","V",2012,"CAV.1.7","2n","V_2n",NA,NA,NA,NA,19.8,"CAV.1.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,121,"OCG","CA","V",2012,"CAV.2.10","2n","V_2n",NA,NA,NA,NA,19.9,"CAV.2.10_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,458,"OCG","CA","V",2012,"CAV.2.6","2n","V_2n",NA,NA,NA,NA,25.9,"CAV.2.6_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,265,"OCG","CA","V",2012,"CAV.2.7","2n","V_2n",NA,NA,NA,NA,25.9,"CAV.2.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,126,"OCG","CA","V",2012,"CAV.3.6","4n","V_4n",NA,NA,NA,NA,18.5,"CAV.3.6_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,293,"OCG","CA","V",2012,"CAV.4.1","4n","V_4n",NA,NA,NA,NA,20.8,"CAV.4.1_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,132,"OCG","CA","V",2012,"CAV.4.4","4n","V_4n",NA,NA,NA,NA,14.9,"CAV.4.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,43,"OCG","CA","V",2012,"CAVW.3.1","2n","V_2n",NA,NA,NA,NA,14.1,"CAVW.3.1_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,177,"OCG","CA","V",2012,"CAVW.3.5","2n","V_2n",NA,NA,NA,NA,28,"CAVW.3.5_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,358,"OCG","CA","V",2012,"CAVW.3.8","2n","V_2n",NA,NA,NA,NA,16.8,"CAVW.3.8_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,131,"OCG","CO","V",2012,"COVW.2.2","4n","V_4n",NA,NA,NA,NA,11.8,"COVW.2.2_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,72,"OCG","CO","V",2012,"COVW.2.3","4n","V_4n",NA,NA,NA,NA,19.7,"COVW.2.3_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,261,"OCG","CO","V",2012,"COVW.2.4","4n","V_4n",NA,NA,NA,NA,23.7,"COVW.2.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,224,"OCG","CO","V",2012,"COVW.2.6","4n","V_4n",NA,NA,NA,NA,22.8,"COVW.2.6_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,379,"OCG","CO","V",2012,"COVW.2.7","4n","V_4n",NA,NA,NA,NA,17.4,"COVW.2.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,138,"OCG","CO","W",2012,"COW.1.8","4n","W_4n",NA,NA,NA,NA,13.7,"COW.1.8_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,269,"OCG","ID","T",2012,"IDT.1.2","2n","T_2n",NA,NA,NA,NA,34.8,"IDT.1.2_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,429,"OCG","ID","T",2012,"IDT.1.4","2n","T_2n",NA,NA,NA,NA,30.2,"IDT.1.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,273,"OCG","ID","T",2012,"IDT.2.4","2n","T_2n",NA,NA,NA,NA,47.8,"IDT.2.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,230,"OCG","ID","T",2012,"IDT.3.3","2n","T_2n",NA,NA,NA,NA,14.6,"IDT.3.3_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,120,"OCG","ID","V",2012,"IDV.2.7","2n","V_2n",NA,NA,NA,NA,26.7,"IDV.2.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,377,"OCG","ID","V",2012,"IDV.2.8","2n","V_2n",NA,NA,NA,NA,26.3,"IDV.2.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,320,"OCG","ID","V",2012,"IDV.3.5","2n","V_2n",NA,NA,NA,NA,18.5,"IDV.3.5_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,111,"OCG","ID","V",2012,"IDV.3.7","2n","V_2n",NA,NA,NA,NA,25.5,"IDV.3.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,209,"OCG","ID","V",2012,"IDV.3.8","2n","V_2n",NA,NA,NA,NA,20.4,"IDV.3.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,185,"OCG","ID","V",2012,"IDV.5.1","2n","V_2n",NA,NA,NA,NA,24,"IDV.5.1_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,266,"OCG","ID","V",2012,"IDV.5.10","2n","V_2n",NA,NA,NA,NA,25,"IDV.5.10_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,456,"OCG","ID","V",2012,"IDV.5.7","2n","V_2n",NA,NA,NA,NA,17.6,"IDV.5.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,102,"OCG","ID","V",2012,"IDV.5.8","2n","V_2n",NA,NA,NA,NA,24.9,"IDV.5.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,193,"OCG","ID","V",2012,"IDV.5.9","2n","V_2n",NA,NA,NA,NA,24.7,"IDV.5.9_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,71,"OCG","ID","W",2012,"IDW.1.3","4n","W_4n",NA,NA,NA,NA,15.4,"IDW.1.3_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,347,"OCG","ID","W",2012,"IDW.1.4","4n","W_4n",NA,NA,NA,NA,28.1,"IDW.1.4_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,262,"OCG","ID","W",2012,"IDW.1.5","4n","W_4n",NA,NA,NA,NA,18.1,"IDW.1.5_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,63,"OCG","ID","W",2012,"IDW.1.7","4n","W_4n",NA,NA,NA,NA,9.4,"IDW.1.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,101,"OCG","ID","W",2012,"IDW.1.8","4n","W_4n",NA,NA,NA,NA,19.2,"IDW.1.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,357,"OCG","ID","W",2012,"IDW.2.2","4n","W_4n",NA,NA,NA,NA,21.5,"IDW.2.2_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,233,"OCG","ID","W",2012,"IDW.3.10","4n","W_4n",NA,NA,NA,NA,13.1,"IDW.3.10_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,235,"OCG","ID","W",2012,"IDW.3.2","4n","W_4n",NA,NA,NA,NA,24.3,"IDW.3.2_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,372,"OCG","ID","W",2012,"IDW.3.4","4n","W_4n",NA,NA,NA,NA,14.4,"IDW.3.4_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,70,"OCG","ID","W",2012,"IDW.3.6","4n","W_4n",NA,NA,NA,NA,10.1,"IDW.3.6_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,93,"OCG","ID","W",2012,"IDW.3.8","4n","W_4n",NA,NA,NA,NA,26.3,"IDW.3.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,374,"OCG","MT","V",2012,"MTV.1.10","2n","V_2n",NA,NA,NA,NA,16.8,"MTV.1.10_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,366,"OCG","MT","W",2012,"MTW.1.2","4n","W_4n",NA,NA,NA,NA,8.7,"MTW.1.2_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,417,"OCG","MT","W",2012,"MTW.3.7","4n","W_4n",NA,NA,NA,NA,10.7,"MTW.3.7_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,23,"OCG","NM","T",2012,"NMT.2.5","4n","T_4n",NA,NA,NA,NA,13,"NMT.2.5_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,164,"OCG","NM","T",2012,"NMT.2.8","4n","T_4n",NA,NA,NA,NA,47.7,"NMT.2.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,213,"OCG","NV","T",2012,"NVT.2.9","2n","T_2n",NA,NA,NA,NA,21.3,"NVT.2.9_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,205,"OCG","NV","V",2012,"NVV.2.5","2n","V_2n",NA,NA,NA,NA,16.3,"NVV.2.5_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,150,"OCG","NV","V",2012,"NVV.2.9","2n","V_2n",NA,NA,NA,NA,16.9,"NVV.2.9_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,220,"OCG","NV","V",2012,"NVV.3.4","4n","V_4n",NA,NA,NA,NA,28.5,"NVV.3.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,290,"OCG","NV","V",2012,"NVV.3.5","4n","V_4n",NA,NA,NA,NA,21.6,"NVV.3.5_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,122,"OCG","OR","T",2012,"ORT.2.10","2n","T_2n",NA,NA,NA,NA,14.2,"ORT.2.10_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,380,"OCG","OR","T",2012,"ORT.2.4","2n","T_2n",NA,NA,NA,NA,24.6,"ORT.2.4_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,248,"OCG","OR","T",2012,"ORT.2.5","2n","T_2n",NA,NA,NA,NA,28.1,"ORT.2.5_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,181,"OCG","OR","T",2012,"ORT.2.9","2n","T_2n",NA,NA,NA,NA,35.3,"ORT.2.9_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,413,"OCG","OR","T",2012,"ORTV.2.4","2n","T_2n",NA,NA,NA,NA,20.6,"V413_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,15,"OCG","OR","T",2012,"ORTW.2.1","2n","T_2n",NA,NA,NA,NA,15.2,"ORTW.2.1_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,212,"OCG","OR","V",2012,"ORV.1.1","4n","V_4n",NA,NA,NA,NA,13.5,"ORV.1.1_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,403,"OCG","OR","V",2012,"ORV.1.10","4n","V_4n",NA,NA,NA,NA,20.3,"ORV.1.10_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,245,"OCG","OR","V",2012,"ORV.1.4","4n","V_4n",NA,NA,NA,NA,6.9,"ORV.1.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,314,"OCG","OR","V",2012,"ORV.1.6","4n","V_4n",NA,NA,NA,NA,15.7,"ORV.1.6_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,186,"OCG","OR","V",2012,"ORV.1.8","4n","V_4n",NA,NA,NA,NA,17.6,"ORV.1.8_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,333,"OCG","UT","T",2012,"UTT.1.1","2n","T_2n",NA,NA,NA,NA,10.2,"UTT.1.1_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,25,"OCG","UT","T",2012,"UTT.1.5","2n","T_2n",NA,NA,NA,NA,11.1,"UTT.1.5_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,294,"OCG","UT","T",2012,"UTT.1.6","2n","T_2n",NA,NA,NA,NA,75.1,"UTT.1.6_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,20,"OCG","UT","T",2012,"UTT.1.8","2n","T_2n",NA,NA,NA,NA,17.9,"UTT.1.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,409,"OCG","UT","T",2012,"UTT.3.3","2n","T_2n",NA,NA,NA,NA,24.5,"UTT.3.3_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,421,"OCG","UT","V",2012,"UTV.1.7","2n","V_2n",NA,NA,NA,NA,24.7,"UTV.1.7_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,281,"OCG","UT","V",2012,"UTV.3.4","4n","V_4n",NA,NA,NA,NA,17.8,"UTV.3.4_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,6,"OCG","UT","V",2012,"UTV.3.5","4n","V_4n",NA,NA,NA,NA,18,"UTV.3.5_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,296,"OCG","UT","W",2012,"UTW.1.1","4n","W_4n",NA,NA,NA,NA,16.3,"UTW.1.1_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,84,"OCG","UT","W",2012,"UTW.2.10","4n","W_4n",NA,NA,NA,NA,14.4,"UTW.2.10_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,157,"OCG","UT","W",2012,"UTW.2.6","4n","W_4n",NA,NA,NA,NA,13.4,"UTW.2.6_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,189,"OCG","UT","W",2012,"UTWV.2.1","4n","W_4n",NA,NA,NA,NA,15.5,"UTWV.2.1_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,271,"OCG","UT","W",2012,"UTWV.2.7","4n","W_4n",NA,NA,NA,NA,14.9,"UTWV.2.7_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,216,"OCG","UT","W",2012,"UTWV.2.8","4n","W_4n",NA,NA,NA,NA,18.7,"UTWV.2.8_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,304,"OCG","WA","T",2012,"WAT.1.4","2n","T_2n",NA,NA,NA,NA,15.2,"WAT.1.4_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,195,"OCG","WA","T",2012,"WAT.1.9","2n","T_2n",NA,NA,NA,NA,24.5,"WAT.1.9_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,10,"OCG","WA","T",2012,"WAT.2.3","4n","T_4n",NA,NA,NA,NA,19.6,"WAT.2.3_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,268,"OCG","WA","T",2012,"WAT.2.4","4n","T_4n",NA,NA,NA,NA,83.2,"WAT.2.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,282,"OCG","WA","T",2012,"WAT.2.7","4n","T_4n",NA,NA,NA,NA,71.1,"WAT.2.7_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,64,"OCG","WA","T",2012,"WAT.2.8","4n","T_4n",NA,NA,NA,NA,19.1,"WAT.2.8_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,287,"OCG","WA","W",2012,"WAW.1.1","4n","W_4n",NA,NA,NA,NA,15.8,"WAW.1.1_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,418,"OCG","WA","W",2012,"WAW.1.2","4n","W_4n",NA,NA,NA,NA,0.1,"WAW.1.2_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,356,"OCG","WA","W",2012,"WAW.1.3","4n","W_4n",NA,NA,NA,NA,20.7,"WAW.1.3_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,436,"OCG","WA","W",2012,"WAW.1.4","4n","W_4n",NA,NA,NA,NA,0,"WAW.1.4_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,378,"OCG","WA","W",2012,"WAW.1.5","4n","W_4n",NA,NA,NA,NA,16.4,"WAW.1.5_2012",NA,NA,NA,NA,NA,NA,NA
TRUE,135,"OCG","WA","W",2012,"WAW.1.6","4n","W_4n",NA,NA,NA,NA,15.2,"WAW.1.6_2012",NA,NA,NA,NA,NA,NA,NA
FALSE,236,"OCG","WA","W",2012,"WAW.1.7","4n","W_4n",NA,NA,NA,NA,17.9,"WAW.1.7_2012",NA,NA,NA,NA,NA,NA,NA
