"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","cluster_assignments"
"ORV.1.10_2012",TRUE,403,"A","OCG","OR","V","2012","ORV.1.10","4n","V_4n",NA,NA,NA,NA,20.3,"ORV.1.10_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,4
"ORV.1.3_2012",FALSE,183,"D","OCG","OR","V","2012","ORV.1.3","4n","V_4n",NA,NA,NA,NA,26.6,"ORV.1.3_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,2
"ORV.1.4_2012",FALSE,245,"D","OCG","OR","V","2012","ORV.1.4","4n","V_4n",NA,NA,NA,NA,6.9,"ORV.1.4_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,2
"ORV.1.5_2012",FALSE,291,"D","OCG","OR","V","2012","ORV.1.5","4n","V_4n",NA,NA,NA,NA,19.1,"ORV.1.5_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,5
"ORV.1.6_2012",FALSE,314,"D","OCG","OR","V","2012","ORV.1.6","4n","V_4n",NA,NA,NA,NA,15.7,"ORV.1.6_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,4
"ORV.1.8_2012",FALSE,186,"D","OCG","OR","V","2012","ORV.1.8","4n","V_4n",NA,NA,NA,NA,17.6,"ORV.1.8_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,2
"ORW.1.1_2012",TRUE,57,"A","OCG","OR","W","2012","ORW.1.1","4n","W_4n",NA,NA,NA,NA,NA,"ORW.1.1_2012","ORW-1","West of Juntura",43.7853,-118.2594,1196,2
"UTT.1.1_2012",TRUE,333,"A","OCG","UT","T","2012","UTT.1.1","2n","T_2n",NA,NA,NA,NA,10.2,"UTT.1.1_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,3
"UTT.1.2_2012",FALSE,105,"D","OCG","UT","T","2012","UTT.1.2","2n","T_2n",NA,NA,NA,NA,NA,"UTT.1.2_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,3
"UTT.1.5_2012",TRUE,25,"A","OCG","UT","T","2012","UTT.1.5","2n","T_2n",NA,NA,NA,NA,11.1,"UTT.1.5_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,5
"UTT.1.6_2012",TRUE,294,"A","OCG","UT","T","2012","UTT.1.6","2n","T_2n",NA,NA,NA,NA,75.1,"UTT.1.6_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,3
"UTT.1.8_2012",FALSE,20,"D","OCG","UT","T","2012","UTT.1.8","2n","T_2n",NA,NA,NA,NA,17.9,"UTT.1.8_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,5
"UTT.1.9_2012",TRUE,194,"A","OCG","UT","T","2012","UTT.1.9","2n","T_2n",NA,NA,NA,NA,46.4,"UTT.1.9_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,3
"UTT.2.3_2012",FALSE,251,"D","OCG","UT","T","2012","UTT.2.3","2n","T_2n",NA,NA,NA,NA,17.9,"UTT.2.3_2012","UTT-2","La Sal B",38.306,-109.3876,1820,5
"UTT.3.10_2012",FALSE,338,"A","OCG","UT","T","2012","UTT.3.10","2n","T_2n",NA,NA,NA,NA,40.9,"UTT.3.10_2012","UTT-3","Kanab",37.0402,-112.2642,1618,5
"UTT.3.3_2012",FALSE,409,"D","OCG","UT","T","2012","UTT.3.3","2n","T_2n",NA,NA,NA,NA,24.5,"UTT.3.3_2012","UTT-3","Kanab",37.0402,-112.2642,1618,5
"UTV.1.7_2012",FALSE,421,"D","OCG","UT","V","2012","UTV.1.7","2n","V_2n",NA,NA,NA,NA,24.7,"UTV.1.7_2012","UTV-1","Basin Exclosure",39.3413,-111.5221,2097,4
"UTV.3.4_2012",FALSE,281,"D","OCG","UT","V","2012","UTV.3.4","4n","V_4n",NA,NA,NA,NA,17.8,"UTV.3.4_2012","UTV-3","La Sal V",38.3413,-109.2173,2326,4
"UTV.3.5_2012",TRUE,6,"A","OCG","UT","V","2012","UTV.3.5","4n","V_4n",NA,NA,NA,NA,18,"UTV.3.5_2012","UTV-3","La Sal V",38.3413,-109.2173,2326,4
"UTW.1.1_2012",TRUE,296,"A","OCG","UT","W","2012","UTW.1.1","4n","W_4n",NA,NA,NA,NA,16.3,"UTW.1.1_2012","UTW-1","La Sal W",38.3279,-109.4352,1797,4
"UTW.1.4_2012",TRUE,405,"A","OCG","UT","W","2012","UTW.1.4","4n","W_4n",NA,NA,NA,NA,NA,"UTW.1.4_2012","UTW-1","La Sal W",38.3279,-109.4352,1797,4
"UTW.2.10_2012",FALSE,84,"D","OCG","UT","W","2012","UTW.2.10","4n","W_4n",NA,NA,NA,NA,14.4,"UTW.2.10_2012","UTW-2","Scooby",41.8566,-113.049,1438,5
"UTW.2.3_2012",TRUE,343,"A","OCG","UT","W","2012","UTW.2.3","4n","W_4n",NA,NA,NA,NA,NA,"UTW.2.3_2012","UTW-2","Scooby",41.8566,-113.049,1438,2
