"","Paired","Garden Plant ID","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description"
"IDT.3.5_2021",TRUE,199,"OCG","ID","T","2021","IDT.3.5","2n","T_2n",NA,NA,NA,NA,67.1,"IDT.3.5_2021"
"IDT.3.9_2021",TRUE,441,"OCG","ID","T","2021","IDT.3.9","2n","T_2n",NA,NA,NA,NA,116.9,"IDT.3.9_2021"
"IDV.2.7_2012",FALSE,120,"OCG","ID","V","2012","IDV.2.7","2n","V_2n",NA,NA,NA,NA,26.7,"IDV.2.7_2012"
"IDV.2.8_2012",FALSE,377,"OCG","ID","V","2012","IDV.2.8","2n","V_2n",NA,NA,NA,NA,26.3,"IDV.2.8_2012"
"IDV.3.5_2012",FALSE,320,"OCG","ID","V","2012","IDV.3.5","2n","V_2n",NA,NA,NA,NA,18.5,"IDV.3.5_2012"
"IDV.3.7_2012",FALSE,111,"OCG","ID","V","2012","IDV.3.7","2n","V_2n",NA,NA,NA,NA,25.5,"IDV.3.7_2012"
"IDV.3.8_2012",FALSE,209,"OCG","ID","V","2012","IDV.3.8","2n","V_2n",NA,NA,NA,NA,20.4,"IDV.3.8_2012"
"IDV.5.1_2012",FALSE,185,"OCG","ID","V","2012","IDV.5.1","2n","V_2n",NA,NA,NA,NA,24,"IDV.5.1_2012"
"IDV.5.10_2012",FALSE,266,"OCG","ID","V","2012","IDV.5.10","2n","V_2n",NA,NA,NA,NA,25,"IDV.5.10_2012"
"IDV.5.7_2012",FALSE,456,"OCG","ID","V","2012","IDV.5.7","2n","V_2n",NA,NA,NA,NA,17.6,"IDV.5.7_2012"
"IDV.5.8_2012",FALSE,102,"OCG","ID","V","2012","IDV.5.8","2n","V_2n",NA,NA,NA,NA,24.9,"IDV.5.8_2012"
"IDV.5.9_2012",FALSE,193,"OCG","ID","V","2012","IDV.5.9","2n","V_2n",NA,NA,NA,NA,24.7,"IDV.5.9_2012"
"IDW.1.2_2021",FALSE,387,"OCG","ID","W","2021","IDW.1.2","4n","W_4n",NA,NA,NA,NA,42,"IDW.1.2_2021"
"IDW.1.3_2012",FALSE,71,"OCG","ID","W","2012","IDW.1.3","4n","W_4n",NA,NA,NA,NA,15.4,"IDW.1.3_2012"
"IDW.1.4_2012",TRUE,347,"OCG","ID","W","2012","IDW.1.4","4n","W_4n",NA,NA,NA,NA,28.1,"IDW.1.4_2012"
"IDW.1.5_2012",TRUE,262,"OCG","ID","W","2012","IDW.1.5","4n","W_4n",NA,NA,NA,NA,18.1,"IDW.1.5_2012"
"IDW.1.5_2021",TRUE,262,"OCG","ID","W","2021","IDW.1.5","4n","W_4n",NA,NA,NA,NA,67.2,"IDW.1.5_2021"
"IDW.1.6_2021",FALSE,392,"OCG","ID","W","2021","IDW.1.6","4n","W_4n",NA,NA,NA,NA,73.8,"IDW.1.6_2021"
"IDW.1.7_2012",TRUE,63,"OCG","ID","W","2012","IDW.1.7","4n","W_4n",NA,NA,NA,NA,9.4,"IDW.1.7_2012"
"IDW.1.8_2012",FALSE,101,"OCG","ID","W","2012","IDW.1.8","4n","W_4n",NA,NA,NA,NA,19.2,"IDW.1.8_2012"
"IDW.2.2_2012",FALSE,357,"OCG","ID","W","2012","IDW.2.2","4n","W_4n",NA,NA,NA,NA,21.5,"IDW.2.2_2012"
"IDW.3.10_2012",TRUE,233,"OCG","ID","W","2012","IDW.3.10","4n","W_4n",NA,NA,NA,NA,13.1,"IDW.3.10_2012"
"IDW.3.10_2021",TRUE,233,"OCG","ID","W","2021","IDW.3.10","4n","W_4n",NA,NA,NA,NA,69.2,"IDW.3.10_2021"
"IDW.3.2_2012",FALSE,235,"OCG","ID","W","2012","IDW.3.2","4n","W_4n",NA,NA,NA,NA,24.3,"IDW.3.2_2012"
"IDW.3.4_2012",TRUE,372,"OCG","ID","W","2012","IDW.3.4","4n","W_4n",NA,NA,NA,NA,14.4,"IDW.3.4_2012"
"IDW.3.4_2021",TRUE,372,"OCG","ID","W","2021","IDW.3.4","4n","W_4n",NA,NA,NA,NA,49.5,"IDW.3.4_2021"
"IDW.3.6_2012",TRUE,70,"OCG","ID","W","2012","IDW.3.6","4n","W_4n",NA,NA,NA,NA,10.1,"IDW.3.6_2012"
"IDW.3.8_2012",TRUE,93,"OCG","ID","W","2012","IDW.3.8","4n","W_4n",NA,NA,NA,NA,26.3,"IDW.3.8_2012"
"MTT.1.6_2012",TRUE,172,"OCG","MT","T","2012","MTT.1.6","2n","T_2n",NA,NA,NA,NA,18.2,"MTT.1.6_2012"
"MTT.1.6_2021",TRUE,172,"OCG","MT","T","2021","MTT.1.6","2n","T_2n",NA,NA,NA,NA,41,"MTT.1.6_2021"
"MTV.1.10_2012",FALSE,374,"OCG","MT","V","2012","MTV.1.10","2n","V_2n",NA,NA,NA,NA,16.8,"MTV.1.10_2012"
"MTW.1.2_2012",TRUE,366,"OCG","MT","W","2012","MTW.1.2","4n","W_4n",NA,NA,NA,NA,8.7,"MTW.1.2_2012"
"MTW.1.2_2021",TRUE,366,"OCG","MT","W","2021","MTW.1.2","4n","W_4n",NA,NA,NA,NA,103.4,"MTW.1.2_2021"
"MTW.3.7_2012",FALSE,417,"OCG","MT","W","2012","MTW.3.7","4n","W_4n",NA,NA,NA,NA,10.7,"MTW.3.7_2012"
"NMT.1.6_2021",TRUE,190,"OCG","NM","T","2021","NMT.1.6","4n","T_4n",NA,NA,NA,NA,32.4,"NMT.1.6_2021"
"NMT.1.9_2021",TRUE,113,"OCG","NM","T","2021","NMT.1.9","4n","T_4n",NA,NA,NA,NA,56.1,"NMT.1.9_2021"
"NMT.2.3_2021",FALSE,53,"OCG","NM","T","2021","NMT.2.3","4n","T_4n",NA,NA,NA,NA,27.4,"NMT.2.3_2021"
"NMT.2.4_2012",TRUE,201,"OCG","NM","T","2012","NMT.2.4","4n","T_4n",NA,NA,NA,NA,59.5,"NMT.2.4_2012"
"NMT.2.5_2012",TRUE,23,"OCG","NM","T","2012","NMT.2.5","4n","T_4n",NA,NA,NA,NA,13,"NMT.2.5_2012"
"NMT.2.6_2021",FALSE,99,"OCG","NM","T","2021","NMT.2.6","4n","T_4n",NA,NA,NA,NA,30.3,"NMT.2.6_2021"
"NMT.2.8_2012",TRUE,164,"OCG","NM","T","2012","NMT.2.8","4n","T_4n",NA,NA,NA,NA,47.7,"NMT.2.8_2012"
"NVT.2.9_2012v1",FALSE,213,"OCG","NV","T","2012","NVT.2.9","2n","T_2n",NA,NA,NA,NA,21.3,"NVT.2.9_2012"
"NVTW.1.10_2021",TRUE,450,"OCG","NV","T","2021","NVTW.1.10","2n","T_2n",NA,NA,NA,NA,115.8,"NVTW.1.10_2021"
"NVTW.1.3_2012",FALSE,234,"OCG","NV","T","2012","NVTW.1.3","2n","T_2n",NA,NA,NA,NA,50.3,"NVTW.1.3_2012"
"NVV.2.5_2012",TRUE,205,"OCG","NV","V","2012","NVV.2.5","2n","V_2n",NA,NA,NA,NA,16.3,"NVV.2.5_2012"
"NVV.2.9_2012",FALSE,150,"OCG","NV","V","2012","NVV.2.9","2n","V_2n",NA,NA,NA,NA,16.9,"NVV.2.9_2012"
"NVV.3.4_2012",FALSE,220,"OCG","NV","V","2012","NVV.3.4","4n","V_4n",NA,NA,NA,NA,28.5,"NVV.3.4_2012"
"NVV.3.5_2012",FALSE,290,"OCG","NV","V","2012","NVV.3.5","4n","V_4n",NA,NA,NA,NA,21.6,"NVV.3.5_2012"
"ORT.1.6_2021",TRUE,394,"OCG","OR","T","2021","ORT.1.6","2n","T_2n",NA,NA,NA,NA,83,"ORT.1.6_2021"
"ORT.1.9_2021",TRUE,381,"OCG","OR","T","2021","ORT.1.9","2n","T_2n",NA,NA,NA,NA,49.5,"ORT.1.9_2021"
"ORT.2.10_2012v2",FALSE,122,"OCG","OR","T","2012","ORT.2.10","2n","T_2n",NA,NA,NA,NA,53.6,"ORT.2.10_2012"
"ORT.2.3_2012",TRUE,91,"OCG","OR","T","2012","ORT.2.3","2n","T_2n",NA,NA,NA,NA,38.6,"ORT.2.3_2012"
"ORT.2.4_2012",TRUE,380,"OCG","OR","T","2012","ORT.2.4","2n","T_2n",NA,NA,NA,NA,24.6,"ORT.2.4_2012"
"ORT.2.4_2021",TRUE,380,"OCG","OR","T","2021","ORT.2.4","2n","T_2n",NA,NA,NA,NA,65.4,"ORT.2.4_2021"
"ORT.2.5_2012",TRUE,248,"OCG","OR","T","2012","ORT.2.5","2n","T_2n",NA,NA,NA,NA,28.1,"ORT.2.5_2012"
"ORT.2.9_2012",TRUE,181,"OCG","OR","T","2012","ORT.2.9","2n","T_2n",NA,NA,NA,NA,35.3,"ORT.2.9_2012"
"ORT.3.1_2012",FALSE,391,"OCG","OR","T","2012","ORT.3.1","2n","T_2n",NA,NA,NA,NA,103.5,"ORT.3.1_2012"
"ORT.3.7_2012",FALSE,31,"OCG","OR","T","2012","ORT.3.7","2n","T_2n",NA,NA,NA,NA,14.8,"ORT.3.7_2012"
"ORTV.2.4_2012",FALSE,413,"OCG","OR","T","2012","ORTV.2.4","2n","T_2n",NA,NA,NA,NA,20.6,"V413_2012"
"ORTW.2.1_2012",FALSE,15,"OCG","OR","T","2012","ORTW.2.1","2n","T_2n",NA,NA,NA,NA,15.2,"ORTW.2.1_2012"
"ORV.1.1_2012",FALSE,212,"OCG","OR","V","2012","ORV.1.1","4n","V_4n",NA,NA,NA,NA,13.5,"ORV.1.1_2012"
