"","otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","0c5626f1cd28adf1afaeea0741296fb9",5,FALSE,FALSE,TRUE,TRUE
"2","1bfe6883c827ae962725d53d567780fc",5,FALSE,FALSE,TRUE,TRUE
"3","1f063402c40bbcf473c83736a53b4f2d",5,FALSE,FALSE,TRUE,TRUE
"4","2d61d21c2115f7e04312f2c5808a6d64",5,FALSE,FALSE,TRUE,TRUE
"5","3518c430b3f2d2c3844aee6b7d76990a",4,FALSE,FALSE,FALSE,FALSE
"7","89728a516cec30e6a6c3b1e428ca5f40",4,FALSE,FALSE,FALSE,FALSE
"6","7af01543e586d9b4857653641fce1358",3,FALSE,FALSE,FALSE,FALSE
"8","a2666ef0ca6f6790d021f6ce0e29bbe3",2,FALSE,FALSE,FALSE,FALSE
