PointID,ssp,ploidy,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,adi,pratio,gspmtcm,tdiff,dd5mtcm,mapmtcm
COW-2,w,4X,-108.4555,40.1813,1788,7.1,343,173,-7.3,-15.9,21.5,31.2,152,258,107,2087,1514,118,738,2114,0.97,0.81,0.133188616,0.504373178,-1.2629,28.8,-15.2351,-2.5039
IDW-1,w,4X,-115.6528,43.0931,963,10.1,287,104,-1.9,-6.8,23.1,33.2,131,274,142,2551,2049,97,283,948,0.58,0.49,0.17598406,0.362369338,-0.1976,25,-4.8469,-0.5453
IDW-2,w,4X,-116.0037,43.3274,977,10.2,333,122,-1.8,-6.3,23.1,32.4,128,280,155,2576,2124,97,268,839,0.51,0.37,0.152415346,0.366366366,-0.2196,24.9,-4.6368,-0.5994
IDW-3,w,4X,-116.8531,43.4657,870,10,256,112,-2,-6.8,22.1,32.3,130,269,133,2471,1923,94,269,929,0.51,0.45,0.194176383,0.4375,-0.224,24.1,-4.942,-0.512
MTW-1,w,4X,-105.1545,45.6545,972,6.9,368,275,-8,-15,21.8,30.7,140,259,119,2113,1627,120,806,1942,0.59,0.64,0.124911358,0.747282609,-2.2,29.8,-16.904,-2.944
MTW-2,w,4X,-105.8261,46.3223,757,7.6,342,254,-8.7,-14.9,23.4,31.8,129,268,138,2364,1984,114,832,1792,0.6,0.68,0.142166617,0.742690058,-2.2098,32.1,-20.5668,-2.9754
MTW-3,w,4X,-108.7832,45.2066,1458,6.3,365,250,-6.7,-13.2,19.7,28.6,150,257,107,1809,1329,123,722,1836,0.57,0.49,0.116526961,0.684931507,-1.675,26.4,-12.1203,-2.4455
ORW-1,w,4X,-118.2594,43.7853,1196,7.6,289,109,-4.3,-9.8,20.2,30.7,158,253,93,1951,1260,113,472,1423,0.63,0.63,0.152837805,0.37716263,-0.4687,24.5,-8.3893,-1.2427
UTV-2,w,4X,-112.5087,37.9933,2118,7,356,191,-3.9,-11.8,19.3,29,165,258,96,1789,1157,124,501,1809,1.55,1.45,0.118810595,0.536516854,-0.7449,23.2,-6.9771,-1.3884
UTW-1,w,4X,-109.4352,38.3279,1797,10,296,159,-4.9,-10.5,24.9,33.4,125,283,158,2747,2378,106,437,1166,1.56,1.48,0.177066996,0.537162162,-0.7791,29.8,-13.4603,-1.4504
UTW-2,w,4X,-113.0499,41.8566,1438,8.6,269,155,-4.4,-9.6,22.3,31.4,136,271,133,2277,1838,109,468,1224,0.67,0.69,0.177390041,0.576208178,-0.682,26.7,-10.0188,-1.1836
WAW-1,w,4X,-119.4727,46.7672,297,10.8,186,63,-1.2,-5.1,22.5,31.1,117,283,163,2694,2272,88,228,668,0.62,0.54,0.279052457,0.338709677,-0.0756,23.7,-3.2328,-0.2232
WYW-1,w,4X,-109.8341,42.6006,2111,2,251,165,-11.8,-20.3,16,26.6,183,229,43,1139,495,149,1431,3282,0.92,0.91,0.134458462,0.657370518,-1.947,27.8,-13.4402,-2.9618
WYW-2,w,4X,-110.0854,42.5923,2097,1.6,246,155,-12.4,-21.1,15.8,26.5,187,227,39,1090,422,151,1507,3444,0.96,0.96,0.134207919,0.630081301,-1.922,28.2,-13.516,-3.0504
